,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
19647,40-00200,20,1,6,0,1,N,N,3,0,90.7,7860,11,7,0.0,0,N,N,2,2,2,2,84,0
7393,19-01700,38,2,1,0,1,2,4,1,1,3572.3,8090,12,9,3500.0,1,331,N,2,2,2,2,51,51
17989,38-00100,37,1,6,0,1,0,N,1,1,73.0,9170,15,10,7000.0,1,52,N,1,2,2,2,198,198
9680,24-01004,37,2,1,0,1,4,6,1,1,4187.9,8090,12,10,138000.0,9,501,N,2,2,2,2,57,63
431,01-01301,39,1,1,0,2,3,5,1,1,2731.2,2290,4,7,40000.0,6,266,N,2,2,2,2,70,70
17473,36-04010,29,2,6,0,2,0,5,1,2,50441.6,N,N,8,0.0,0,501,N,2,2,2,2,48,38
21183,51-51255,42,2,6,0,9,0,N,1,2,11224.3,8990,15,7,55000.0,6,418,N,2,2,2,2,104,105
25309,17-03529,10,1,N,0,6,1,4,1,1,15097.5,N,N,3,N,N,501,N,2,2,2,2,39,49
7423,19-01700,69,2,4,0,1,0,N,1,1,3572.3,9170,15,10,79100.0,8,501,N,2,2,2,1,101,101
20213,40-00200,71,1,3,0,1,0,N,1,2,90.7,N,N,4,15000.0,3,123,N,2,2,2,2,51,51
8313,19-01700,55,1,6,0,2,0,N,1,2,3572.3,7870,11,7,42000.0,6,317,N,2,2,2,2,248,248
25906,51-01301,5,2,N,0,1,1,3,1,1,11162.8,N,N,2,N,N,501,N,2,2,2,2,60,75
16976,36-03710,95,2,5,2,1,0,N,1,2,52864.7,N,N,4,10500.0,2,87,N,2,1,2,2,75,75
20426,40-00200,33,2,4,1,1,0,5,1,2,90.7,8590,14,5,16800.0,4,56,N,2,2,2,2,296,296
6239,17-03529,42,1,1,0,1,2,4,1,1,15097.5,7490,10,10,544200.0,9,501,N,2,2,2,2,49,48
2273,06-07502,23,2,6,4,8,0,N,1,2,33632.6,7890,11,9,50650.0,6,383,N,2,2,2,2,42,42
11197,26-02702,21,1,6,0,1,0,N,1,2,4817.2,9370,16,7,0.0,0,0,N,2,2,2,2,145,145
10895,26-02702,23,2,6,0,6,0,N,1,2,4817.2,N,N,9,0.0,0,0,N,2,2,2,2,132,132
23846,06-08507,11,1,N,0,1,2,4,1,1,3305.1,N,N,3,N,N,501,N,2,2,2,2,55,58
22615,51-51255,39,2,1,0,2,2,5,1,2,11224.3,8470,13,9,12800.0,2,296,N,2,2,2,2,36,57
20118,40-00200,45,2,1,0,3,0,3,1,1,90.7,8170,12,7,36000.0,6,241,N,2,2,2,2,51,50
13144,29-01901,33,2,6,0,2,0,N,1,2,5434.8,9470,16,9,47000.0,7,356,N,2,2,2,2,60,61
18406,38-00100,70,1,1,0,1,0,2,1,1,73.0,170,0,9,74940.0,8,501,N,2,2,2,2,11,10
3314,08-00803,35,2,1,0,1,2,4,1,1,3393.2,7460,10,12,107630.0,8,501,N,2,2,2,2,60,60
3119,08-00803,30,2,1,0,6,0,2,1,2,3393.2,7071,9,9,175000.0,9,501,N,2,2,2,2,46,73
20575,40-00200,28,2,6,0,1,0,4,1,2,90.7,N,N,5,0.0,0,34,N,2,2,2,2,161,190
18894,38-00100,57,2,1,0,1,0,2,1,1,73.0,8570,14,7,17200.0,3,430,N,2,2,2,2,45,44
14370,30-00600,26,2,1,0,1,0,2,1,1,16.3,6780,8,9,15000.0,3,88,N,2,2,2,2,36,36
24096,06-08507,4,1,N,0,6,2,4,1,1,3305.1,N,N,1,N,N,501,N,N,N,2,2,109,100
20993,51-51255,71,2,3,0,6,0,N,1,2,11224.3,N,N,7,0.0,0,0,N,2,1,2,1,114,87
13710,30-00600,46,1,1,0,1,0,2,1,2,16.3,7860,11,5,42000.0,6,438,N,2,2,2,2,56,49
17748,38-00100,95,2,3,0,1,N,N,2,0,73.0,N,N,7,10040.0,2,N,N,1,1,2,2,4,0
2009,06-07502,43,1,1,0,1,1,3,1,1,33632.6,6970,9,9,180000.0,9,501,N,2,2,2,2,63,60
22284,51-01301,55,1,6,0,1,0,N,1,1,11162.8,9380,16,11,215000.0,9,501,N,2,2,2,2,44,44
9752,24-01004,25,2,6,0,1,0,3,1,1,4187.9,6490,8,10,36000.0,5,501,N,2,2,2,2,69,65
12936,29-01901,52,2,6,0,2,0,N,1,1,5434.8,7860,11,10,45000.0,7,339,N,2,2,2,2,66,66
879,06-08507,76,1,4,0,1,0,N,1,1,3305.1,7390,10,10,621700.0,9,501,N,2,2,2,2,280,280
6060,17-03529,29,2,6,0,2,0,N,1,2,15097.5,8660,14,7,40000.0,6,303,N,2,2,2,2,332,332
7692,19-01700,15,2,6,0,1,4,6,1,2,3572.3,N,N,4,0.0,0,207,N,2,2,2,2,196,226
262,01-01301,41,2,6,0,2,1,2,1,2,2731.2,8290,12,8,31500.0,6,180,N,2,2,2,2,164,164
20739,51-51255,36,1,6,0,1,0,2,1,1,11224.3,N,N,5,5950.0,1,62,N,2,2,2,2,130,63
25732,51-01301,6,2,N,0,6,2,4,1,1,11162.8,N,N,2,N,N,501,N,2,2,2,2,83,58
10287,24-01004,79,2,3,0,6,0,N,1,1,4187.9,5381,6,7,74500.0,7,501,N,2,2,2,2,149,149
25083,17-03529,6,1,N,0,2,0,2,1,2,15097.5,N,N,2,N,N,501,N,2,2,2,2,113,129
13447,30-00600,66,2,1,0,1,0,2,1,1,16.3,8290,12,5,16500.0,3,501,N,2,2,2,2,60,58
19395,38-00100,36,2,4,0,1,0,N,1,1,73.0,9470,16,9,106100.0,9,501,N,2,2,2,2,90,89
8349,19-01700,63,2,2,0,1,0,5,1,2,3572.3,1270,4,5,35000.0,5,205,N,2,1,2,2,59,55
5143,17-03529,81,1,6,0,1,N,N,3,0,15097.5,N,N,8,0.0,0,0,N,2,2,2,1,172,0
23080,32-00405,1,2,N,0,2,1,2,1,2,7990.5,N,N,N,N,N,16,N,N,N,2,2,132,81
14634,30-00600,50,1,1,0,1,0,2,1,1,16.3,180,0,8,-7600.0,0,14,N,2,2,2,2,9,9
16397,36-04010,17,1,6,0,2,0,3,1,1,50441.6,N,N,7,0.0,0,156,N,2,2,1,2,47,39
1475,06-08507,69,1,1,0,1,0,2,1,1,3305.1,7390,10,9,111000.0,8,501,N,2,2,2,2,71,125
22949,51-01301,39,2,1,0,6,2,4,1,1,11162.8,8570,14,10,60000.0,7,501,N,2,2,2,2,49,64
20508,40-00200,45,1,1,0,1,1,4,1,1,90.7,770,3,7,120000.0,9,501,N,2,2,2,2,30,47
25851,51-51255,4,1,N,0,1,2,4,1,1,11224.3,N,N,2,N,N,501,N,N,N,2,2,72,78
17381,36-04010,71,1,3,0,2,0,2,1,1,50441.6,8380,13,6,44200.0,6,420,N,2,2,2,2,31,30
10525,26-02702,33,1,2,0,6,N,N,3,0,4817.2,8191,12,12,45010.0,7,N,N,2,2,2,2,77,0
3752,08-00803,38,2,6,0,1,0,N,1,1,3393.2,7460,10,12,197000.0,9,501,N,2,2,2,2,43,43
10625,26-02702,34,1,6,4,1,0,N,1,2,4817.2,7380,10,7,90000.0,9,501,N,2,2,2,2,156,155
26999,30-00600,4,1,N,0,3,6,8,1,1,16.3,N,N,1,N,N,N,N,N,N,2,2,19,22
23838,06-08507,10,1,N,0,1,5,7,1,1,3305.1,N,N,3,N,N,501,N,2,2,2,2,101,86
6393,17-03529,64,2,1,0,2,0,2,1,1,15097.5,7860,11,10,25900.0,4,153,N,2,2,2,2,117,117
18600,38-00100,68,1,1,0,1,0,2,1,1,73.0,4690,6,5,76000.0,8,501,N,2,1,2,2,74,74
8888,24-01004,56,2,1,0,1,0,2,1,1,4187.9,7071,9,9,115000.0,8,501,N,2,2,2,2,90,89
23477,36-03710,4,1,N,2,9,1,3,1,2,52864.7,N,N,2,N,N,501,N,N,N,2,2,114,82
2735,06-07502,50,1,1,0,1,0,2,1,2,33632.6,7270,10,11,571000.0,9,501,N,2,2,2,2,133,133
20344,40-00200,80,1,1,0,3,0,2,1,1,90.7,N,N,6,15000.0,3,159,N,2,2,2,2,11,12
15916,32-00405,40,2,4,1,1,5,8,1,1,7990.5,7280,10,7,16000.0,3,121,N,2,2,2,2,173,186
10118,24-01004,50,1,4,0,1,0,N,1,1,4187.9,7380,10,9,275000.0,9,501,N,2,2,2,2,56,56
7801,19-01700,24,2,6,0,1,0,N,1,2,3572.3,5170,6,9,35000.0,5,265,N,2,2,2,2,667,770
25854,51-51255,12,2,N,0,1,1,3,1,1,11224.3,N,N,3,N,N,501,N,2,2,2,2,68,59
14476,30-00600,50,2,1,0,1,0,2,1,1,16.3,8680,14,5,15000.0,3,501,N,2,2,2,2,83,84
13260,30-00600,68,1,4,0,1,N,N,2,0,16.3,N,N,7,45530.0,7,N,5,1,2,2,2,4,0
16081,36-04010,52,2,6,0,2,N,N,2,0,50441.6,N,N,4,4300.0,1,N,N,1,2,2,2,96,0
