,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
3719,2,4,1,1,4,11,67,1,N,2
10522,2,6,1,0,6,7,19,3,N,2
9488,2,1,1,1,9,11,44,1,N,2
11095,1,4,1,1,8,7,55,1,N,2
24747,1,N,3,1,N,1,6,1,N,2
11140,2,3,1,1,7,7,88,1,N,1
18024,2,5,1,1,2,6,57,1,N,2
6621,1,4,2,1,4,1,80,1,N,2
24663,1,N,1,1,N,N,1,1,N,2
24267,1,N,1,1,N,3,10,1,N,2
9145,1,4,1,2,9,11,53,1,N,2
11978,2,6,2,2,5,7,64,1,N,2
7932,1,1,1,2,9,7,36,1,N,2
25205,2,N,1,1,N,3,14,1,N,2
14068,2,6,1,1,0,6,20,1,N,1
3871,1,6,6,2,0,9,24,1,N,2
24977,1,N,1,1,N,N,1,1,N,2
25959,2,N,9,1,N,N,1,1,N,2
18369,1,4,1,1,5,8,61,1,N,2
24384,1,N,1,2,N,N,2,1,N,2
5713,2,2,2,1,2,8,49,1,N,2
2325,2,1,1,1,2,9,68,1,N,2
15193,1,1,1,1,1,3,64,1,N,2
5506,1,6,2,2,2,3,82,1,N,2
24276,2,N,1,2,N,N,1,1,N,2
17000,2,6,2,2,5,7,63,1,N,2
8162,2,1,1,1,3,5,63,1,N,2
12681,1,6,2,2,1,7,25,1,N,2
12519,2,6,1,2,5,9,26,1,N,2
10627,2,6,1,1,8,9,48,1,N,2
16747,2,2,2,1,7,8,30,1,N,2
8182,2,4,1,2,6,7,43,1,N,2
23093,1,N,9,2,N,3,9,1,N,2
9742,2,1,1,1,9,10,43,1,N,2
4312,2,6,2,2,0,4,16,1,N,2
5247,1,6,1,0,1,5,19,3,N,2
16447,2,1,2,1,9,6,58,1,N,2
16332,1,1,2,1,2,5,76,1,N,2
2228,1,6,1,2,9,9,51,1,N,2
4322,1,6,2,1,7,7,59,1,N,2
5111,1,6,1,1,8,7,27,1,N,2
10705,1,1,1,1,0,10,58,1,N,2
23988,1,N,9,1,N,2,5,1,N,2
5518,2,6,2,1,6,7,58,1,N,2
16138,1,1,2,2,5,4,61,1,N,2
19171,1,1,1,1,8,9,83,1,N,2
3891,1,3,1,2,3,11,76,1,N,2
12356,1,5,2,0,0,7,60,2,N,1
5453,1,1,2,1,4,7,32,1,N,2
5780,1,1,1,1,3,7,71,1,N,2
16718,2,6,1,2,5,5,32,1,N,2
17942,1,1,1,1,4,5,76,1,N,2
7270,1,2,1,0,6,6,65,3,N,2
26935,2,N,3,2,N,2,7,1,N,2
11865,2,3,2,1,2,3,94,1,N,1
5800,1,6,2,2,0,3,15,1,N,2
10904,1,1,1,1,8,10,32,1,N,2
5910,2,1,2,1,2,4,64,1,N,2
18644,2,1,3,1,2,1,60,1,N,2
3985,2,1,6,2,0,9,32,1,N,2
25769,1,N,1,2,N,2,3,1,N,2
21096,2,1,9,2,0,7,23,1,N,2
4071,1,6,1,0,0,7,20,3,N,2
25296,2,N,1,2,N,N,2,1,N,2
9763,2,4,1,1,2,12,61,1,N,2
20201,2,6,3,1,0,4,16,1,N,2
26313,1,N,1,2,N,N,0,1,N,2
15081,1,6,8,2,5,5,23,1,N,2
13411,2,1,1,1,2,7,64,1,N,2
2657,1,1,6,1,8,10,62,1,N,2
19115,1,1,1,1,9,8,71,1,2,2
21540,2,1,1,1,9,9,70,1,N,2
16429,1,4,1,1,8,7,64,1,N,2
19132,1,1,1,1,8,5,39,1,N,2
2010,2,6,1,2,9,9,29,1,N,2
26953,1,N,1,2,N,3,14,1,N,2
3486,1,6,1,1,2,9,70,1,N,2
17556,2,5,8,2,3,5,29,1,N,2
21149,1,6,6,2,1,4,25,1,N,1
24744,1,N,3,1,N,2,5,1,N,2
3341,1,1,1,1,9,9,44,1,N,2
19165,2,1,1,1,3,5,51,1,N,2
2204,2,1,1,1,5,9,76,1,N,2
18350,1,1,1,1,8,9,54,1,N,2
20028,1,1,1,1,7,10,82,1,N,2
14374,2,1,1,1,5,8,65,1,N,2
