,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
4675,1,6,1,1,4,8,1,13-04600,6
24634,2,N,1,1,N,2,0,08-00803,N
18119,1,1,1,1,5,11,0,38-00100,11
18183,2,1,1,1,6,5,1,38-00100,16
17098,1,1,8,2,6,7,2,36-04010,7
5739,1,6,2,2,4,10,0,17-03529,7
14099,1,6,1,2,5,10,0,30-00600,14
6235,2,6,2,2,3,5,0,17-03529,14
26708,2,N,2,1,N,3,0,28-01100,N
14297,2,6,3,2,0,7,0,30-00600,N
26160,1,N,1,1,N,3,0,24-01004,N
5600,2,2,2,2,4,7,0,17-03529,10
25233,2,N,2,2,N,3,0,17-03531,N
16627,1,6,2,1,8,5,0,36-04010,7
25214,2,N,1,1,N,N,0,17-03529,N
10750,1,6,1,2,0,7,0,26-02702,11
11404,2,6,2,0,0,5,0,28-01100,N
15797,2,6,8,1,0,5,1,32-00405,N
19611,2,4,1,0,2,7,0,40-00200,N
2887,2,6,6,0,1,9,0,08-00803,11
1595,2,6,1,1,6,9,0,06-08507,11
5512,1,4,2,1,6,7,0,17-03529,6
9708,2,6,6,1,5,9,0,24-01004,10
14556,1,6,1,2,2,4,0,30-00600,6
2381,1,2,6,2,8,10,0,06-07502,6
17645,2,6,1,2,0,4,2,36-03710,14
10846,1,1,2,1,8,10,0,26-02702,11
14422,1,6,1,1,5,8,0,30-00600,0
14110,2,4,1,1,5,9,0,30-00600,13
12296,1,4,2,2,2,4,0,28-01100,N
21633,2,6,9,1,5,9,0,51-01301,12
26738,2,N,2,2,N,N,0,28-01100,N
17420,2,6,1,2,4,5,2,36-03710,12
19826,1,6,3,1,6,4,0,40-00200,3
19425,2,3,1,1,8,5,0,38-00100,N
7534,1,6,1,1,9,8,0,19-01700,9
3205,2,4,1,1,9,10,0,08-00803,8
1167,1,6,6,2,9,9,0,06-07502,10
19256,2,1,1,1,5,8,0,38-00100,7
7751,1,1,2,1,4,5,0,19-01700,4
17006,1,6,2,2,4,8,0,36-04010,11
24744,1,N,3,1,N,2,0,40-00200,N
548,2,6,2,1,3,5,0,01-01301,12
22561,1,6,1,2,8,9,0,51-51255,6
11438,2,6,1,0,0,7,0,28-01100,N
21300,2,4,9,2,7,9,0,51-51255,12
5976,2,4,2,1,5,7,0,17-03531,N
21034,1,1,1,1,9,9,0,51-51255,16
25370,1,N,1,1,N,N,0,19-01700,N
12594,2,6,2,2,5,7,0,29-01901,15
11474,2,6,2,2,0,4,0,28-01100,18
22881,1,1,1,1,8,9,0,51-51255,16
9961,1,4,1,2,9,12,0,24-01004,9
20855,1,1,1,1,9,10,0,51-51255,10
12132,2,3,2,1,5,11,0,28-01100,12
6298,2,1,2,1,1,9,0,17-03531,N
14553,1,6,3,2,0,4,0,30-00600,13
19376,2,6,1,1,0,4,0,38-00100,N
9737,2,2,1,1,9,10,0,24-01004,11
10783,1,4,1,2,6,6,0,26-02702,9
3905,1,6,1,1,9,7,0,08-00803,10
26736,2,N,2,1,N,3,0,28-01100,N
27085,2,N,9,1,N,3,0,30-00600,N
23986,1,N,1,2,N,2,0,06-08507,N
20993,2,3,6,2,0,7,0,51-51255,N
7570,1,6,1,1,0,4,4,19-01700,N
6409,2,1,1,1,9,10,0,17-03529,11
13129,1,6,2,2,2,5,0,29-01901,14
16542,1,4,2,1,5,3,0,36-04010,N
22873,2,1,1,1,0,11,0,51-01301,N
11747,2,4,2,2,4,7,0,28-01100,12
13695,1,1,1,1,7,8,0,30-00600,3
16778,1,1,1,2,3,5,2,36-03710,N
19583,1,1,1,2,9,9,0,38-00100,10
18766,1,1,1,1,6,5,0,38-00100,7
6531,1,1,2,1,4,8,0,17-03531,N
7142,1,6,2,1,2,4,0,17-03531,8
21597,1,1,1,1,9,12,0,51-51255,10
6324,2,1,2,1,0,7,0,17-03531,N
2579,2,1,6,1,8,9,0,06-08507,4
1361,1,6,7,1,0,5,0,06-08507,10
8569,1,6,1,1,8,9,0,24-01004,N
21196,2,1,6,1,0,9,0,51-01301,N
4913,2,6,2,2,4,6,0,13-04600,N
22728,1,1,1,1,9,10,0,51-01301,9
3784,1,1,1,1,9,10,0,08-00803,10
7723,1,1,1,1,8,7,0,19-01700,3
12487,2,1,9,1,1,9,0,29-01901,N
16903,1,3,2,1,0,5,0,36-04010,N
16893,2,6,1,2,2,7,2,36-03710,11
9298,1,6,1,2,6,9,0,24-01004,11
5308,1,6,2,2,6,9,0,17-03529,14
15628,2,6,8,1,0,5,1,32-00405,N
4083,2,6,2,0,0,7,0,13-04600,N
9785,2,1,1,1,5,9,0,24-01004,10
17859,1,1,1,1,6,9,0,38-00100,0
20724,2,1,1,2,6,9,0,51-51255,N
23635,2,N,1,1,N,1,0,36-04010,N
10553,1,6,1,0,8,7,0,26-02702,14
17350,2,1,2,1,8,9,0,36-04010,11
24592,2,N,1,1,N,2,0,08-00803,N
9951,1,1,1,1,8,10,0,24-01004,10
11569,2,3,2,1,2,4,0,28-01100,N
7305,2,6,1,0,1,7,0,19-01700,6
20201,2,6,3,1,0,4,0,40-00200,N
10442,2,2,1,0,2,7,0,26-02702,N
23990,1,N,9,1,N,N,0,06-08507,N
10502,1,2,6,0,7,12,0,26-02702,11
13202,2,3,2,1,8,7,0,29-01901,10
19104,2,6,1,1,0,4,0,38-00100,0
9775,1,6,1,1,7,10,0,24-01004,N
6173,2,1,2,1,7,7,0,17-03531,9
22753,2,1,1,1,0,7,4,51-51255,N
729,2,4,1,1,6,7,0,06-08507,10
