,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
7910,1,6,1,1,5,0,19-01700,25,0,N,228
5589,2,4,2,2,1,0,17-03529,64,0,N,7
21600,1,6,2,2,6,0,51-01301,37,0,4,349
3312,2,1,1,2,6,0,08-00803,29,0,2,501
25642,1,N,9,1,N,0,51-01301,3,0,12,501
19370,1,1,1,1,6,0,38-00100,78,0,2,319
19397,1,1,1,1,3,0,38-00100,63,0,2,114
22292,1,6,1,2,3,0,51-01301,30,0,N,114
6714,1,4,1,2,8,0,17-03529,33,0,N,501
1181,2,6,1,2,8,0,06-07502,28,0,N,501
19426,1,6,1,1,4,0,38-00100,20,0,2,501
13290,2,1,1,1,2,0,30-00600,63,0,2,155
11368,1,6,2,0,2,0,28-01100,70,N,N,66
22464,2,1,1,1,7,0,51-01301,59,0,2,501
24686,1,N,1,1,N,0,40-00200,3,3,5,24
5762,2,6,1,2,6,0,17-03529,22,0,N,302
18395,2,1,1,1,7,0,38-00100,38,3,5,409
27043,1,N,3,2,N,1,30-00600,8,4,6,16
27100,2,N,3,1,N,0,30-00600,8,0,5,136
21664,1,6,1,1,5,0,51-51255,32,0,3,501
8899,2,6,1,1,9,0,24-01004,67,0,N,501
5471,1,6,1,2,6,0,17-03529,28,0,N,382
5948,1,6,1,2,4,0,17-03529,61,0,N,190
4936,2,6,2,1,7,0,13-04600,35,0,6,378
1643,2,6,6,2,6,0,06-07502,59,0,4,294
8619,2,1,1,1,9,0,24-01004,50,3,5,501
24587,1,N,1,1,N,0,08-00803,12,2,4,501
6059,1,6,2,2,4,0,17-03531,48,0,2,230
11548,2,6,2,1,6,0,28-01100,44,2,4,137
26103,2,N,1,2,N,0,24-01004,14,4,6,44
5802,2,3,2,1,6,0,17-03531,72,0,N,366
15960,2,6,2,0,3,0,36-03710,22,N,N,117
11744,2,4,2,1,7,0,28-01100,40,2,3,242
4107,2,6,2,0,3,4,13-04600,19,N,N,N
4652,2,6,2,2,1,0,13-04600,39,2,3,13
26711,2,N,2,1,N,0,28-01100,0,5,6,N
2425,2,3,6,1,3,0,06-08507,94,0,N,118
1450,1,1,6,1,9,0,06-08507,58,0,4,501
26704,1,N,1,1,N,0,28-01100,1,2,4,501
12403,1,4,2,0,1,0,29-01901,68,N,N,N
2013,2,1,1,1,4,0,06-07502,54,0,2,501
3814,2,6,1,2,1,0,08-00803,20,0,N,15
13654,2,4,1,1,9,0,30-00600,72,0,N,501
14583,1,1,1,1,6,0,30-00600,40,3,5,162
14131,1,6,1,1,1,0,30-00600,19,0,3,493
19476,2,6,5,1,1,0,38-00100,17,0,9,41
9766,1,6,1,1,1,0,24-01004,17,5,7,501
10242,2,1,1,1,8,0,24-01004,48,2,4,501
1196,1,1,6,2,4,0,06-08507,94,0,2,257
7536,1,1,1,1,7,1,19-01700,54,1,4,365
19166,2,6,1,1,1,0,38-00100,27,0,4,501
5889,1,4,2,1,2,0,17-03529,61,0,N,70
4223,1,6,1,0,4,0,13-04600,18,N,N,N
18990,1,2,5,2,9,0,38-00100,55,0,2,501
8143,1,6,1,1,1,0,19-01700,47,0,3,274
3806,1,1,1,1,9,0,08-00803,49,2,4,501
19640,2,6,9,0,0,0,40-00200,36,N,N,0
20395,2,3,1,1,2,0,40-00200,87,0,N,74
16688,1,6,2,2,7,0,36-04010,45,0,N,458
25098,2,N,9,2,N,0,17-03529,4,1,2,0
17151,2,6,2,2,2,0,36-04010,56,0,3,437
6791,1,6,9,2,1,0,17-03529,20,0,N,30
19410,1,6,1,1,7,0,38-00100,50,0,2,501
15095,2,4,1,2,6,0,32-00405,71,0,2,501
19717,1,1,3,1,9,0,40-00200,78,0,2,501
22315,2,1,6,1,7,0,51-51255,34,1,3,501
3401,1,3,1,1,7,0,08-00803,64,0,N,455
5112,1,4,2,1,6,0,13-04600,56,0,N,280
21248,1,1,6,1,9,0,51-51255,51,0,2,501
10476,2,6,6,0,4,0,26-02702,21,N,N,N
11844,1,1,1,1,8,0,28-01100,28,0,2,501
4049,1,6,1,0,1,0,13-04600,18,N,N,N
3887,2,1,1,1,3,0,08-00803,61,0,3,371
14225,1,6,1,2,6,0,30-00600,22,2,3,176
19194,1,6,3,2,0,0,38-00100,38,0,7,23
7495,1,6,1,2,2,0,19-01700,70,0,N,92
4677,2,6,2,2,7,0,13-04600,37,0,2,444
16944,2,6,2,1,0,0,36-04010,85,0,2,0
20636,1,6,2,0,3,0,51-01301,31,N,N,156
16533,2,6,2,1,6,0,36-04010,26,0,6,278
18859,1,6,1,1,7,0,38-00100,25,0,N,455
24162,2,N,1,2,N,0,38-00100,2,2,4,501
8777,1,1,6,1,9,0,24-01004,75,0,2,501
12239,1,1,2,1,5,0,28-01100,77,0,5,264
18208,2,6,3,2,0,0,38-00100,48,0,2,54
24912,1,N,2,2,N,0,13-04600,11,3,4,89
21879,2,6,2,2,0,0,51-51255,42,3,4,0
21715,1,1,1,1,9,0,51-01301,53,1,4,501
6025,2,3,2,1,7,0,17-03531,69,0,N,446
6656,1,6,2,2,2,0,17-03529,27,0,2,322
18160,2,6,1,2,2,0,38-00100,23,0,N,75
24902,1,N,2,2,N,0,13-04600,10,0,7,47
16784,2,6,8,2,3,2,36-03710,23,1,3,265
6492,2,6,2,1,3,0,17-03531,53,0,N,152
22691,2,1,1,1,8,0,51-51255,63,0,2,501
5219,2,6,1,0,2,0,17-03531,77,N,N,50
24823,2,N,1,2,N,0,40-00200,13,3,5,501
11337,2,1,6,1,7,0,26-02702,38,0,2,501
4628,2,4,1,1,8,0,13-04600,37,0,N,501
6439,2,1,2,2,2,0,17-03529,68,0,2,84
21022,2,6,6,2,0,0,51-01301,17,1,4,183
17723,2,3,1,0,5,0,38-00100,73,N,N,N
1035,1,6,2,2,3,0,06-07502,30,0,N,133
25093,1,N,2,2,N,0,17-03531,4,0,5,194
5373,1,2,2,1,2,0,17-03531,39,0,2,443
15411,1,6,1,2,6,1,32-00405,24,0,4,300
13440,2,1,1,1,9,0,30-00600,60,0,3,501
24292,2,N,1,1,N,0,38-00100,3,3,5,139
20631,2,1,9,2,1,0,40-00200,28,4,6,76
21574,1,4,1,1,9,0,51-51255,68,0,2,501
11496,1,6,2,2,2,0,28-01100,49,0,N,34
23684,2,N,8,2,N,4,36-03710,1,3,5,45
14087,1,6,3,2,0,0,30-00600,56,0,2,102
14385,1,6,1,2,0,0,30-00600,30,3,4,3
9774,2,1,1,1,8,0,24-01004,40,2,4,501
20632,1,1,1,2,5,1,40-00200,31,4,6,76
20905,1,1,6,1,9,0,51-01301,50,4,6,501
15581,1,6,1,2,2,1,32-00405,69,0,4,144
23126,2,N,2,2,N,0,32-00405,12,5,8,113
1596,2,1,1,1,1,0,06-08507,47,3,5,501
16194,2,6,1,2,5,0,36-04010,22,0,N,263
8052,1,1,2,1,6,0,19-01700,53,3,5,232
25228,1,N,2,2,N,0,17-03529,5,1,5,51
23444,1,N,8,2,N,4,36-03710,0,2,3,45
3510,2,3,1,2,7,0,08-00803,89,0,N,501
24042,2,N,1,2,N,0,06-08507,7,2,4,423
14906,1,6,8,0,2,1,32-00405,19,N,N,N
26861,1,N,2,1,N,0,29-01901,6,3,4,65
26464,2,N,2,2,N,0,24-01004,10,1,4,501
19515,1,6,1,2,6,1,38-00100,34,0,N,366
10144,1,1,6,2,7,0,24-01004,44,2,4,331
10385,2,1,1,1,9,0,24-01004,61,0,2,501
24368,2,N,1,1,N,0,38-00100,12,2,4,303
8580,2,4,1,1,9,0,24-01004,63,0,N,501
17508,2,4,2,1,2,0,36-04010,80,0,2,406
22680,1,1,1,1,9,0,51-01301,72,0,2,501
14439,2,1,1,1,6,0,30-00600,53,0,6,365
15214,2,4,2,2,4,3,32-00405,64,0,N,203
6540,1,4,2,2,5,0,17-03529,53,0,3,403
5706,1,1,2,1,4,0,17-03531,55,1,3,221
12181,1,6,2,1,0,0,28-01100,16,1,4,293
26447,1,N,1,1,N,0,24-01004,6,2,4,501
16732,2,4,2,1,6,0,36-04010,62,0,3,501
8715,2,4,1,2,3,0,24-01004,91,0,N,128
10077,1,4,1,2,6,0,24-01004,70,0,N,501
9322,2,1,1,1,8,0,24-01004,34,2,4,501
25405,2,N,1,2,N,1,19-01700,2,5,8,182
23485,2,N,8,2,N,2,36-03710,11,1,2,17
12806,2,6,2,1,3,0,29-01901,80,0,2,501
689,2,3,6,0,3,0,06-08507,75,N,N,N
9133,1,1,1,1,9,0,24-01004,67,0,2,501
24164,2,N,1,1,N,0,38-00100,2,1,3,501
14464,1,1,1,1,8,0,30-00600,67,0,2,501
10023,2,3,1,1,5,0,24-01004,85,0,N,323
13762,2,1,1,1,3,0,30-00600,81,0,2,205
18085,1,1,1,1,9,0,38-00100,66,0,2,501
17937,1,1,5,1,1,0,38-00100,44,0,2,142
18203,2,6,1,2,4,0,38-00100,37,4,5,110
4017,1,6,1,2,1,0,08-00803,21,0,N,7
15753,2,4,2,1,1,0,32-00405,75,0,N,24
1136,2,1,1,1,9,4,06-08507,53,0,2,501
6703,2,3,2,2,6,0,17-03529,74,0,2,318
808,1,1,1,2,5,0,06-08507,71,0,2,366
8820,1,1,1,1,4,0,24-01004,73,0,2,501
18325,1,1,1,1,9,0,38-00100,73,0,2,501
8059,2,5,1,1,6,0,19-01700,44,1,2,259
21305,2,6,1,2,4,0,51-01301,65,0,N,189
23980,1,N,1,2,N,0,06-08507,4,2,4,501
20298,1,4,1,1,2,0,40-00200,57,0,2,52
6180,2,6,2,2,1,0,17-03531,23,0,3,104
12616,1,6,2,1,9,0,29-01901,59,0,2,501
26527,1,N,6,1,N,0,26-02702,7,2,4,501
20089,1,1,1,1,9,0,40-00200,38,3,5,312
10105,2,1,1,1,9,0,24-01004,68,0,2,501
16169,1,6,2,1,0,0,36-04010,30,0,3,501
25829,1,N,2,2,N,0,51-51255,10,3,4,0
2949,1,6,1,0,3,0,08-00803,19,N,N,N
22295,1,1,1,1,9,0,51-01301,49,2,4,501
11505,2,1,2,1,9,0,28-01100,57,0,2,501
3586,2,5,1,2,7,0,08-00803,47,0,N,501
9009,2,1,1,1,0,0,24-01004,80,0,2,501
8666,1,1,1,1,9,0,24-01004,48,1,3,501
14395,1,1,1,1,4,0,30-00600,67,0,2,300
12402,1,6,1,0,2,0,29-01901,34,N,N,86
10663,2,4,2,1,5,0,26-02702,72,0,N,279
8725,2,1,1,1,6,0,24-01004,52,1,3,501
13331,2,6,1,1,4,0,30-00600,55,0,N,173
23079,1,N,1,2,N,1,32-00405,4,3,6,149
14549,2,1,1,2,0,0,30-00600,22,1,3,171
1740,1,1,6,1,9,0,06-08507,44,1,3,501
