,Target samples,Deid. samples
0,95,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,18,2
11,0,0
12,7,1
13,0,0
14,0,0
15,0,0
16,0,0
17,182,36
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,6,2
26,0,0
27,33,12
28,0,0
29,0,0
30,0,0
31,0,0
32,225,106
33,8,4
34,0,0
35,0,0
36,0,0
37,0,0
38,34,21
39,304,195
40,9,6
41,0,0
42,0,0
43,55,41
44,0,0
45,0,0
46,0,0
47,0,0
48,2881,2623
49,0,0
50,409,410
51,3856,3968
52,28,30
53,0,0
54,825,983
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,18,35
67,211,420
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,38,109
75,3,9
76,0,0
77,0,0
78,0,0
79,0,0
80,1,4
81,11,46
82,0,0
83,0,0
84,0,0
85,0,0
86,13,80
87,0,0
88,0,0
89,5,41
90,0,0
91,0,0
92,1,12
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,80
