,Target samples,Deid. samples
0,24,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,24,2
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,24,8
26,0,0
27,0,0
28,83,34
29,0,0
30,0,0
31,0,0
32,15,7
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,5,3
39,0,0
40,6,4
41,186,131
42,997,735
43,667,504
44,0,0
45,592,480
46,0,0
47,1669,1459
48,0,0
49,0,0
50,0,0
51,3903,4110
52,0,0
53,68,76
54,517,611
55,5,6
56,143,184
57,123,169
58,0,0
59,0,0
60,0,0
61,0,0
62,3,5
63,0,0
64,73,128
65,40,74
66,0,0
67,1,2
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,25,66
74,6,17
75,0,0
76,30,94
77,0,0
78,8,29
79,34,131
80,0,0
81,0,0
82,0,0
83,4,20
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,1,18
96,0,0
97,0,0
98,0,0
99,0,169
