,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,1.1102230246251565e-14,0.030268599874267305,-0.06746657627279669,-0.05493758726321086,-0.04945092677613095,0.011858541735980468,-0.054519841829953807,0.0035969009238190214,0.02815470992566964,0.03643399716292083
AGEP,0.030268599874267305,4.440892098500626e-16,-0.05961139168009638,0.014561441180038576,-0.012261598171880161,0.17676987497395452,-0.22897624935709504,-0.1971768436830751,0.1728938379174379,0.11576406778680148
SEX,-0.06746657627279669,-0.05961139168009638,-6.661338147750939e-16,-0.015666565207928942,0.04088733345673946,0.03500864888289957,0.008377255085651094,-0.018415046367923404,0.017125946212204687,0.08727504002700863
MSP,-0.05493758726321086,0.014561441180038576,-0.015666565207928942,-3.3306690738754696e-16,0.031595270695604416,-0.006091764016160204,-0.03562008311567849,0.08121269924338964,0.046754951259063364,0.008011004300121222
HISP,-0.04945092677613095,-0.012261598171880161,0.04088733345673946,0.031595270695604416,1.887379141862766e-15,-0.19413390647617007,-0.006070984878761121,0.023787381356671883,-0.09431713246778543,-0.05741814482970206
RAC1P,0.011858541735980468,0.17676987497395452,0.03500864888289957,-0.006091764016160204,-0.19413390647617007,0.0,-0.09726497118969143,-0.09341629250872521,-0.030226049837506,0.14977385380021352
NOC,-0.054519841829953807,-0.22897624935709504,0.008377255085651094,-0.03562008311567849,-0.006070984878761121,-0.09726497118969143,-1.5543122344752192e-15,0.007899066660417398,-0.20979969681607874,-0.2908709265890325
NPF,0.0035969009238190214,-0.1971768436830751,-0.018415046367923404,0.08121269924338964,0.023787381356671883,-0.09341629250872521,0.007899066660417398,-2.220446049250313e-16,-0.08513376995455615,-0.17656173057319646
OWN_RENT,0.02815470992566964,0.1728938379174379,0.017125946212204687,0.046754951259063364,-0.09431713246778543,-0.030226049837506,-0.20979969681607874,-0.08513376995455615,-8.881784197001252e-16,0.1112013507762023
PINCP_DECILE,0.03643399716292083,0.11576406778680148,0.08727504002700863,0.008011004300121222,-0.05741814482970206,0.14977385380021352,-0.2908709265890325,-0.17656173057319646,0.1112013507762023,0.0
