"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","46","2","1","1","7","3","N","2","1","1"
"2","27","2","6","1","9","9","N","2","1","2"
"3","19","2","6","1","7","5","N","2","3","0"
"4","26","1","6","9","9","8","N","2","1","2"
"5","52","2","1","6","12","0","N","2","1","1"
"6","82","2","4","1","9","7","N","2","1","2"
"7","73","1","1","3","5","4","2","2","1","1"
"8","31","2","1","1","7","5","N","2","1","1"
"9","72","1","1","1","8","7","N","2","1","1"
"10","49","1","1","1","4","2","N","1","1","2"
"11","66","2","1","1","5","2","N","2","1","1"
"12","82","2","1","1","6","2","N","1","1","1"
"13","62","2","1","2","5","0","N","2","1","1"
"14","44","1","1","1","12","9","N","2","1","1"
"15","24","1","6","1","9","5","N","2","1","2"
"16","55","1","1","6","11","9","N","2","1","1"
"17","78","1","1","1","11","9","N","2","1","1"
"18","18","2","6","6","7","5","N","2","3","0"
"19","76","2","4","2","7","4","N","2","1","1"
"20","56","1","6","1","3","4","N","2","3","0"
"21","10","1","N","1","3","N","N","2","1","1"
"22","21","1","6","1","5","1","N","1","1","1"
"23","33","1","6","6","9","0","N","2","1","2"
"24","16","2","6","1","4","2","N","2","1","1"
"25","22","2","6","1","5","1","N","2","1","1"
"26","90","2","3","1","9","2","N","2","2","0"
"27","68","2","6","2","5","4","N","2","1","1"
"28","32","2","6","2","6","2","N","1","1","2"
"29","63","1","1","1","7","6","N","2","1","1"
"30","40","1","1","2","10","8","N","2","1","2"
"31","70","1","6","1","10","8","N","2","1","1"
"32","15","2","6","1","4","0","N","2","1","1"
"33","35","2","1","1","10","9","N","2","1","1"
"34","29","1","6","1","9","9","N","2","1","2"
"35","21","1","6","1","7","0","N","2","1","2"
"36","84","2","4","2","7","5","N","2","1","1"
"37","63","1","1","2","5","4","N","2","1","2"
"38","16","2","6","6","4","1","N","2","1","1"
"39","7","2","N","1","2","N","N","2","1","2"
"40","67","2","1","2","5","4","N","2","1","2"
"41","50","1","1","1","9","9","N","2","1","1"
"42","9","2","N","1","3","N","N","2","1","1"
"43","65","2","6","1","9","6","N","2","1","2"
"44","23","2","6","2","8","2","N","2","1","1"
