"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","61","1","1","6","4","N","6","2","1","1"
"2","61","2","2","5","7","7","5","2","3","0"
"3","56","2","3","5","4","7","2","2","2","0"
"4","7","1","N","2","3","N","N","2","1","1"
"5","76","1","3","8","12","3","4","2","1","2"
"6","72","1","N","2","9","4","4","1","1","1"
"7","58","2","6","4","11","0","4","1","3","0"
"8","82","2","2","3","12","7","3","2","1","1"
"9","5","1","N","1","1","N","N","2","1","1"
"10","84","2","1","6","6","0","1","1","1","2"
"11","15","1","N","6","3","4","N","2","1","1"
"12","0","2","N","1","N","N","N","2","1","1"
"13","23","2","4","4","2","2","5","1","2","0"
"14","20","1","2","8","8","6","N","2","1","1"
"15","27","2","4","8","9","N","5","1","3","0"
"16","43","1","1","2","9","8","6","1","1","2"
"17","90","1","5","4","1","5","N","2","2","0"
"18","90","1","1","6","3","3","2","2","2","0"
"19","80","2","4","6","12","6","4","1","2","0"
"20","34","2","4","9","7","1","N","1","2","0"
"21","87","2","1","9","10","9","6","2","2","0"
"22","85","2","3","2","12","7","2","2","1","1"
"23","7","2","N","2","3","N","N","2","1","1"
"24","58","2","5","2","3","3","5","2","1","1"
"25","49","2","6","5","12","1","1","2","3","0"
"26","92","2","N","4","4","0","6","2","3","0"
"27","13","2","N","1","3","N","N","2","1","1"
"28","95","2","1","6","1","7","4","2","1","1"
"29","22","1","4","8","N","0","N","1","1","2"
"30","33","2","6","5","11","0","5","2","1","2"
"31","22","2","2","7","11","9","2","1","3","0"
"32","86","1","6","6","6","8","6","2","2","0"
"33","58","2","2","2","3","6","N","1","1","1"
"34","59","1","1","1","2","3","3","1","2","0"
"35","68","1","4","2","7","3","5","1","1","1"
"36","2","1","N","1","N","N","N","2","1","2"
"37","83","1","N","6","N","0","2","1","1","1"
"38","52","2","6","3","1","3","6","1","1","1"
"39","35","1","6","7","N","9","1","1","2","0"
"40","24","2","6","4","12","0","N","2","1","2"
"41","51","2","5","4","11","5","6","2","1","2"
"42","72","1","5","1","10","2","2","1","1","2"
"43","27","1","4","5","8","6","4","2","1","1"
"44","82","1","6","5","2","4","4","2","1","2"
"45","71","1","6","4","3","1","4","1","3","0"
"46","48","1","6","9","8","0","1","1","3","0"
"47","54","1","N","6","8","0","4","1","3","0"
"48","84","1","N","3","2","9","N","2","2","0"
"49","40","2","3","8","6","0","3","1","3","0"
"50","49","1","1","1","2","9","1","2","1","2"
"51","58","2","6","9","12","6","2","1","3","0"
"52","57","2","N","2","N","0","5","1","1","1"
"53","44","2","1","6","1","3","N","2","2","0"
"54","79","2","6","1","6","2","1","2","3","0"
"55","89","1","N","7","8","9","6","1","1","2"
"56","26","1","5","2","7","9","1","2","3","0"
"57","83","2","5","9","1","5","5","2","1","2"
"58","95","1","6","3","7","9","1","1","1","2"
"59","32","1","3","1","4","9","4","1","2","0"
"60","51","1","5","4","8","4","2","1","2","0"
"61","50","2","5","7","8","0","2","2","1","1"
"62","43","2","N","7","11","7","3","1","1","2"
"63","68","1","4","2","7","3","5","1","1","1"
"64","28","1","2","7","9","7","1","1","3","0"
"65","47","2","N","3","3","9","3","1","2","0"
"66","90","2","1","5","7","5","3","1","2","0"
"67","24","1","4","3","2","N","4","2","2","0"
"68","66","1","4","4","10","1","6","2","3","0"
"69","22","1","3","9","11","1","6","2","1","1"
"70","13","1","N","1","3","N","N","2","1","1"
"71","93","1","4","9","6","0","4","1","3","0"
"72","57","2","N","2","N","0","5","1","1","1"
"73","90","1","4","1","N","1","4","2","1","1"
"74","31","1","1","3","11","0","1","2","1","2"
"75","27","2","4","4","3","4","4","1","3","0"
"76","73","1","6","2","12","1","1","1","1","2"
"77","38","1","N","5","N","N","2","2","1","1"
"78","49","1","6","9","12","2","N","1","1","1"
