"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","34","2","1","1","9","2","N","2","1","1"
"2","65","2","5","6","3","0","N","2","1","1"
"3","74","2","3","2","9","6","N","2","1","1"
"4","85","2","1","1","5","7","N","2","1","1"
"5","88","2","4","2","7","1","N","2","1","1"
"6","28","2","6","1","7","5","N","2","1","1"
"7","13","1","N","2","3","N","N","2","1","1"
"8","20","1","6","2","7","1","N","2","1","2"
"9","36","2","1","1","9","9","N","2","1","1"
"10","50","1","1","1","5","9","N","2","1","1"
"11","21","1","6","2","7","0","N","2","1","1"
"12","61","1","6","2","9","0","N","2","2","0"
"13","56","1","2","2","8","1","N","2","1","1"
"14","53","1","1","1","10","8","N","2","1","2"
"15","42","2","6","2","8","4","N","2","1","2"
"16","37","2","6","2","10","8","N","2","1","1"
"17","73","2","1","1","5","2","N","2","1","1"
"18","59","1","1","1","11","9","N","2","1","1"
"19","80","2","3","2","4","4","N","2","1","1"
"20","19","1","6","1","7","3","N","2","3","0"
"21","34","2","6","1","7","1","N","2","1","1"
"22","39","2","4","6","9","7","N","2","1","2"
"23","74","1","1","1","11","9","N","2","1","1"
"24","66","2","6","2","6","2","N","2","1","2"
"25","36","2","6","1","9","2","N","2","1","1"
"26","34","1","6","1","9","6","N","2","1","1"
"27","18","1","6","6","7","3","N","2","3","0"
"28","50","1","4","2","8","5","N","2","1","2"
"29","47","1","1","1","12","9","N","2","1","1"
"30","51","2","6","1","9","8","N","2","1","1"
"31","67","2","6","9","4","3","N","2","1","1"
"32","58","1","1","1","9","9","N","2","1","1"
"33","16","2","6","1","4","2","N","2","1","1"
"34","53","1","6","1","5","3","N","2","1","1"
"35","63","2","1","1","10","9","N","2","1","1"
"36","56","1","1","2","5","8","N","2","1","1"
"37","44","2","1","1","9","8","N","2","1","1"
"38","1","1","N","2","N","N","N","2","1","2"
"39","20","1","6","1","7","3","N","2","1","2"
"40","15","2","6","2","3","0","N","2","1","1"
"41","65","2","4","2","4","7","N","2","1","2"
"42","11","1","N","2","3","N","N","2","1","2"
"43","46","2","6","2","9","9","N","2","1","1"
"44","58","1","1","6","11","8","N","2","1","1"
"45","33","2","6","2","4","3","N","2","3","0"
"46","35","2","1","6","10","1","N","2","1","1"
"47","59","1","4","2","5","9","N","2","1","2"
"48","33","1","6","2","7","7","N","2","1","2"
"49","26","1","6","8","3","5","N","2","1","2"
"50","9","1","N","2","3","N","N","2","1","2"
"51","66","2","1","1","8","3","N","2","1","1"
"52","65","1","3","8","5","7","N","2","1","1"
"53","24","1","6","1","7","8","N","2","1","1"
"54","57","1","1","2","7","6","N","2","1","1"
"55","9","2","N","1","3","N","N","2","1","1"
"56","66","2","5","2","5","3","N","2","1","2"
"57","58","2","1","1","9","8","N","2","1","2"
"58","71","2","1","1","12","9","N","2","1","1"
"59","46","1","4","1","5","4","N","2","1","1"
"60","87","2","1","1","5","3","N","2","1","1"
"61","62","1","1","2","5","6","N","2","1","1"
"62","67","2","1","1","8","5","N","2","1","1"
"63","69","1","1","1","10","1","N","2","1","1"
"64","39","1","6","1","8","6","N","2","1","1"
"65","3","2","N","1","2","N","N","2","1","1"
"66","36","2","6","2","4","2","N","2","1","2"
"67","52","2","1","1","8","7","N","2","1","1"
"68","5","1","N","1","1","N","N","2","1","2"
"69","41","2","6","8","3","2","N","2","1","2"
"70","67","1","1","6","11","7","N","2","1","1"
"71","33","1","6","1","7","6","N","2","1","2"
"72","22","1","6","8","5","5","N","2","1","2"
