,Target samples,Deid. samples
0,1961,2
1,0,0
2,2673,49
3,172,6
4,115,5
5,0,0
6,0,0
7,90,7
8,0,0
9,0,0
10,0,0
11,177,21
12,46,6
13,0,0
14,19,3
15,0,0
16,1127,216
17,0,0
18,0,0
19,0,0
20,236,58
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,138,54
29,0,0
30,0,0
31,0,0
32,0,0
33,8,4
34,0,0
35,17,9
36,0,0
37,0,0
38,0,0
39,0,0
40,18,12
41,0,0
42,0,0
43,0,0
44,0,0
45,6,5
46,0,0
47,239,210
48,0,0
49,0,0
50,1,1
51,0,0
52,68,75
53,0,0
54,0,0
55,13,16
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,14,25
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,202,579
75,5,15
76,9,28
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,26,118
83,0,0
84,0,0
85,0,0
86,1,6
87,9,58
88,0,0
89,0,0
90,76,679
91,0,0
92,81,991
93,0,0
94,0,0
95,32,640
96,0,0
97,0,0
98,0,0
99,55,3736
