PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
48-02515,2,1,0,1,1,1,6,2,2,2,2,56,2,8,5,0,N,267,9559.588371900001,2134.8
48-02516,2,1,0,6,1,1,11,2,2,2,2,49,1,4,10,9,N,501,232749.003921,1338.4
48-02102,2,1,0,1,1,1,N,1,1,2,2,62,0,2,8,2,N,501,56.11296138000034,450.89999999999975
48-02101,1,N,1,1,1,1,N,2,2,2,2,5,4,7,1,N,N,135,N,357.4
48-02101,1,N,1,1,1,1,N,N,N,2,2,1,0,2,N,N,N,501,N,357.4
48-02101,1,N,0,9,1,1,N,N,N,2,2,4,2,3,2,N,N,501,N,357.4
48-02101,2,2,0,2,1,2,9,2,2,2,2,63,0,8,7,4,N,364,40014.9641682,357.4
48-02515,1,1,1,1,1,2,16,2,2,2,2,40,1,5,7,7,N,479,604025.3247,2134.8
48-02510,2,1,0,1,1,1,14,2,2,2,2,53,0,3,7,5,N,501,36344.689705799996,3092.4
48-02101,2,6,0,1,1,1,3,2,2,2,2,30,0,N,5,5,N,501,36667.5336909,357.4
48-02102,2,N,0,1,1,1,N,2,2,2,2,12,1,4,3,N,N,378,N,450.89999999999975
48-02516,2,1,0,2,2,0,0,1,1,2,2,60,N,N,7,0,N,178,-0.6556577999999718,1338.4
48-02101,2,6,0,1,1,1,12,2,2,2,2,50,0,N,7,8,N,501,71216.501517,357.4
48-02515,2,6,0,2,1,2,14,2,2,2,2,20,0,2,7,2,N,41,-0.06917189999967377,2134.8
48-02507,2,6,0,1,1,2,N,2,2,2,2,47,0,N,9,0,N,189,-0.5018850900005418,3731.1
48-02510,1,1,0,1,1,1,12,2,2,2,2,28,0,2,10,9,N,501,53808.7909422,3092.4
48-02510,2,1,0,1,1,1,N,2,2,2,2,27,2,4,9,5,N,324,30000.5287008,3092.4
48-02510,1,1,0,1,1,1,N,2,2,2,2,32,0,2,8,8,N,501,97836.055569,3092.4
48-02102,2,1,0,1,1,1,N,2,2,2,2,60,0,3,4,0,N,390,16743.2434323,450.89999999999975
48-02516,2,1,0,1,1,1,15,2,2,2,2,28,1,3,8,8,N,501,79695.801255,1338.4
48-02515,1,1,0,1,1,1,4,2,2,2,2,56,0,2,7,6,N,501,41973.248204999996,2134.8
48-02510,1,1,0,1,1,2,5,2,2,2,2,24,0,4,9,7,N,380,64097.853298500006,3092.4
48-02515,2,4,0,1,1,2,12,2,1,2,2,62,0,N,4,4,N,387,0.1762551000001622,2134.8
48-02507,2,N,0,1,1,2,N,2,2,2,2,10,3,6,3,N,N,393,N,3731.1
48-02510,2,1,0,1,1,1,9,2,2,2,2,48,2,4,9,7,N,501,53437.566525,3092.4
48-02507,1,4,0,1,1,1,4,2,2,2,2,39,0,3,5,7,N,501,58109.176376999996,3731.1
48-02101,1,1,0,1,1,1,N,2,2,2,2,65,0,2,5,5,N,415,45011.194389000004,357.4
48-02507,2,N,0,1,1,1,N,2,2,2,2,5,1,2,5,N,N,390,N,3731.1
48-02516,2,6,1,1,1,2,9,2,2,2,2,32,2,4,1,7,N,501,52012.1984445,1338.4
48-02101,1,6,0,1,1,2,N,2,2,2,2,21,2,3,4,0,N,418,10106.866039199998,357.4
48-02102,2,1,0,2,1,1,10,2,2,2,2,78,1,4,10,5,N,22,30919.818690599997,450.89999999999975
48-02507,2,3,0,1,1,1,N,1,1,2,1,92,0,N,9,4,N,426,-0.031088400000044203,3731.1
48-02515,2,1,0,2,1,2,12,2,2,2,2,25,1,3,7,9,N,466,552520.52226,2134.8
48-02102,1,1,0,1,1,1,N,2,2,2,2,72,2,4,7,8,N,501,49992.53311499999,450.89999999999975
48-02507,2,1,0,1,1,1,N,2,2,2,2,64,0,2,10,0,N,323,15379.299805800001,3731.1
48-02102,2,1,0,1,1,1,N,2,1,2,2,62,0,2,5,9,N,501,-0.6764767799995752,450.89999999999975
48-02510,1,1,0,1,1,1,14,2,1,2,2,43,0,4,8,8,N,501,84911.548155,3092.4
48-02102,1,1,0,1,1,2,3,2,2,2,2,49,0,2,5,6,N,182,23939.617535399997,450.89999999999975
48-02101,2,6,0,1,1,2,12,2,2,1,2,21,0,6,12,2,N,501,-0.17800608000015927,357.4
48-02516,1,1,0,1,1,2,10,2,2,2,2,40,0,2,7,9,N,501,112764.432123,1338.4
48-02507,1,3,0,1,1,1,6,2,2,2,2,65,0,3,8,3,N,91,372.9705588000006,3731.1
48-02102,2,6,0,1,1,1,18,2,2,2,2,47,0,3,5,0,N,501,1.5616481999995813,450.89999999999975
48-02515,2,4,0,1,1,1,N,2,2,2,2,44,3,6,4,0,N,390,-0.5219423999997161,2134.8
48-02510,2,6,2,2,2,0,9,2,2,2,2,37,N,N,9,0,N,263,12004.453440000001,3092.4
48-02102,1,1,0,1,1,1,16,2,2,2,1,54,0,2,7,7,N,501,58100.527191,450.89999999999975
48-02515,2,6,0,1,1,2,6,2,2,2,2,31,0,3,9,5,N,117,24880.702289099998,2134.8
48-02102,2,1,0,1,1,1,8,2,2,2,2,48,0,3,5,0,N,392,1756.8665541,450.89999999999975
48-02515,1,6,0,1,1,2,9,2,2,2,2,66,0,N,4,1,N,196,487388.34332999995,2134.8
48-02507,2,4,0,1,1,1,18,2,2,2,1,75,0,3,9,9,N,501,98730.8358645,3731.1
48-02102,1,6,0,6,1,1,7,2,2,1,2,22,0,3,3,0,5,459,-0.4684562399997958,450.89999999999975
48-02516,1,1,0,1,1,1,15,2,2,2,2,66,0,2,5,7,N,460,74473.07238,1338.4
48-02516,1,N,0,1,1,2,N,2,2,2,2,11,2,3,3,N,N,135,N,1338.4
48-02507,1,5,1,1,1,2,6,2,2,2,2,51,1,3,7,5,N,65,41964.031998,3731.1
48-02515,2,3,0,1,1,1,4,2,2,2,2,70,0,N,9,9,N,501,87481.219623,2134.8
48-02515,2,1,4,1,1,1,N,2,2,2,2,63,0,2,9,0,N,76,-1.13440971,2134.8
48-02101,1,1,0,1,1,1,16,2,2,2,2,28,0,6,10,8,N,501,59899.98102899999,357.4
48-02510,2,3,1,8,1,1,11,2,2,2,2,37,0,5,8,4,N,281,36615.2018841,3092.4
48-02102,1,N,0,1,1,2,N,N,N,2,2,4,3,5,2,N,N,213,N,450.89999999999975
48-02102,2,N,0,1,1,1,N,2,2,2,2,9,0,3,3,N,N,188,N,450.89999999999975
48-02101,1,6,0,1,1,1,14,2,2,2,2,16,3,6,4,2,N,165,9618.561094800001,357.4
48-02102,2,1,1,1,1,1,11,2,2,2,2,54,0,2,1,3,N,67,9158.426092200001,450.89999999999975
48-02102,2,6,0,1,1,1,N,2,2,2,2,16,2,5,4,0,N,233,-0.35378259000026446,450.89999999999975
48-02101,1,4,0,1,1,2,14,2,2,2,2,63,0,2,4,5,N,263,30992.958475499996,357.4
48-02102,1,1,0,1,1,1,N,2,2,2,2,72,0,6,7,3,N,445,-0.3423575399992842,450.89999999999975
