,feature,divergence
22,PWGTP,5.0129380492568085
23,WGTP,1.4525129830120587
14,PINCP,0.6776302605034275
11,INDP,0.47131033977968456
12,INDP_CAT,0.40752818033389876
1,AGEP,0.4033941826476619
16,POVPIP,0.27256689209056156
10,DENSITY,0.22014357443185456
13,EDU,0.10024735598375356
15,PINCP_DECILE,0.08958879315618584
7,NPF,0.06286107231717113
0,PUMA,0.04804979372818263
6,NOC,0.02603716282134304
5,RAC1P,0.013925907650375121
3,MSP,0.013447563663980908
4,HISP,0.008473972745553952
17,DVET,0.005449915476286175
9,OWN_RENT,0.0032672429772163565
18,DREM,0.002564209258238123
21,DEAR,0.0021289157642700868
8,HOUSING_TYPE,0.001755271791494397
20,DEYE,0.0011328168391977478
19,DPHY,0.0009863757345371371
2,SEX,0.0008285167313085706
