,feature,divergence
22,PWGTP,6.444269579707463
1,AGEP,3.3490675990675984
0,PUMA,2.4557069088319095
23,WGTP,2.444444444444445
14,PINCP,1.2051831983702046
11,INDP,1.1066062768780303
15,PINCP_DECILE,0.9171947461635324
13,EDU,0.6637847001483363
16,POVPIP,0.4919064289100391
10,DENSITY,0.43821974148061094
12,INDP_CAT,0.41104567497650135
7,NPF,0.40545989357834555
3,MSP,0.26471590909090914
5,RAC1P,0.11526517159136085
6,NOC,0.11427136497740373
9,OWN_RENT,0.09031657247292055
2,SEX,0.05972177845503479
4,HISP,0.036956339913014384
18,DREM,0.027052467155100436
8,HOUSING_TYPE,0.01742225811421802
19,DPHY,0.011419254781320325
20,DEYE,0.011312445996832576
17,DVET,0.009220281065670896
21,DEAR,0.002854528851408848
