,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
3364,08-00803,21,2,6,0,1,0,N,1,2,3393.2,9290,15,7,3000.0,1,22,N,2,2,2,2,171,171
6482,17-03531,69,2,1,0,2,0,2,1,1,11171.6,8191,12,9,70000.0,8,501,N,2,1,2,2,79,79
13245,29-01901,63,2,6,0,2,0,N,1,1,5434.8,1280,4,5,21000.0,4,159,N,2,2,2,2,60,51
26725,28-01100,5,1,N,0,2,0,4,1,2,2674.3,N,N,2,N,N,233,N,2,2,2,2,154,91
10794,26-02702,46,1,1,0,1,3,5,1,1,4817.2,7990,12,11,45000.0,6,248,N,2,2,2,2,81,77
19376,38-00100,15,2,6,0,1,2,4,1,1,73.0,N,N,4,0.0,0,478,N,2,2,2,2,98,218
18110,38-00100,32,1,6,0,1,0,N,1,1,73.0,5275,6,7,60000.0,7,455,N,2,2,2,2,39,38
13119,29-01901,20,1,6,0,6,0,N,1,1,5434.8,N,N,7,0.0,0,0,N,2,2,2,2,113,114
5596,17-03531,77,1,5,0,2,0,8,1,1,11171.6,N,N,4,13200.0,3,486,N,1,2,2,2,229,229
21300,51-51255,64,2,4,0,9,0,N,1,2,11224.3,8090,12,9,69000.0,7,501,N,2,2,2,2,129,128
7186,17-03529,67,2,6,0,2,0,N,1,2,15097.5,N,N,7,24000.0,4,198,N,2,1,2,2,75,74
7305,19-01700,20,2,6,0,1,N,N,3,0,3572.3,5275,6,7,2250.0,1,N,N,2,2,2,2,96,0
10467,26-02702,18,1,6,0,1,N,N,3,0,4817.2,3470,4,7,17000.0,3,N,N,2,2,2,2,86,0
9881,24-01004,18,1,6,0,1,0,3,1,1,4187.9,8680,14,5,1500.0,1,501,N,2,2,2,2,40,38
22209,51-01301,33,1,6,0,1,0,N,1,2,11162.8,9370,16,12,111300.0,8,501,N,2,2,2,2,41,41
2086,06-08507,42,2,1,0,1,2,6,1,2,3305.1,8090,12,11,5000.0,2,501,N,2,2,2,2,102,118
24211,38-00100,13,1,N,0,1,4,6,1,1,73.0,N,N,3,N,N,501,N,2,2,2,2,154,163
25268,17-03529,9,1,N,0,2,2,3,1,2,15097.5,N,N,3,N,N,8,N,2,2,2,2,75,51
24716,40-00200,11,1,N,0,9,2,4,1,1,90.7,N,N,3,N,N,147,N,2,2,2,2,56,60
23495,36-04010,7,1,N,0,2,0,5,1,1,50441.6,N,N,2,N,N,270,N,2,2,2,2,50,48
9190,24-01004,44,1,1,0,1,2,4,1,1,4187.9,8191,12,11,350000.0,9,501,N,2,2,2,2,14,14
23928,06-07502,4,1,N,0,9,2,4,1,1,33632.6,N,N,2,N,N,501,N,N,N,2,2,61,59
17063,36-03710,18,2,6,2,8,0,6,1,2,52864.7,N,N,4,0.0,0,215,N,2,2,2,2,87,97
10224,24-01004,82,1,3,0,1,0,N,1,1,4187.9,770,3,7,278900.0,9,501,N,2,1,2,2,107,107
21172,51-01301,37,1,6,0,1,0,N,1,2,11162.8,7380,10,12,165000.0,9,501,N,2,2,2,2,79,78
26557,26-02702,2,1,N,0,1,1,3,1,2,4817.2,N,N,N,N,N,501,N,N,N,2,2,76,95
21063,51-01301,47,2,6,0,1,0,N,1,1,11162.8,6991,9,9,240000.0,9,501,N,2,2,2,2,49,49
1680,06-08507,67,2,1,0,1,0,3,1,1,3305.1,N,N,9,53700.0,6,501,N,2,2,2,2,80,82
