,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,6.572520305780927e-14,-0.04978070654675706,0.05811590618194315,-0.021288693354009274,-0.17247067181268913,-0.09150508071510594,0.011450635016907308,-0.009128166187884179,-0.06504590470735595,-0.00034630880781108195,0.03990748848156206,-0.014316251256295088,0.03209220553526816,-0.040982928576271116,0.08540959472827546,-4.335399865071387e-05,-0.088942713406252,0.0045935833356434246,0.06395770668030934
PUMA,-0.04978070654675706,1.0880185641326534e-14,0.010227735029810843,0.006490798590327335,-0.0031968214500445735,0.00946665053592314,0.0011667980525926595,-0.009867568930902888,-0.03911006608718831,-0.007559788965828401,-0.011295344582000134,-0.023979199063645547,-0.030734082289628845,-0.03809949246307261,0.02757602553318128,-0.0061726616187442185,0.002441576004154805,0.013475889462147825,0.020199086773108423
PINCP_DECILE,0.05811590618194315,0.010227735029810843,0.0,0.06786457911652977,0.015291118265076814,-0.036950995493464214,0.01504350059007753,0.08839991336336585,0.05182355424040666,0.026148197361311215,0.10062848891895736,0.021187100739980258,-0.05109920163276081,0.22623080982508786,-0.0736677215098912,-0.008956536451890595,0.022932787335577715,0.012418383083195095,0.0051602057098978915
MSP,-0.021288693354009274,0.006490798590327335,0.06786457911652977,9.381384558082573e-14,0.0034108468618299637,-0.0009136164351315236,0.05125251617324822,0.014487948418889014,0.06989729873166056,-0.0714601143545584,0.013349293765390619,0.032709542212538856,0.03931827493723349,0.31078726573825977,0.0292809395639565,0.04692309335901018,0.016000838087080617,0.05350449056153184,0.01550785263923836
DENSITY,-0.17247067181268913,-0.0031968214500445735,0.015291118265076814,0.0034108468618299637,4.440892098500626e-14,-0.009601162336766833,0.02048951524370484,-0.022348296494227985,0.015524599798520472,-0.01812808499407837,-0.02468359305460202,-0.03931685298897742,0.03921906597845987,0.05092446399036321,0.0008407458377607396,0.008296864131275505,-0.04080197527703165,0.021592255739868175,-0.0025121910452900187
OWN_RENT,-0.09150508071510594,0.00946665053592314,-0.036950995493464214,-0.0009136164351315236,-0.009601162336766833,0.0,-0.014471384837295508,-0.034582967657559915,0.06527256279202,-0.05968903816515858,-0.07717928394493108,-0.0597161469386659,0.004268350677403562,0.026601456649575722,0.006721595470045784,0.018862715034173062,-0.028090324147045237,-0.0012541623004641844,0.017948245511629074
DREM,0.011450635016907308,0.0011667980525926595,0.01504350059007753,0.05125251617324822,0.02048951524370484,-0.014471384837295508,2.1094237467877974e-15,-0.012125765569225733,0.010114534299826838,-0.012005496935793362,0.04208528612364864,0.004675428269820259,0.017183003626027708,0.30098533666848215,0.05684490753065652,-0.012079108291557936,-0.027878253989596414,-0.023622460495800413,0.04269235237780472
SEX,-0.009128166187884179,-0.009867568930902888,0.08839991336336585,0.014487948418889014,-0.022348296494227985,-0.034582967657559915,-0.012125765569225733,0.0,-0.00910348719500528,0.038103231607503694,-0.006762892731693451,-0.04009294069559499,0.09952070396022072,-0.00477351425534543,-0.024889228361552176,-0.0009077334482390977,-0.044441995288304836,0.015143181751810092,-0.05372482772793075
NPF,-0.06504590470735595,-0.03911006608718831,0.05182355424040666,0.06989729873166056,0.015524599798520472,0.06527256279202,0.010114534299826838,-0.00910348719500528,6.250555628639631e-14,-0.0320003154597463,-0.08643344507313445,-0.005210845586777951,0.00665544792247361,-0.09786145528596035,0.06592205879124602,-0.05552503801990499,-0.08125671902822518,-0.007977079667946085,0.10899937058381454
HOUSING_TYPE,-0.00034630880781108195,-0.007559788965828401,0.026148197361311215,-0.0714601143545584,-0.01812808499407837,-0.05968903816515858,-0.012005496935793362,0.038103231607503694,-0.0320003154597463,2.1538326677728037e-14,0.0425478774501285,0.035363232079751075,0.026473913762993795,-0.0374774692138829,-0.02246448002567161,0.011103563520346646,0.010785263994427917,-0.025639594163913315,0.005990451288744036
