SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
1,1,1,1,0,12,3,2
1,1,1,1,0,12,5,5
1,1,1,1,0,2,3,4
1,1,1,1,0,3,0,N
1,1,1,1,0,4,1,3
1,1,1,1,0,6,7,N
1,1,1,1,0,8,2,3
1,1,1,1,0,8,8,1
1,1,1,1,0,N,2,2
1,1,1,1,0,N,8,N
1,1,1,1,1,1,0,2
1,1,1,1,1,1,3,5
1,1,1,1,1,1,3,5
1,1,1,1,1,1,4,6
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,8,N
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,10,9,3
1,1,1,1,1,5,4,3
1,1,1,1,1,5,7,2
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,3,N
1,1,1,1,1,6,6,6
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,0,N
1,1,1,1,1,7,1,5
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,7,7,N
1,1,1,1,1,8,0,N
1,1,1,1,1,8,0,N
1,1,1,1,1,8,0,N
1,1,1,1,1,8,1,1
1,1,1,1,1,8,1,N
1,1,1,1,1,8,1,N
1,1,1,1,1,8,1,N
1,1,1,1,1,8,1,N
1,1,1,1,1,8,6,3
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,6,N
1,1,1,1,1,8,7,2
1,1,1,1,1,8,8,2
1,1,1,1,2,10,7,5
1,1,1,1,2,10,N,4
1,1,1,1,2,5,5,2
1,1,1,1,2,5,5,2
1,1,1,1,2,5,5,6
1,1,1,1,2,5,7,5
1,1,1,1,2,7,5,5
1,1,1,1,2,7,7,N
1,1,1,1,2,7,7,N
1,1,1,1,2,7,7,N
1,1,1,1,2,7,7,N
1,1,1,1,2,7,7,N
1,1,1,1,2,7,7,N
1,1,1,1,2,7,8,2
1,1,1,1,2,7,8,2
1,1,1,1,2,8,1,2
1,1,1,1,2,8,7,N
1,1,1,1,2,8,7,N
1,1,1,1,2,N,2,1
1,1,1,2,0,10,9,6
1,1,1,2,0,10,N,2
1,1,1,2,0,11,4,3
1,1,1,2,0,11,5,4
1,1,1,2,0,11,7,5
1,1,1,2,0,12,8,N
1,1,1,2,0,2,0,N
1,1,1,2,0,2,1,5
1,1,1,2,0,6,6,1
1,1,1,2,0,9,3,3
1,1,1,2,1,1,6,N
1,1,1,2,1,12,9,4
1,1,1,2,1,4,3,2
1,1,1,2,1,5,1,2
1,1,1,2,1,6,8,3
1,1,1,2,1,N,1,N
1,1,1,2,1,N,4,6
1,1,1,2,2,1,6,N
1,1,1,2,2,10,7,N
1,1,1,2,2,10,N,5
