AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
1,1,4,6,2,2,11,5,N
1,1,N,6,1,1,N,N,N
1,1,N,6,1,1,N,N,N
1,1,N,6,1,1,N,N,N
1,1,N,6,1,1,N,N,N
1,1,N,6,1,1,N,N,N
1,1,N,6,1,1,N,N,N
3,2,N,1,1,2,2,N,N
3,2,N,1,1,2,2,N,N
4,1,N,2,3,0,2,N,N
6,2,N,3,1,1,2,N,N
6,2,N,3,1,1,2,N,N
7,1,N,2,1,2,2,N,N
7,1,N,2,1,2,2,N,N
7,1,N,2,1,2,2,N,N
7,1,N,2,1,2,2,N,N
7,1,N,2,1,2,2,N,N
8,2,6,2,1,2,8,3,4
9,1,1,8,2,1,N,1,5
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
