,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,5.551115123125783e-16,0.057376948109609326,0.17889174857822726,0.15340958149295547,-0.01021361875124989,0.1117660994503209,-0.34005675572703614,-0.8546126799171757,-0.03451509057454162,0.08064001427996742
SEX,0.057376948109609326,-9.325873406851315e-15,0.0643434068667235,0.08546826285561698,0.016915593103863612,0.023127694959511988,-0.02381562751245958,0.13316093700983395,0.12918317188112274,-0.01516068694086534
MSP,0.17889174857822726,0.0643434068667235,-6.661338147750939e-16,0.01836298077492269,-0.10589390069739388,-0.05419020936622565,-0.11899901733828766,-0.4592306302229523,0.04960023122774969,0.0057864792047368704
RAC1P,0.15340958149295547,0.08546826285561698,0.01836298077492269,-1.0769163338864018e-14,0.007849812915340206,0.029431389899372457,0.07291553606894063,0.11964481483102467,0.03881945101445505,-0.06489516039894169
HOUSING_TYPE,-0.01021361875124989,0.016915593103863612,-0.10589390069739388,0.007849812915340206,1.787459069646502e-14,0.4301312238364546,0.03420433570628941,0.07294735449475503,0.052994459457535864,0.07753168506575389
OWN_RENT,0.1117660994503209,0.023127694959511988,-0.05419020936622565,0.029431389899372457,0.4301312238364546,0.0,0.03515693627132919,0.1458709199647456,0.016305988259546135,-0.04312246658346212
EDU,-0.34005675572703614,-0.02381562751245958,-0.11899901733828766,0.07291553606894063,0.03420433570628941,0.03515693627132919,4.107825191113079e-15,-0.7915961964659617,-0.07752806138884685,-0.02330476703740563
PINCP_DECILE,-0.8546126799171757,0.13316093700983395,-0.4592306302229523,0.11964481483102467,0.07294735449475503,0.1458709199647456,-0.7915961964659617,-9.992007221626409e-15,-0.09989514750096208,-0.0021670362153068264
DVET,-0.03451509057454162,0.12918317188112274,0.04960023122774969,0.03881945101445505,0.052994459457535864,0.016305988259546135,-0.07752806138884685,-0.09989514750096208,0.0,-0.0035148203133457444
DEYE,0.08064001427996742,-0.01516068694086534,0.0057864792047368704,-0.06489516039894169,0.07753168506575389,-0.04312246658346212,-0.02330476703740563,-0.0021670362153068264,-0.0035148203133457444,0.0
