,Unnamed: 0,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,PUMA
0,8741,69,1,6,1,1,0,3,1,2,770,14,5,7676,9,316,5,2,2,2,1,147,6,48-02516
1,9056,78,2,1,0,2,0,4,1,1,8590,10,5,-6300,3,501,N,N,2,2,2,75,67,48-02510
2,4557,18,2,6,0,1,0,4,1,2,N,10,7,41817,7,501,N,2,2,2,2,162,28,48-02507
3,187,26,1,6,0,2,0,3,1,2,8370,14,3,99665,9,214,5,2,2,2,1,13,105,48-02510
4,150,52,2,N,0,1,2,N,1,1,6390,6,3,88697,5,501,5,2,N,2,2,42,97,48-02102
5,9151,38,1,6,0,1,0,N,1,1,7860,N,10,N,8,387,N,2,2,2,2,103,9,48-02102
6,338,59,2,6,0,1,0,2,2,2,7970,14,2,23806,N,280,N,2,2,2,2,84,23,48-02102
7,7537,81,1,1,1,1,1,N,1,1,8590,12,9,86104,8,400,N,2,1,2,2,88,58,48-02516
8,679,59,1,1,0,1,2,N,1,1,N,N,7,-6300,7,24,N,N,2,2,2,47,70,48-02510
9,206,2,1,1,0,1,0,7,1,1,770,10,4,62217,4,346,N,2,2,2,2,60,81,48-02515
10,7937,17,2,2,0,2,0,2,1,1,6070,7,9,141682,0,374,N,2,N,2,2,56,0,48-02507
11,3797,5,2,6,0,1,0,N,1,1,8191,7,7,6602,6,501,N,2,2,2,2,39,58,48-02507
12,8078,16,2,4,0,1,3,5,1,1,8770,8,5,76080,3,411,N,2,2,2,2,100,79,48-02510
13,7167,70,1,1,0,1,0,3,1,0,7970,4,3,74786,1,440,N,2,2,2,2,75,40,48-02516
14,2095,43,2,6,0,1,0,3,1,0,5190,18,7,40474,5,398,N,N,2,2,2,63,44,48-02507
15,3411,63,2,1,1,1,2,N,1,1,N,6,11,34829,8,396,N,2,2,2,2,73,68,48-02101
16,7954,4,1,1,1,1,0,3,2,0,8470,9,5,90850,8,349,N,2,2,2,2,95,20,48-02102
17,7680,10,1,1,0,1,0,3,1,1,7860,N,5,-6300,9,480,N,2,2,2,2,138,56,48-02510
18,2359,35,2,N,0,1,2,2,1,1,7860,4,10,-6300,0,178,N,2,2,2,2,140,104,48-02515
19,1891,13,1,1,0,1,0,2,1,1,4080,16,4,59034,3,501,N,2,2,2,2,74,94,48-02515
20,5401,39,1,N,0,2,4,7,1,1,7860,N,9,N,8,431,N,2,1,2,2,31,28,48-02510
21,9212,10,1,6,0,1,2,6,1,2,3580,10,7,189480,7,292,N,2,1,2,1,19,37,48-02515
22,4324,38,1,1,0,1,0,N,1,2,N,N,3,-6300,9,307,N,2,2,2,2,415,110,48-02507
23,7691,3,1,6,1,2,0,N,1,1,770,N,10,-6300,9,292,N,2,2,2,2,44,75,48-02102
24,8665,55,1,6,0,2,0,2,1,2,N,6,3,N,1,283,N,2,2,2,2,42,36,48-02515
25,3131,26,2,1,0,1,2,4,2,1,7860,6,5,17104,8,393,N,2,2,2,2,74,59,48-02510
26,642,49,2,1,0,1,0,3,1,1,7860,4,8,5023,6,501,N,2,2,2,2,77,93,48-02102
27,7751,68,2,1,0,1,2,4,1,2,5070,16,3,71790,6,501,N,2,2,2,2,73,75,48-02516
28,5387,11,1,6,0,2,0,6,1,2,N,4,2,85504,0,378,N,N,2,2,2,91,27,48-02102
29,7428,34,1,1,0,1,2,N,1,1,7270,4,3,119905,6,351,N,2,2,2,2,98,62,48-02510
30,8007,15,1,1,1,1,4,3,1,1,N,9,7,N,2,254,N,2,2,2,2,31,37,48-02507
31,4395,32,2,N,0,1,2,3,1,2,7860,6,10,-6300,6,426,N,2,2,2,2,104,106,48-02102
32,890,88,2,6,1,1,2,4,2,1,7870,4,5,51182,9,261,N,2,2,2,2,42,97,48-02507
33,7080,20,1,6,3,2,2,3,1,1,8170,N,5,111839,4,236,N,2,2,2,2,28,264,48-02516
34,2004,1,2,6,0,1,2,5,2,2,7860,12,7,28746,0,501,N,2,1,2,1,37,25,48-02507
35,2208,7,1,1,0,2,0,N,1,0,7860,10,3,101834,9,407,N,2,2,2,2,65,48,48-02101
36,30,59,1,1,0,1,3,6,1,2,7270,11,7,N,9,314,5,N,2,2,2,35,51,48-02102
37,514,11,2,1,0,1,2,N,1,1,8570,9,9,124848,3,166,5,2,2,2,2,23,33,48-02516
38,4882,52,1,N,1,1,3,5,1,1,8680,N,3,28433,8,276,N,2,2,2,2,95,37,48-02516
39,681,17,1,1,0,1,2,3,1,1,N,6,8,11163,9,501,5,N,2,2,2,843,52,48-02515
40,8898,43,1,N,0,1,0,N,1,1,7860,10,10,198862,0,392,N,2,2,2,2,32,77,48-02516
41,3790,77,1,N,0,1,1,N,1,1,7980,N,3,121457,0,501,N,2,1,2,2,90,44,48-02102
42,6656,49,2,4,1,1,0,3,1,2,7860,N,9,N,7,290,N,2,2,2,2,80,56,48-02516
43,6,26,1,6,1,1,0,4,1,1,N,N,5,140401,7,90,N,2,2,1,2,28,21,48-02101
44,1953,35,1,1,0,1,0,2,2,1,7860,16,3,-6300,6,334,N,2,2,2,2,18,116,48-02516
45,9006,39,1,6,1,2,0,5,1,2,9370,N,7,89105,N,113,N,2,2,2,1,123,41,48-02510
46,6106,50,1,1,0,1,0,3,1,1,N,6,5,-1737,6,390,N,2,2,2,2,95,31,48-02510
47,1429,37,2,1,0,2,0,N,1,2,9290,7,3,129239,5,501,N,2,2,2,2,18,78,48-02516
48,7759,47,2,N,1,2,2,N,1,2,N,6,3,N,9,366,N,2,2,2,2,88,73,48-02102
49,3405,60,2,1,0,1,2,4,1,1,7860,N,7,N,8,433,5,N,2,2,2,54,174,48-02510
50,6749,69,2,N,1,1,0,4,1,1,N,6,11,95668,N,353,N,2,1,2,2,88,61,48-02101
51,5000,22,2,1,0,2,2,3,1,1,N,N,N,N,0,284,N,N,1,2,2,94,93,48-02516
52,489,55,2,6,0,1,0,N,1,1,8680,2,7,-6300,2,450,N,2,2,2,2,20,99,48-02516
53,1576,34,2,1,1,1,0,4,1,1,770,11,5,127898,5,498,N,2,1,2,2,67,70,48-02101
54,6916,32,2,N,1,1,2,3,1,2,7680,11,9,-6300,2,67,N,N,2,2,2,37,41,48-02516
55,5891,47,1,N,0,1,2,2,1,1,N,N,9,50488,9,401,N,2,2,2,2,75,70,48-02102
56,1499,61,2,3,0,1,0,6,1,1,8680,6,9,N,5,156,N,N,2,2,1,241,21,48-02102
57,3611,64,2,N,0,1,1,4,1,1,N,10,5,-6300,5,0,5,2,2,2,2,211,47,48-02507
58,6748,25,2,4,1,1,0,3,1,1,N,N,8,N,9,419,N,N,2,2,2,66,53,48-02516
59,7179,70,2,4,1,1,0,5,1,1,6380,12,3,N,7,195,N,N,2,2,2,10,28,48-02101
60,1804,22,2,3,0,1,0,5,1,2,4670,11,11,38089,4,457,N,2,2,2,2,48,54,48-02510
61,7624,41,1,1,0,1,1,2,1,1,5391,4,7,65947,7,501,N,2,2,1,1,82,36,48-02515
62,2205,31,1,6,0,1,11,2,2,2,N,N,7,N,9,422,N,2,2,2,2,68,82,48-02510
63,9179,53,2,6,0,2,0,3,1,1,6080,10,3,63911,8,464,N,N,2,2,2,91,54,48-02515
64,5608,26,1,6,0,2,2,6,1,1,7860,4,7,-6300,8,239,N,2,2,2,2,95,97,48-02507
65,6887,34,1,6,1,1,0,N,1,1,4670,N,3,100012,9,501,N,2,2,2,2,52,60,48-02515
66,6979,39,2,1,1,1,2,2,1,1,7860,6,5,68740,7,457,N,2,2,2,2,147,23,48-02101
67,1727,31,1,6,0,2,1,5,1,1,N,N,1,33251,5,40,N,2,1,2,2,155,85,48-02101
68,3870,73,2,1,0,1,0,4,1,1,7390,N,9,177623,7,378,N,N,2,2,2,87,121,48-02102
69,8820,75,1,1,0,1,2,3,2,1,N,N,3,23328,5,460,N,2,2,2,2,61,112,48-02515
70,8296,11,2,1,0,1,2,N,1,2,770,11,3,-6300,7,335,N,2,1,2,2,73,58,48-02507
71,876,77,2,1,0,2,0,3,1,1,9160,11,9,11105,3,416,N,2,1,2,2,68,75,48-02510
72,3427,15,1,1,1,1,3,4,1,2,N,4,9,25532,1,130,N,2,2,2,2,87,54,48-02507
73,2444,34,1,6,0,1,1,2,1,2,8680,6,N,N,6,347,5,N,2,2,2,60,91,48-02515
74,2279,64,1,1,0,1,2,N,1,1,8660,12,5,35905,5,439,N,2,N,2,2,86,26,48-02510
75,846,67,2,3,1,2,4,2,1,2,1370,9,2,36465,3,166,N,2,2,2,1,86,86,48-02510
76,7036,73,2,1,0,1,0,5,1,1,7860,N,6,82822,0,501,N,2,2,2,2,87,27,48-02516
