,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,0.007556399277437717,0.017970939950535683,-0.0009365604548666195,-0.027444761737543497,-0.03322578537570095,0.11250805656888785,0.10303083158525028,,0.11510619065241867
SEX,0.007556399277437717,-4.107825191113079e-15,0.008056746042649065,-0.008067072689877847,0.0044178712114690405,-0.006941791598199038,-0.002955729441971571,-0.023790015451283675,,7.168965675134753e-05
MSP,0.017970939950535683,0.008056746042649065,0.0,-0.10829822249447174,0.004741841621824894,-0.024665391148509075,0.040682953686965284,0.03359282718342563,,0.031020516328753123
RAC1P,-0.0009365604548666195,-0.008067072689877847,-0.10829822249447174,0.0,-0.06488384412139075,-0.014923450608557941,-0.029515993573064003,-0.01829252345900194,,-0.03402516316809789
HOUSING_TYPE,-0.027444761737543497,0.0044178712114690405,0.004741841621824894,-0.06488384412139075,0.0,0.021390153579339377,0.028956220736890404,0.020562433333678354,,0.04488129064782482
OWN_RENT,-0.03322578537570095,-0.006941791598199038,-0.024665391148509075,-0.014923450608557941,0.021390153579339377,-1.454392162258955e-14,-0.04897674752580391,-0.044000732358902575,,-0.05722064116991078
EDU,0.11250805656888785,-0.002955729441971571,0.040682953686965284,-0.029515993573064003,0.028956220736890404,-0.04897674752580391,-2.220446049250313e-16,0.07288182576639612,,-0.007439743400046961
PINCP_DECILE,0.10303083158525028,-0.023790015451283675,0.03359282718342563,-0.01829252345900194,0.020562433333678354,-0.044000732358902575,0.07288182576639612,6.661338147750939e-16,,-0.024840332199196267
DVET,,,,,,,,,,
DEYE,0.11510619065241867,7.168965675134753e-05,0.031020516328753123,-0.03402516316809789,0.04488129064782482,-0.05722064116991078,-0.007439743400046961,-0.024840332199196267,,1.176836406102666e-14
