,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
1,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
2,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
3,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
4,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
5,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
6,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
7,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
8,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
9,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
10,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
11,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
12,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
13,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
14,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
15,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
16,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
17,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
18,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
19,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
20,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
21,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
22,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
23,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
24,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
25,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
26,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
27,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
28,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
29,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
30,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
31,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
32,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
33,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
34,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
35,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
36,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
37,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
38,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
39,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
40,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
41,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
42,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
43,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
44,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
45,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
46,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
47,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
48,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
49,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
50,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
51,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
52,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
53,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
54,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
55,1.0,1,1.0,1.0,0,9,0.0,48-02101,N
56,1.0,1,1.0,1.0,0,9,0.0,48-02507,N
57,1.0,1,1.0,1.0,0,9,0.0,48-02507,N
58,1.0,1,1.0,1.0,0,9,0.0,48-02507,N
59,1.0,1,1.0,1.0,0,9,0.0,48-02507,N
