,feature,divergence
21,PWGTP,3.8403934774902515
22,WGTP,3.6772134721035803
15,POVPIP,3.468279821267612
13,PINCP,3.4085432167072534
1,AGEP,2.781666731844667
14,PINCP_DECILE,2.7664839950021194
10,INDP,1.6193378270477043
11,INDP_CAT,1.434149216122576
7,NPF,1.2298889398136155
0,PUMA,1.142313725490196
12,EDU,1.11299112734315
3,MSP,0.743608243466247
6,NOC,0.5802279055730286
5,RAC1P,0.26287055091131534
18,DPHY,0.1961486280516505
17,DREM,0.19102459979192538
4,HISP,0.15156232775678186
9,OWN_RENT,0.10689934448869778
16,DVET,0.10034709581844939
8,HOUSING_TYPE,0.08816673847197433
20,DEAR,0.08141905687644968
19,DEYE,0.06805995592990935
2,SEX,0.01503400519853082
