,Target samples,Deid. samples
0,1138,0
1,0,0
2,0,0
3,0,0
4,51,2
5,0,0
6,0,0
7,0,0
8,1966,177
9,0,0
10,335,39
11,951,122
12,0,0
13,0,0
14,0,0
15,11,2
16,0,0
17,5,1
18,0,0
19,0,0
20,4,1
21,0,0
22,0,0
23,0,0
24,140,44
25,779,264
26,0,0
27,19,7
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,274,139
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,247,164
41,0,0
42,7,5
43,101,77
44,0,0
45,0,0
46,0,0
47,31,27
48,0,0
49,1179,1133
50,14,14
51,0,0
52,0,0
53,7,8
54,0,0
55,0,0
56,20,25
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,5,8
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,108,249
71,0,0
72,0,0
73,0,0
74,0,0
75,11,33
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,6,26
82,110,506
83,1,5
84,0,0
85,0,0
86,0,0
87,15,103
88,0,0
89,0,0
90,24,210
91,8,80
92,2,22
93,0,0
94,8,129
95,0,0
96,0,0
97,27,880
98,18,1007
99,12,2125
