PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
25-02800,7,2,N,0,1,3,6,1,1,3683.9,9920,N,9,97900.0,N,176,N,2,2,2,2,114,107,7249
25-02800,18,2,6,0,1,0,4,1,2,2872.7,8970,15,10,95900.0,2,98,N,2,2,2,2,94,326,4488
25-00503,81,2,N,0,1,0,3,1,2,1457.2,9920,N,8,97030.0,7,501,N,2,2,2,2,66,64,3433
25-00503,14,2,N,0,1,0,3,1,2,2872.7,N,9,9,97100.0,9,383,N,N,2,2,2,90,74,7057
25-00703,68,1,1,0,1,0,2,1,1,2195.3,N,N,8,755600.0,6,500,N,2,2,2,2,55,51,4911
25-01000,15,1,6,0,1,0,3,1,1,1457.2,9920,N,3,97100.0,0,280,N,1,2,2,2,56,59,4544
25-01300,15,1,6,0,1,3,5,1,1,1457.2,7370,N,8,-1600.0,N,461,N,N,1,2,2,92,62,531
25-00703,5,1,N,0,1,3,3,1,1,2195.3,N,9,3,97100.0,9,501,N,2,2,2,2,62,63,7253
25-01000,21,1,6,0,1,0,4,1,1,2447.1,5381,6,9,0.0,2,501,N,2,2,2,2,116,110,6166
25-01300,63,1,1,0,1,0,3,1,1,1457.2,N,N,9,76000.0,7,501,N,2,2,2,2,116,107,7092
25-00703,20,1,1,0,1,0,2,1,2,2195.3,7370,8,5,78020.0,6,500,N,2,2,2,2,65,57,6374
25-01300,24,2,N,0,1,0,2,1,1,1457.2,7790,N,1,98000.0,8,501,N,N,N,2,2,63,59,7022
25-00703,45,2,1,0,1,2,4,1,1,2195.3,3895,10,9,76800.0,8,501,N,2,2,2,2,95,89,2070
25-01300,38,1,1,0,1,1,N,1,2,3683.9,5070,8,4,22350.0,8,500,N,2,2,2,2,68,65,3856
25-01300,53,2,6,0,1,0,3,1,1,1457.2,6670,8,7,138000.0,2,170,N,2,2,2,2,205,77,3479
25-01300,20,1,1,0,1,0,4,1,1,1457.2,7860,N,4,29600.0,5,299,N,2,2,2,2,62,54,3944
25-02800,18,1,1,0,1,1,3,1,2,3683.9,6670,6,5,44800.0,2,501,N,2,2,2,2,119,136,5965
25-01300,66,2,1,0,1,0,2,1,1,1457.2,7280,8,9,7640.0,6,501,N,2,2,2,2,82,89,4076
25-00703,51,2,1,0,1,0,3,1,1,2195.3,7860,10,9,51600.0,6,501,N,2,2,2,2,109,103,590
25-00703,65,2,1,0,1,0,2,1,1,2195.3,7290,10,6,-1600.0,7,501,N,2,2,2,2,83,92,1997
25-00703,34,2,6,0,1,0,N,1,1,2195.3,N,N,1,57600.0,9,501,N,2,2,2,2,87,61,691
25-00503,54,2,1,0,1,0,3,1,1,2447.1,8590,14,6,100.0,0,501,N,2,2,2,2,111,411,1961
25-00703,48,2,1,0,1,0,3,1,1,2195.3,7390,5,9,53400.0,6,467,N,2,2,2,2,85,95,6336
25-00703,81,2,1,0,1,0,2,1,1,2195.3,8180,11,8,13500.0,9,500,N,2,2,2,2,57,45,1799
25-02800,62,1,1,0,1,0,4,1,1,2195.3,N,N,5,528000.0,9,501,N,2,2,2,2,98,99,2802
25-00703,35,2,5,0,1,2,3,1,1,2195.3,8192,11,10,135500.0,6,501,N,2,2,2,2,66,188,3161
25-00503,66,2,1,0,1,0,N,1,1,2872.7,N,9,1,516000.0,6,500,N,2,2,2,2,58,58,5411
25-01300,18,1,1,0,1,0,3,1,1,2195.3,7780,3,6,53200.0,5,500,N,2,2,2,2,64,62,1672
25-01000,63,2,6,0,1,2,4,1,1,2195.3,9920,N,10,10390.0,0,157,N,2,2,2,2,110,103,4572
25-00503,52,1,1,0,1,0,2,1,1,2195.3,7380,10,10,77100.0,8,51,N,2,2,2,2,56,58,2955
25-01300,20,1,6,0,1,1,3,1,1,1457.2,7790,3,9,50.0,4,474,N,2,2,2,2,78,68,5760
25-00703,82,1,1,0,1,0,2,1,1,2195.3,9920,9,10,75900.0,2,51,N,2,2,2,2,97,41,1446
25-00703,79,2,1,0,1,1,2,1,1,2195.3,N,N,8,491000.0,7,501,N,2,2,2,2,98,87,5406
25-01300,56,1,6,0,1,0,5,1,1,1457.2,7181,3,5,22400.0,7,501,N,1,2,2,2,58,63,4298
25-00703,18,1,6,0,1,0,N,1,1,2195.3,7780,3,4,13900.0,7,500,N,2,2,2,2,68,67,2175
25-00703,60,1,1,0,1,2,4,1,1,2195.3,7870,3,7,75070.0,7,51,N,2,2,2,2,64,56,1541
25-00703,19,2,6,0,1,0,2,1,1,2195.3,N,11,10,103200.0,N,500,N,2,2,2,2,92,61,6237
25-00703,63,1,1,0,6,0,2,1,1,2195.3,7270,8,7,78800.0,7,500,N,2,2,2,2,89,82,1747
25-00503,64,2,3,0,1,0,N,1,1,2195.3,8180,11,5,19600.0,7,501,N,2,2,2,1,96,103,687
25-00703,18,1,2,0,1,4,6,1,1,3683.9,8780,14,5,29100.0,1,284,N,2,2,2,2,107,64,4723
25-02800,52,2,1,0,1,0,2,1,1,3683.9,8380,11,7,245500.0,2,462,N,2,2,2,2,128,83,739
25-00703,6,2,N,0,1,0,2,1,2,2195.3,N,9,12,7680.0,9,501,N,2,2,2,2,66,73,7148
25-00703,61,2,6,0,1,0,N,1,1,2195.3,8270,10,6,103000.0,0,137,N,2,2,2,2,64,62,2646
25-01300,54,1,1,0,1,0,4,1,1,1457.2,3080,3,9,580.0,5,501,N,2,2,2,2,93,92,2014
25-00703,50,2,N,0,1,4,4,1,1,2195.3,N,8,8,148000.0,9,500,N,2,2,2,2,109,121,7040
25-00503,66,2,6,0,6,0,4,1,2,2447.1,7860,11,9,14400.0,2,500,N,2,2,2,2,85,103,1701
25-00703,35,2,1,0,1,2,4,1,1,2872.7,8192,11,9,100500.0,8,51,N,2,2,2,2,123,135,3006
25-01000,35,1,1,0,1,3,6,1,1,2447.1,7380,10,8,13770.0,8,501,N,2,2,2,2,69,108,3184
25-00703,4,2,N,0,1,1,3,1,1,2195.3,N,N,3,9800.0,9,272,N,2,2,2,2,62,107,7363
25-01300,53,1,1,0,1,2,5,1,1,1457.2,8270,14,12,73800.0,7,272,N,1,2,2,2,368,125,6373
25-00703,49,2,6,0,1,0,N,1,2,2195.3,8192,11,9,130100.0,8,501,N,2,2,2,2,115,109,1883
25-02800,49,2,N,0,1,0,2,1,2,2195.3,N,9,12,N,6,169,N,2,2,2,2,110,109,4053
25-00503,35,2,6,3,1,0,5,1,2,2872.7,8680,14,8,49250.0,2,501,N,2,2,2,2,68,68,864
25-00703,17,2,6,0,1,N,N,3,0,2195.3,N,N,12,78900.0,0,96,N,2,2,2,2,109,4,396
25-00503,62,2,5,0,1,1,3,1,2,2872.7,6890,6,9,97100.0,4,275,N,2,N,2,2,107,105,2106
25-02800,54,1,1,0,1,0,N,1,2,3683.9,7790,10,10,20100.0,7,501,N,2,2,2,2,117,104,4831
25-00703,80,2,3,0,1,0,3,1,1,2872.7,9920,N,4,55050.0,6,395,N,2,1,2,2,57,52,1679
25-01000,6,1,N,0,1,3,5,1,1,2447.1,9920,N,3,98800.0,9,501,N,2,2,2,2,99,104,7148
25-00503,51,1,1,0,1,0,2,1,2,2872.7,9070,10,10,5600.0,5,501,N,2,2,2,2,113,103,1969
25-00703,33,2,6,0,1,0,4,1,1,2195.3,7870,10,9,100900.0,6,411,N,2,2,2,2,30,45,1743
25-01300,18,1,1,0,1,0,3,1,1,1457.2,7790,3,8,75300.0,2,478,N,2,2,2,2,61,60,1937
25-00703,64,2,3,0,1,N,N,3,1,2195.3,9920,11,10,4890.0,0,388,N,2,2,2,2,18,48,410
25-02800,38,1,6,0,1,0,3,1,1,3683.9,7790,11,9,9800.0,6,501,N,2,2,2,2,141,371,4622
25-01300,22,1,6,0,1,0,4,1,1,3683.9,7270,3,7,46800.0,1,51,N,2,2,2,2,135,72,6015
25-01000,59,2,1,0,1,0,4,1,1,2447.1,5190,14,8,74000.0,7,500,N,2,2,2,2,401,144,6007
25-01000,52,2,6,0,1,0,2,1,1,2195.3,9080,14,8,150090.0,2,500,N,2,2,2,2,25,51,780
25-00703,60,2,1,0,1,0,2,1,1,2195.3,N,8,7,104500.0,7,500,N,2,2,2,2,112,104,4627
25-00503,68,2,3,0,1,0,N,1,1,2872.7,9920,N,1,55200.0,5,501,N,2,2,2,2,395,392,5197
25-01300,34,1,1,4,1,3,2,1,1,1457.2,8191,11,8,100900.0,7,169,N,2,2,2,2,90,103,3017
25-00703,16,1,1,0,1,0,2,1,1,2195.3,7780,10,9,208500.0,2,501,N,2,2,2,2,69,70,4509
25-00703,67,1,1,0,1,0,4,1,1,2195.3,7860,3,4,151000.0,1,501,N,2,2,2,2,91,94,1818
25-02800,66,1,6,0,1,0,N,1,1,3683.9,9070,10,5,31600.0,4,385,N,2,2,1,1,101,98,4623
25-01300,52,2,1,0,1,0,2,1,2,2195.3,9920,N,7,97100.0,2,302,N,2,2,2,2,34,56,4134
25-00503,52,1,1,0,1,0,2,1,2,2872.7,3365,4,9,260000.0,2,501,N,2,2,2,2,110,107,2862
25-00503,84,2,6,0,1,0,N,2,0,2872.7,9920,9,5,101200.0,0,139,N,1,1,2,2,96,96,530
25-02800,63,2,6,0,1,0,4,1,1,2195.3,5170,N,6,133900.0,0,275,N,2,2,2,2,63,59,5336
25-00703,31,2,N,0,1,2,5,1,1,2195.3,N,N,9,99600.0,N,501,N,2,2,2,2,68,65,5965
25-00503,18,1,6,0,1,2,4,1,1,3683.9,8780,13,4,50050.0,1,501,N,2,2,2,2,101,105,3075
25-00703,36,2,1,0,1,0,4,1,1,3683.9,8980,16,10,100600.0,8,501,N,2,2,2,2,120,122,4695
25-01300,64,1,1,0,1,0,3,1,1,1457.2,3370,6,9,78300.0,2,501,N,2,2,2,2,55,52,3426
25-02800,84,2,3,0,1,0,2,1,1,3683.9,9920,9,5,52600.0,6,500,N,2,2,2,2,88,92,2632
25-00503,33,2,1,0,1,0,4,1,1,2195.3,9090,8,7,48900.0,9,501,N,2,2,2,2,95,95,1810
25-01000,49,2,6,0,1,N,5,3,1,2447.1,N,N,9,5010.0,0,95,N,2,2,2,2,284,1,2867
25-01000,35,2,1,0,6,0,3,1,1,2447.1,7270,8,10,76170.0,7,470,N,2,2,2,2,116,98,5894
25-00703,17,1,6,0,1,0,4,1,1,1457.2,9920,9,5,56800.0,1,378,N,2,2,2,2,55,58,662
25-01000,63,1,6,0,1,0,2,1,1,2447.1,N,N,3,501000.0,9,390,N,2,N,2,2,23,46,1750
25-01000,50,1,1,0,1,2,2,1,1,2195.3,7860,3,7,99300.0,9,501,N,2,N,2,2,92,60,5888
25-00503,32,2,6,0,1,2,4,1,2,2872.7,9780,14,1,100600.0,2,392,N,2,2,2,2,28,60,607
25-01000,64,2,1,0,1,0,3,1,1,2447.1,3570,8,8,41400.0,5,394,N,2,2,2,2,60,52,3763
25-00703,66,2,4,0,1,1,3,1,1,2195.3,7860,11,1,95140.0,8,501,N,2,2,2,2,69,110,1975
25-00703,19,2,1,0,1,0,4,1,1,2447.1,7780,3,7,221500.0,2,501,N,2,2,2,2,108,99,1686
25-00503,5,1,N,0,1,1,2,1,2,2872.7,7270,8,3,210.0,8,501,N,2,2,2,2,58,59,649
25-02800,31,2,6,0,1,2,4,1,2,3683.9,7270,6,8,51300.0,6,501,N,2,2,2,2,162,80,6321
25-00503,5,1,6,0,1,0,N,1,1,2447.1,7790,10,12,9900.0,N,501,N,N,2,2,2,117,120,4572
25-02800,37,1,6,0,1,0,4,1,1,3683.9,7780,3,4,75200.0,7,501,N,2,2,2,2,151,64,1672
25-00503,54,2,N,0,1,0,4,1,1,2872.7,9920,8,3,97000.0,N,500,N,2,1,2,2,102,105,7110
25-00703,64,2,3,0,1,0,N,1,1,2195.3,N,N,10,N,9,500,N,1,2,2,2,60,61,7100
25-00703,63,2,6,0,1,0,N,1,1,2195.3,7870,11,4,152000.0,8,501,N,2,2,2,2,59,95,5681
25-01000,6,1,N,0,1,4,5,1,1,2447.1,N,N,3,N,9,288,N,2,2,2,2,64,62,7280
25-00703,35,1,1,0,1,0,2,1,1,2195.3,7370,6,7,15300.0,8,501,N,2,2,2,2,95,104,2522
25-00503,37,2,1,0,1,0,N,1,2,2872.7,7270,8,9,14600.0,8,51,N,2,2,2,2,113,110,778
25-02800,36,1,1,2,1,0,4,1,1,1457.2,3291,5,10,24300.0,4,501,N,2,2,2,2,98,102,610
25-00703,53,2,1,0,1,0,3,1,1,1457.2,280,8,10,120050.0,7,501,N,2,2,2,2,59,60,1867
