SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,1,1,1,6,1,54,1,N,2,2931
1,4,1,2,8,4,51,1,N,2,2610
1,1,1,1,7,8,22,1,N,2,1635
2,1,1,1,8,8,36,1,N,2,3087
2,2,6,1,6,7,79,1,N,2,1711
2,1,1,1,6,9,56,1,N,2,490
2,1,1,1,2,7,51,1,N,2,3221
1,1,1,1,7,4,66,1,N,2,5984
1,6,1,1,7,4,37,1,N,2,5973
2,3,1,2,6,4,35,1,N,2,4888
1,1,1,1,8,8,37,1,N,2,1533
2,6,6,1,4,4,49,1,N,2,1793
1,4,1,1,8,7,54,1,N,2,5874
1,1,1,2,1,8,64,1,N,2,3415
2,1,6,1,6,8,21,1,N,2,6223
2,6,1,1,2,4,21,1,N,2,5864
2,1,1,2,6,6,38,1,N,2,5762
1,2,1,1,0,8,39,1,N,2,454
2,6,1,1,2,1,38,1,N,2,802
2,4,6,1,2,10,48,1,N,2,5953
2,1,1,1,4,10,52,1,N,2,4530
2,4,1,1,5,9,33,1,N,2,4456
2,1,1,1,8,1,51,1,N,2,3147
2,6,1,1,0,6,57,1,N,2,2959
1,1,1,1,2,9,68,1,N,2,1608
1,1,1,2,2,8,38,1,N,2,2800
2,1,1,2,2,7,87,1,N,2,5753
2,1,1,1,0,1,64,1,N,2,4401
2,6,1,1,2,6,38,1,N,2,1657
1,N,1,1,N,12,16,1,N,2,6963
2,3,1,1,6,1,79,1,N,2,5986
1,1,1,1,1,7,53,1,N,2,6111
1,1,1,1,1,5,36,1,N,2,4059
1,1,1,1,7,3,54,1,N,2,5563
1,6,1,1,9,4,32,1,N,2,7106
1,1,1,1,5,6,18,1,N,2,5979
2,6,6,1,0,6,18,1,N,2,1543
2,1,1,1,5,2,83,1,N,2,7321
1,1,1,1,7,8,38,1,N,2,3070
2,N,1,1,9,9,1,1,N,2,7242
2,6,6,1,0,10,20,1,N,2,5971
1,1,6,1,8,6,71,1,N,2,7003
2,1,6,1,6,9,39,1,N,2,5240
2,1,1,2,2,7,67,1,N,2,1865
2,N,1,1,N,2,5,1,N,2,6130
2,2,1,1,4,9,5,1,N,2,7099
2,1,1,1,0,8,65,1,N,2,3107
1,1,1,1,0,4,49,1,N,2,1824
2,4,1,2,9,8,19,1,N,2,3151
1,1,1,1,6,4,67,1,N,2,6155
1,1,1,1,2,4,38,1,N,2,5949
2,1,1,1,0,8,52,1,N,2,3398
2,1,1,1,5,4,15,1,N,2,6087
2,1,1,1,6,5,33,1,N,2,5067
1,1,1,1,2,9,38,1,N,2,5189
2,1,1,1,2,7,69,1,N,2,2668
1,1,1,1,2,4,52,1,N,2,3259
1,1,1,1,0,8,66,1,N,2,3208
1,1,1,1,8,6,68,1,N,2,3896
2,6,1,1,0,2,17,1,N,2,5684
2,6,1,2,3,7,19,1,N,2,6004
2,4,6,1,8,8,36,1,N,2,4445
1,1,6,1,8,7,38,1,N,2,5124
1,6,1,0,0,6,21,3,N,2,3092
2,1,1,1,5,9,20,1,N,2,922
1,1,1,1,0,7,64,1,N,2,3965
1,1,1,1,4,4,35,1,N,2,5603
2,4,1,2,7,1,65,1,N,2,1616
2,6,1,1,6,6,39,1,N,2,3994
1,6,1,1,8,8,54,1,N,2,5286
2,6,1,1,5,4,20,1,N,2,3052
2,6,1,1,2,7,62,1,N,2,3990
1,1,6,1,9,3,68,1,N,2,6948
1,6,1,1,6,5,52,1,N,2,4280
1,1,9,2,9,12,65,1,N,2,590
1,1,1,1,6,1,53,1,N,2,4268
2,6,1,1,7,8,36,1,N,2,1389
1,1,1,1,N,1,80,1,N,2,7058
2,4,1,1,0,7,72,1,N,2,1819
1,2,1,1,8,7,38,1,N,2,2873
2,N,1,2,9,2,7,1,N,2,7097
1,6,6,1,0,8,23,1,N,2,1861
1,1,1,1,2,8,51,1,N,2,7048
2,1,1,2,3,4,83,1,N,2,3613
1,1,1,1,6,9,38,1,N,2,4008
2,1,1,1,0,6,56,1,N,2,4523
2,1,6,2,8,10,17,1,N,2,1640
