,DENSITY,count_target,count_deidentified
0,7,7400.0,0.0
1,0,5526.0,0.0
2,8,4526.0,0.0
3,10,3694.0,0.0
4,13,2117.0,0.0
5,11,1574.0,0.0
6,9,1365.0,0.0
7,12,1051.0,0.0
8,10901,0.0,25.0
9,10931,0.0,27.0
10,10921,0.0,28.0
11,10920,0.0,23.0
12,10911,0.0,29.0
13,10864,0.0,30.0
14,10868,0.0,31.0
15,10866,0.0,30.0
16,10948,0.0,29.0
17,10861,0.0,29.0
18,10943,0.0,38.0
19,10983,0.0,27.0
20,10952,0.0,29.0
21,10959,0.0,34.0
22,10973,0.0,31.0
23,10850,0.0,18.0
24,11001,0.0,29.0
25,11037,0.0,20.0
26,11041,0.0,22.0
27,11050,0.0,23.0
28,11074,0.0,18.0
29,11076,0.0,20.0
30,11083,0.0,32.0
31,10855,0.0,33.0
32,10808,0.0,19.0
33,10833,0.0,22.0
34,10832,0.0,18.0
35,8065,0.0,26.0
36,8083,0.0,28.0
37,8096,0.0,32.0
38,8099,0.0,24.0
39,8119,0.0,29.0
40,8131,0.0,26.0
41,8192,0.0,19.0
42,8194,0.0,28.0
43,8199,0.0,26.0
44,8273,0.0,19.0
45,10076,0.0,30.0
46,10752,0.0,30.0
47,10756,0.0,27.0
48,10762,0.0,23.0
49,10764,0.0,35.0
50,10766,0.0,28.0
51,10775,0.0,25.0
52,10780,0.0,20.0
53,10792,0.0,35.0
54,11094,0.0,23.0
55,10821,0.0,30.0
56,11086,0.0,30.0
57,11119,0.0,33.0
58,11101,0.0,29.0
59,11182,0.0,33.0
60,11186,0.0,23.0
61,11187,0.0,29.0
62,11188,0.0,22.0
63,11189,0.0,58.0
64,11192,0.0,103.0
65,11193,0.0,22.0
66,11194,0.0,27.0
67,11195,0.0,24.0
68,11203,0.0,65.0
69,11204,0.0,24.0
70,11205,0.0,121.0
71,11206,0.0,42.0
72,11208,0.0,25.0
73,11211,0.0,29.0
74,11215,0.0,32.0
75,11216,0.0,18.0
76,11218,0.0,21.0
77,11222,0.0,35.0
78,11223,0.0,47.0
79,11228,0.0,21.0
80,11239,0.0,39.0
81,11184,0.0,20.0
82,11179,0.0,37.0
83,11109,0.0,30.0
84,11175,0.0,31.0
85,11118,0.0,25.0
86,7990,0.0,21.0
87,11124,0.0,64.0
88,11125,0.0,24.0
89,11130,0.0,28.0
90,11135,0.0,31.0
91,11137,0.0,31.0
92,11139,0.0,27.0
93,11148,0.0,21.0
94,11149,0.0,24.0
95,11153,0.0,19.0
96,11154,0.0,26.0
97,11155,0.0,20.0
98,11156,0.0,26.0
99,11157,0.0,48.0
100,11160,0.0,36.0
101,11161,0.0,22.0
102,11162,0.0,32.0
103,11172,0.0,34.0
104,11173,0.0,32.0
105,11174,0.0,29.0
106,8022,0.0,31.0
107,7934,0.0,35.0
108,7981,0.0,27.0
109,5076,0.0,31.0
110,4947,0.0,32.0
111,4954,0.0,24.0
112,4969,0.0,26.0
113,4996,0.0,32.0
114,5018,0.0,31.0
115,5031,0.0,25.0
116,5041,0.0,29.0
117,5049,0.0,27.0
118,5066,0.0,27.0
119,5068,0.0,36.0
120,5126,0.0,27.0
121,7965,0.0,21.0
122,5130,0.0,34.0
123,5133,0.0,29.0
124,5149,0.0,33.0
125,5182,0.0,26.0
126,5193,0.0,24.0
127,5198,0.0,39.0
128,5214,0.0,25.0
129,5224,0.0,28.0
130,5235,0.0,38.0
131,5313,0.0,44.0
132,4943,0.0,33.0
133,4939,0.0,30.0
134,4935,0.0,57.0
135,4930,0.0,42.0
136,4723,0.0,30.0
137,4730,0.0,22.0
138,4740,0.0,38.0
139,4748,0.0,21.0
140,4755,0.0,23.0
141,4775,0.0,25.0
142,4780,0.0,23.0
143,4782,0.0,28.0
144,4784,0.0,59.0
145,4810,0.0,18.0
146,4817,0.0,22.0
147,4818,0.0,39.0
148,4820,0.0,27.0
149,4836,0.0,31.0
150,4848,0.0,27.0
151,4876,0.0,25.0
152,4892,0.0,22.0
153,4898,0.0,25.0
154,4904,0.0,36.0
155,4906,0.0,24.0
156,4914,0.0,30.0
157,5394,0.0,28.0
158,5406,0.0,26.0
159,5431,0.0,30.0
160,7690,0.0,22.0
161,7718,0.0,25.0
162,7727,0.0,28.0
163,7734,0.0,19.0
164,7738,0.0,16.0
165,7751,0.0,31.0
166,7761,0.0,25.0
167,7778,0.0,31.0
168,7822,0.0,31.0
169,7829,0.0,38.0
170,7837,0.0,27.0
171,7854,0.0,24.0
172,7870,0.0,35.0
173,7883,0.0,34.0
174,7888,0.0,30.0
175,7895,0.0,32.0
176,7909,0.0,28.0
177,7923,0.0,20.0
178,7924,0.0,36.0
179,7933,0.0,29.0
180,11261,0.0,29.0
181,7938,0.0,30.0
182,7693,0.0,23.0
183,7628,0.0,24.0
184,5501,0.0,26.0
185,7606,0.0,30.0
186,5548,0.0,20.0
187,5555,0.0,20.0
188,5556,0.0,32.0
189,5609,0.0,30.0
190,5644,0.0,26.0
191,5690,0.0,27.0
192,5709,0.0,17.0
193,5713,0.0,21.0
194,5730,0.0,20.0
195,5754,0.0,22.0
196,5777,0.0,27.0
197,7378,0.0,29.0
198,7453,0.0,30.0
199,7455,0.0,24.0
200,7485,0.0,23.0
201,7515,0.0,25.0
202,7517,0.0,27.0
203,7580,0.0,30.0
204,7593,0.0,24.0
205,7600,0.0,28.0
206,7601,0.0,28.0
207,11253,0.0,25.0
208,11296,0.0,22.0
