AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
31,1.0,1,2.0,1.0,1.0,N,2.0,7,10
32,1.0,1,1.0,1.0,1.0,N,2.0,8,9
70,1.0,1,2.0,1.0,1.0,N,2.0,5,7
79,1.0,1,1.0,1.0,1.0,N,2.0,5,7
77,1.0,1,2.0,1.0,1.0,N,2.0,2,5
57,1.0,4,1.0,1.0,1.0,N,2.0,5,5
42,1.0,1,1.0,1.0,1.0,N,2.0,9,9
35,1.0,1,2.0,1.0,1.0,N,2.0,9,9
92,1.0,3,2.0,1.0,1.0,N,2.0,3,5
66,1.0,1,2.0,1.0,1.0,N,2.0,2,7
30,1.0,1,2.0,1.0,1.0,N,2.0,8,9
30,1.0,1,1.0,1.0,1.0,N,2.0,8,10
65,1.0,1,2.0,1.0,1.0,N,2.0,5,8
65,1.0,1,1.0,1.0,1.0,N,2.0,8,7
70,1.0,1,1.0,1.0,1.0,N,2.0,6,8
72,1.0,1,1.0,1.0,1.0,N,2.0,6,9
72,1.0,1,2.0,1.0,1.0,N,2.0,0,5
66,1.0,1,1.0,1.0,1.0,N,2.0,8,10
63,1.0,1,2.0,1.0,1.0,N,2.0,7,10
37,1.0,1,1.0,1.0,2.0,N,2.0,5,5
37,1.0,1,2.0,1.0,2.0,N,2.0,0,7
43,1.0,1,2.0,1.0,1.0,N,2.0,0,9
18,1.0,6,1.0,1.0,1.0,N,2.0,0,5
46,1.0,1,1.0,1.0,1.0,N,2.0,9,5
34,1.0,1,2.0,1.0,1.0,N,2.0,0,9
58,1.0,4,2.0,1.0,1.0,N,2.0,6,7
70,1.0,1,2.0,1.0,1.0,N,2.0,5,5
64,1.0,1,1.0,1.0,1.0,N,2.0,9,9
55,1.0,1,1.0,1.0,1.0,N,2.0,8,5
48,1.0,1,2.0,1.0,1.0,N,2.0,2,4
62,1.0,1,1.0,1.0,1.0,N,2.0,9,11
66,1.0,1,1.0,1.0,1.0,N,2.0,8,7
70,1.0,1,2.0,1.0,1.0,N,2.0,3,5
92,1.0,3,2.0,1.0,1.0,N,2.0,3,5
39,1.0,1,2.0,1.0,1.0,N,2.0,8,5
40,1.0,1,1.0,1.0,1.0,N,2.0,8,9
56,1.0,1,1.0,1.0,1.0,N,2.0,8,6
26,1.0,6,2.0,1.0,1.0,N,2.0,4,5
47,1.0,1,1.0,1.0,1.0,N,2.0,7,7
80,1.0,3,2.0,1.0,1.0,N,2.0,3,5
59,1.0,6,1.0,1.0,2.0,N,2.0,3,5
62,1.0,1,2.0,1.0,1.0,N,2.0,0,5
39,1.0,1,1.0,1.0,1.0,N,2.0,8,9
65,1.0,6,1.0,1.0,2.0,N,2.0,3,5
80,1.0,1,1.0,1.0,1.0,N,2.0,9,9
77,1.0,1,2.0,1.0,1.0,N,2.0,3,5
38,1.0,1,1.0,1.0,2.0,N,2.0,6,7
70,1.0,4,2.0,1.0,1.0,N,2.0,7,7
39,1.0,6,1.0,1.0,1.0,N,2.0,4,7
30,1.0,1,2.0,1.0,1.0,N,2.0,7,9
31,1.0,1,1.0,1.0,1.0,N,2.0,8,9
79,1.0,4,2.0,1.0,1.0,N,2.0,6,7
46,1.0,1,1.0,1.0,1.0,N,2.0,9,8
16,1.0,6,2.0,1.0,1.0,N,2.0,0,4
67,1.0,1,1.0,1.0,1.0,N,2.0,9,12
43,1.0,1,2.0,1.0,1.0,N,2.0,6,8
17,1.0,6,2.0,1.0,1.0,N,2.0,2,4
39,1.0,1,2.0,1.0,1.0,N,2.0,9,10
45,1.0,1,1.0,1.0,1.0,N,2.0,6,7
19,1.0,6,2.0,1.0,1.0,N,2.0,1,5
20,1.0,6,2.0,1.0,1.0,N,2.0,2,5
15,2.0,6,1.0,1.0,1.0,N,2.0,0,4
15,2.0,6,1.0,1.0,1.0,N,2.0,0,4
40,1.0,1,2.0,1.0,2.0,N,2.0,0,7
15,1.0,6,1.0,1.0,2.0,N,2.0,0,4
59,1.0,1,2.0,1.0,1.0,N,2.0,0,7
61,1.0,1,1.0,1.0,1.0,N,2.0,8,5
72,1.0,1,1.0,1.0,1.0,N,2.0,8,9
77,1.0,1,2.0,1.0,1.0,N,2.0,0,5
45,1.0,4,2.0,1.0,2.0,N,2.0,3,7
62,1.0,1,1.0,1.0,1.0,N,2.0,8,7
57,1.0,1,2.0,1.0,1.0,N,2.0,0,7
21,1.0,6,2.0,1.0,1.0,N,2.0,4,5
37,1.0,1,1.0,1.0,1.0,N,2.0,9,5
36,1.0,1,2.0,1.0,1.0,N,2.0,7,9
57,1.0,6,2.0,1.0,1.0,N,2.0,4,5
26,1.0,1,1.0,1.0,1.0,N,2.0,8,10
27,1.0,1,2.0,1.0,1.0,N,2.0,4,9
34,1.0,1,2.0,1.0,1.0,N,2.0,7,7
41,1.0,1,1.0,1.0,1.0,N,2.0,6,7
