,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,0.0,-0.003605167094329363,-0.009682420993317049,0.008784637410885306,0.034187473878701365,0.06922035703429275,-0.02028469308413657,-0.061267972789329606,0.014881670163274989,0.01186699384065757,0.009833873063635538
AGEP,-0.003605167094329363,0.0,-0.03735458875187287,-0.016989354631015488,0.07655690889855363,0.029502525057062592,0.04898584887249208,0.10094335957087594,0.03814337234845962,-0.01724434477450959,0.10630613740028863
SEX,-0.009682420993317049,-0.03735458875187287,1.1102230246251565e-16,0.006373465066169308,0.0183501111157528,0.012967299579175647,0.009827292618553566,0.0373988649100127,0.02078833926284883,-0.0016619601811039553,-0.015749192772037825
MSP,0.008784637410885313,-0.016989354631015502,0.006373465066169301,-2.220446049250313e-16,-0.013783691048749432,0.004217430276031504,0.1666842946233092,0.21183959302387798,-0.02012358697795349,0.028092118898649696,0.04522939815991865
HISP,0.03418747387870137,0.07655690889855363,0.0183501111157528,-0.013783691048749432,0.0,-0.12876764088047046,-0.015796609687466795,-0.011727091787808583,-0.08134670779086633,0.02434670223675202,0.006654306971080789
RAC1P,0.06922035703429275,0.02950252505706258,0.012967299579175647,0.004217430276031501,-0.12876764088047046,0.0,-0.021909785643991923,-0.021143897329359923,-0.05473672425711428,0.026700381306623486,-0.03841428972020927
NOC,-0.020284693084136565,0.04898584887249208,0.009827292618553569,0.1666842946233092,-0.01579660968746679,-0.021909785643991923,0.0,-0.0040939615078416924,-0.1753856560821588,-0.0288543819386316,-0.09172363502772128
NPF,-0.061267972789329606,0.10094335957087594,0.03739886491001271,0.21183959302387803,-0.011727091787808583,-0.02114389732935991,-0.0040939615078418035,-2.220446049250313e-16,8.612230818112954e-05,0.030195005324896385,-0.07136038856660079
OWN_RENT,0.01488167016327499,0.03814337234845961,0.020788339262848825,-0.02012358697795349,-0.08134670779086633,-0.054736724257114275,-0.17538565608215884,8.612230818112949e-05,0.0,-0.01506327116027063,-0.004410338977655675
PINCP_DECILE,0.011866993840657572,-0.017244344774509646,-0.0016619601811039553,0.02809211889864971,0.02434670223675202,0.026700381306623493,-0.0288543819386316,0.030195005324896385,-0.015063271160270626,2.220446049250313e-16,0.02266818674698549
DEYE,0.009833873063635538,0.10630613740028863,-0.015749192772037825,0.04522939815991866,0.006654306971080789,-0.03841428972020928,-0.09172363502772128,-0.07136038856660079,-0.004410338977655675,0.022668186746985494,0.0
