SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,6,1,0,8,0,25-01300,31,N,N,189,585
1,6,1,1,7,0,25-01300,53,0,2,165,4478
2,1,1,2,2,0,25-02800,83,0,2,162,3488
1,1,1,0,7,0,25-00703,68,0,N,501,390
1,N,1,1,9,0,25-00703,1,4,6,501,6904
1,1,1,1,6,0,25-00503,58,0,2,500,2802
2,N,1,1,N,0,25-00503,17,3,4,500,6923
2,4,1,1,8,0,25-00503,40,0,N,158,1730
2,1,1,1,2,0,25-00503,53,0,6,241,4570
1,1,1,1,4,0,25-00703,66,0,2,500,5845
1,1,1,1,4,0,25-01300,33,0,2,265,6099
2,6,1,1,0,0,25-00503,19,1,2,501,1829
1,1,1,1,5,0,25-02800,36,0,2,354,2863
2,1,1,1,2,0,25-00703,65,0,2,500,4009
2,6,1,1,9,0,25-01000,17,1,5,264,2119
2,6,1,2,2,0,25-00703,65,0,N,25,3340
2,4,1,2,2,0,25-01000,19,1,2,501,5480
2,4,1,1,8,0,25-02800,51,0,N,500,2722
2,6,6,1,1,0,25-02800,21,N,N,159,1826
2,1,1,1,0,0,25-00503,51,N,4,500,560
2,6,1,1,0,0,25-01300,17,N,N,98,541
2,1,2,1,9,0,25-01300,53,0,2,500,3291
1,1,1,1,4,0,25-02800,36,2,4,501,3286
2,1,1,2,2,0,25-00503,82,0,2,9,6042
1,6,1,1,0,0,25-00503,19,2,4,500,6115
2,1,1,1,8,0,25-01300,64,0,2,500,3370
1,6,1,1,2,0,25-00703,16,2,6,9,4850
1,1,1,1,8,0,25-01300,36,0,3,501,577
1,1,1,1,3,0,25-00703,63,0,2,500,3500
2,6,1,1,3,0,25-02800,70,0,N,257,3866
1,1,1,1,4,0,25-00703,51,0,3,501,3752
2,1,1,1,3,0,25-01000,53,2,6,275,1944
1,3,6,1,0,0,25-00703,68,0,6,26,4372
2,4,1,2,7,0,25-00503,36,1,4,386,1945
2,1,1,1,7,0,25-00703,62,2,6,500,1674
2,1,1,1,7,0,25-02800,53,1,4,501,1890
2,N,1,1,N,0,25-00703,7,2,4,500,7193
2,4,1,1,3,0,25-00703,55,0,2,265,5959
2,6,1,1,4,0,25-00703,39,0,N,500,2781
1,N,1,1,N,0,25-01000,15,2,4,173,4987
2,1,1,1,0,0,25-00703,40,2,4,500,4260
2,6,6,1,0,0,25-02800,13,1,3,161,3928
2,1,1,1,5,0,25-01300,86,0,2,500,4034
1,1,1,1,9,0,25-00703,36,0,N,501,6206
2,6,2,1,5,0,25-00503,36,0,N,467,4750
2,3,1,1,6,0,25-01000,65,0,N,47,5993
2,6,9,1,9,0,25-00703,6,2,4,159,5945
2,1,1,2,7,0,25-01000,53,0,3,501,1983
1,1,1,2,4,0,25-01300,30,0,2,500,575
2,1,1,1,7,0,25-02800,53,2,4,501,1709
1,N,9,1,N,0,25-02800,6,2,4,500,6922
2,1,1,1,2,0,25-01000,80,0,2,500,4355
2,6,1,1,6,0,25-00503,36,2,5,465,2661
1,3,1,1,8,0,25-01000,53,0,4,500,827
1,1,1,1,6,0,25-01000,81,0,2,500,5836
1,1,1,1,6,0,25-00703,68,0,2,500,4505
2,6,1,1,7,0,25-01300,67,0,N,501,2008
1,1,1,1,8,0,25-01000,52,0,2,500,4870
1,1,6,1,0,0,25-00503,54,2,4,500,613
2,6,1,1,0,0,25-01300,17,1,3,500,4710
1,6,1,2,2,0,25-01300,19,0,N,91,652
2,1,1,2,5,0,25-00703,64,0,2,26,4088
1,N,1,2,9,0,25-00703,4,2,4,501,7187
2,6,1,1,7,0,25-00703,82,0,2,501,6250
2,1,1,1,5,0,25-01300,58,0,4,500,3129
1,1,1,1,3,0,25-00703,67,0,2,499,3524
2,1,1,1,0,0,25-02800,62,0,N,260,4071
2,3,1,1,7,0,25-01000,77,0,N,500,482
1,1,1,1,9,0,25-01000,55,0,2,500,544
2,1,1,1,5,0,25-01300,81,0,3,501,661
1,1,1,1,7,0,25-01300,52,2,4,499,6061
2,6,1,1,0,0,25-01300,16,1,4,460,4613
2,N,1,1,N,0,25-00503,16,2,4,500,5883
1,1,1,1,2,0,25-02800,64,1,2,257,747
1,N,1,1,9,0,25-00703,18,2,4,168,664
1,1,1,1,8,0,25-00703,55,0,3,500,3376
2,1,1,2,5,0,25-01300,51,0,N,500,2931
1,4,1,1,0,0,25-00703,17,2,4,500,5961
2,N,1,1,5,0,25-01000,48,2,4,500,767
1,1,1,2,N,0,25-01000,6,2,4,145,5039
1,1,1,1,8,0,25-00703,36,0,N,501,4837
1,N,1,1,9,0,25-00503,5,1,4,293,7088
2,1,1,1,4,0,25-01000,64,0,2,500,5931
2,4,1,1,5,0,25-01300,38,0,7,271,4427
1,1,1,1,5,0,25-01300,52,0,4,500,1829
2,1,1,1,1,0,25-01000,62,0,4,501,3629
2,6,1,1,7,0,25-01300,61,0,N,501,624
2,1,6,1,5,0,25-01300,62,0,N,289,1970
1,6,1,1,2,0,25-00703,21,0,4,501,3263
