,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,60,2,N,5,2,2,0,0,6,1,30,2,N,2,0,80.0
1,62,2,N,7,1,2,1,0,6,1,59,2,N,1,4,60.0
2,82,2,N,3,1,3,1,6,6,1,89,2,N,1,6,80.0
3,51,2,N,8,1,5,2,4,8,2,47,2,N,1,4,80.0
4,76,2,N,8,1,3,1,7,8,2,82,2,N,1,3,60.0
5,57,2,N,4,1,6,1,1,7,1,15,2,N,1,0,60.0
6,46,2,N,8,1,2,2,0,1,2,51,2,N,1,9,60.0
7,63,2,N,5,2,5,0,5,1,2,32,2,N,3,3,40.0
8,35,2,N,10,1,1,2,8,3,1,31,2,N,1,1,60.0
9,83,2,N,11,1,3,2,4,1,1,76,2,N,1,3,60.0
10,53,2,N,10,1,6,1,0,3,2,30,2,N,1,4,60.0
11,66,2,N,11,1,6,1,6,9,2,59,2,N,1,8,60.0
12,30,2,N,1,1,6,1,2,6,1,53,2,N,1,0,60.0
13,41,2,N,4,1,5,1,4,8,2,64,2,N,1,0,60.0
14,61,2,N,3,1,3,2,2,8,1,68,2,N,1,2,80.0
15,41,2,N,7,1,5,2,3,3,2,49,2,N,1,2,60.0
16,72,1,N,11,1,3,1,9,6,2,66,2,N,1,9,60.0
17,74,2,3,11,1,4,2,3,2,2,80,2,N,1,7,40.0
18,45,2,N,12,1,1,2,0,9,1,28,2,N,1,0,80.0
19,34,2,N,10,1,2,2,9,9,2,56,2,N,1,9,80.0
20,14,2,N,4,1,N,2,N,3,1,14,2,N,1,N,100.0
21,35,2,N,7,3,2,0,1,9,2,24,2,N,3,1,80.0
22,27,2,N,1,1,2,2,0,1,2,58,2,N,1,0,80.0
23,21,2,N,8,1,6,1,3,8,2,21,2,N,1,3,100.0
24,55,2,N,9,1,1,1,0,7,2,62,2,N,1,0,80.0
25,35,2,N,4,1,2,2,4,8,2,47,2,N,1,2,60.0
26,60,2,N,8,1,4,1,8,6,2,66,2,N,1,8,80.0
27,65,2,N,10,1,4,2,7,9,1,84,2,N,1,7,80.0
28,68,2,N,1,1,2,2,4,6,1,57,2,N,1,1,60.0
29,45,2,N,6,1,4,2,6,3,1,68,1,N,1,3,40.0
30,22,2,N,11,1,2,2,4,2,2,22,2,N,1,0,80.0
31,56,2,N,4,1,4,1,2,3,2,51,2,N,1,3,60.0
32,53,2,N,12,1,3,1,9,6,1,71,2,N,1,9,80.0
33,31,2,N,4,1,5,2,4,8,1,42,2,N,1,4,80.0
34,36,2,N,1,1,6,1,5,5,1,78,2,N,1,5,80.0
35,51,2,N,5,2,4,0,1,9,1,36,2,N,2,0,60.0
36,70,2,N,8,1,5,2,2,9,1,54,2,N,1,3,60.0
37,1,2,N,N,2,N,0,N,2,2,2,2,N,3,N,60.0
38,49,2,N,5,2,2,0,6,8,1,51,2,N,2,0,60.0
39,76,2,N,3,2,4,0,1,2,1,70,2,N,2,1,80.0
40,26,2,N,12,1,2,2,0,6,2,29,2,N,1,0,80.0
41,53,2,N,10,3,6,0,7,6,1,37,2,N,3,8,60.0
42,45,2,N,5,3,2,0,2,3,1,77,1,N,3,3,40.0
43,43,2,N,10,1,5,2,9,9,1,43,2,N,1,7,80.0
44,37,2,N,10,1,2,2,3,8,2,37,2,N,1,3,100.0
45,64,2,2,6,1,3,2,4,8,2,58,2,N,1,5,40.0
46,32,2,N,6,1,6,2,3,8,1,22,2,N,1,1,60.0
47,60,2,N,12,1,5,2,7,1,1,50,2,N,1,9,60.0
48,33,2,N,10,1,2,2,1,3,2,34,2,N,1,2,60.0
49,17,2,N,3,1,2,2,1,6,1,28,2,N,1,1,80.0
