,feature,divergence
11,INDP_CAT,5.007277632259987
1,AGEP,3.987706243934002
13,PINCP,3.260861611634501
14,PINCP_DECILE,2.580457365890652
12,EDU,0.8415340329680259
7,NPF,0.5833306569890057
15,POVPIP,0.44966030167313675
3,MSP,0.28021700672774297
6,NOC,0.18257249004875492
16,DVET,0.0951832177220961
5,RAC1P,0.08493069975374674
18,DPHY,0.08189077111772348
0,PUMA,0.06960784313725499
17,DREM,0.06635606892789075
4,HISP,0.05473355720189707
9,OWN_RENT,0.044747918114882115
20,DEAR,0.0357657600040426
10,DENSITY,0.03408874344462964
19,DEYE,0.029451590272778355
8,HOUSING_TYPE,0.020097497562560934
2,SEX,0.006196854755504799
