,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,1,N,N,1,N,2,N,3,1,1,N,1,N,100.0
1,52,N,6,1,1,2,6,9,1,36,N,1,4,50.0
2,14,N,3,1,N,2,N,3,1,14,N,1,N,100.0
3,71,N,3,1,4,1,1,6,2,77,N,1,3,50.0
4,54,N,5,1,4,1,9,2,2,43,N,1,3,50.0
5,2,N,N,1,N,2,N,8,2,2,N,1,N,100.0
6,24,N,9,1,6,1,4,3,2,24,N,1,2,75.0
7,6,N,2,1,N,2,N,8,2,6,N,1,N,100.0
8,0,N,4,1,N,1,N,9,1,14,N,1,N,75.0
9,24,N,8,1,5,2,3,2,2,60,N,1,2,50.0
10,33,N,3,1,1,1,8,6,2,37,N,1,8,75.0
11,80,N,5,1,3,1,8,8,2,86,N,1,4,50.0
12,5,N,2,1,N,2,N,9,2,4,N,1,N,75.0
13,63,N,7,1,1,1,5,4,1,35,N,1,8,50.0
14,31,N,5,1,5,2,4,8,1,44,N,1,5,50.0
15,47,N,11,1,1,1,9,8,1,38,N,1,9,75.0
16,4,N,1,1,5,2,N,1,2,55,N,1,6,50.0
17,28,N,1,1,6,2,8,1,2,38,N,1,0,50.0
18,45,N,9,1,2,1,6,8,2,32,N,1,0,50.0
19,49,N,7,1,4,2,0,8,2,40,N,1,4,50.0
20,32,N,9,1,6,2,2,8,1,27,N,1,1,50.0
21,47,N,8,1,5,1,5,1,1,34,N,1,7,50.0
22,84,N,8,1,2,1,1,1,2,33,N,1,2,50.0
23,33,N,10,1,6,1,5,8,1,39,N,1,9,50.0
24,30,N,7,1,2,1,5,2,2,22,N,1,1,50.0
25,41,N,4,1,3,2,4,2,1,63,N,1,2,50.0
26,20,N,7,1,2,2,2,2,2,38,N,1,6,50.0
27,18,N,4,1,6,2,4,3,1,16,N,1,2,50.0
28,44,N,8,1,4,1,7,8,2,30,N,1,6,50.0
29,5,N,1,1,N,2,N,2,2,3,N,1,N,75.0
30,73,N,7,1,1,2,9,6,1,67,N,1,3,50.0
31,39,N,1,2,6,0,7,1,2,41,N,3,2,25.0
32,58,N,10,1,4,2,4,6,2,63,N,1,9,50.0
33,32,N,5,1,4,2,5,8,1,30,N,1,4,50.0
34,39,N,8,1,1,2,8,9,1,85,N,1,3,50.0
35,55,N,10,1,1,1,7,9,2,35,N,1,1,50.0
36,19,N,5,1,2,2,2,2,1,49,N,1,5,50.0
37,56,N,9,1,5,2,2,1,2,38,N,1,5,50.0
38,60,N,5,2,6,0,5,2,2,60,N,2,0,75.0
39,49,N,5,1,4,2,9,9,1,30,N,1,5,50.0
40,13,N,3,1,4,1,N,2,2,47,N,1,2,50.0
41,35,N,8,1,6,2,5,2,1,46,N,1,6,50.0
42,27,N,9,1,6,2,3,9,1,34,N,1,7,50.0
43,87,N,1,1,6,1,2,2,1,33,N,1,6,50.0
