,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,30,2,9,2,2,2,N,5,0,1,12,1,1,3,1,25400.0,4,501,06-08507,1,2,76,2,7,2,2,2,N,1,0,2,15000.0,3,312,46.15384615384615
1,27,2,9,2,2,2,N,5,0,1,7,6,0,2,2,192100.0,4,130,29-01901,2,2,32,2,8,2,2,2,N,1,1,2,16300.0,3,92,53.84615384615385
2,54,2,8,2,2,2,N,5,0,1,11,6,0,2,1,45000.0,6,216,08-00803,1,2,28,2,7,2,2,2,N,1,0,4,31200.0,4,501,53.84615384615385
3,6,2,8,2,2,2,N,12,0,1,16,1,0,6,2,11500.0,5,86,24-01004,1,1,35,2,8,2,2,2,N,1,0,2,138000.0,9,501,61.53846153846154
4,39,2,9,2,2,2,N,10,0,1,10,1,3,2,1,550100.0,8,N,30-00600,1,2,62,2,0,2,2,2,N,1,0,2,6600.0,1,501,53.84615384615385
5,67,2,5,2,2,2,N,9,0,1,N,2,0,3,1,19000.0,1,501,06-07502,1,1,68,2,12,2,2,2,N,1,0,N,24000.0,4,197,53.84615384615385
6,1,2,7,2,2,2,N,5,0,1,6,6,0,N,1,48000.0,6,457,28-01100,1,2,18,2,7,2,2,2,N,1,0,3,1400.0,1,501,61.53846153846154
7,62,2,9,2,2,2,N,5,0,1,15,6,1,2,1,16800.0,1,0,51-51255,1,1,34,2,10,2,2,2,N,1,0,N,65000.0,7,492,46.15384615384615
8,31,2,8,2,2,2,N,10,0,1,11,6,1,8,2,310000.0,6,17,17-03529,2,1,35,2,11,2,2,2,N,1,0,N,72000.0,8,501,46.15384615384615
9,43,2,10,2,2,2,N,7,0,1,N,1,0,2,2,15200.0,5,97,38-00100,9,2,45,2,0,2,1,1,N,1,1,3,9500.0,2,236,30.76923076923077
10,41,2,8,2,2,2,N,4,0,1,N,1,0,2,2,34000.0,5,165,36-04010,2,1,71,2,13,2,1,2,N,1,0,2,20200.0,4,455,53.84615384615385
11,64,2,6,2,2,2,N,4,0,1,12,1,3,2,1,25000.0,2,225,17-03531,2,2,57,2,10,2,2,2,N,1,0,3,32000.0,5,331,46.15384615384615
12,71,1,9,2,2,2,N,6,0,1,10,6,0,3,1,14440.0,4,500,17-03531,2,1,56,2,10,2,2,1,6,1,0,8,70000.0,8,486,30.76923076923077
13,80,2,9,2,2,2,N,5,0,1,6,6,1,7,2,28730.0,5,472,24-01004,1,1,63,2,8,2,2,2,N,1,0,N,75000.0,7,501,46.15384615384615
14,51,2,10,2,2,2,N,7,0,1,16,4,0,N,2,16500.0,5,501,51-01301,1,1,43,2,10,2,2,2,N,1,0,N,80000.0,7,501,76.92307692307693
15,20,2,9,2,2,2,N,9,0,1,8,6,0,N,1,23000.0,4,231,08-00803,1,1,27,2,7,2,2,2,N,1,0,N,56900.0,6,431,61.53846153846154
16,71,2,9,2,2,2,N,10,0,1,11,6,0,5,1,37000.0,8,44,19-01700,1,1,68,2,7,2,2,2,N,1,0,N,40000.0,6,327,53.84615384615385
17,28,2,9,1,2,2,N,5,0,1,N,4,0,N,1,47000.0,1,501,01-01301,2,1,72,2,7,2,2,2,N,1,0,N,13400.0,3,110,53.84615384615385
18,68,2,9,2,2,2,N,7,1,1,15,1,0,2,1,10800.0,2,120,08-00803,1,2,41,2,7,2,2,2,N,1,0,4,0.0,0,501,53.84615384615385
19,73,2,9,2,2,2,N,5,0,1,6,6,1,2,2,72000.0,5,206,30-00600,3,1,29,2,0,2,2,2,N,1,0,2,14000.0,3,182,53.84615384615385
