,Target samples,Deid. samples
0,42,0
1,0,0
2,0,0
3,0,0
4,0,0
5,286,14
6,0,0
7,0,0
8,0,0
9,129,12
10,0,0
11,219,26
12,7,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,1393,358
21,0,0
22,3149,871
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1171,515
32,0,0
33,2,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,2072,1406
41,0,0
42,69,49
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,14,13
49,0,0
50,6,6
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,6,10
63,0,0
64,0,0
65,0,0
66,0,0
67,2,4
68,0,0
69,0,0
70,0,0
71,665,1593
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,22,110
84,0,0
85,0,0
86,0,0
87,3,20
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,4,75
96,0,0
97,0,0
98,15,893
99,0,3299
