SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,4,1,1,7,11,80,1,N,2
2,1,1,1,0,5,38,1,N,2
1,6,2,2,3,8,21,1,N,2
2,N,1,1,N,3,7,1,N,2
2,N,1,1,N,2,6,1,5,2
1,6,3,0,1,7,19,3,N,2
2,1,1,1,9,11,45,1,N,2
2,N,1,1,N,2,3,1,N,2
2,N,1,1,N,3,14,1,N,2
1,1,1,1,8,9,37,1,N,2
2,1,1,1,2,7,94,1,N,2
1,1,6,1,9,6,59,1,N,2
1,6,1,2,8,9,27,1,N,2
2,6,1,1,0,3,15,1,N,2
1,N,1,1,N,3,12,1,N,2
1,6,2,2,5,7,29,1,N,2
1,6,1,1,3,9,40,1,N,2
2,1,2,1,7,7,56,1,N,2
1,1,1,1,9,7,68,1,N,2
2,N,2,2,N,3,14,1,N,2
1,6,3,1,0,4,16,1,N,2
2,6,2,2,6,5,67,1,N,2
1,N,6,2,N,N,0,1,N,2
2,N,2,2,N,3,9,1,N,2
2,6,2,1,0,7,22,1,N,2
2,1,1,1,2,8,61,1,N,2
2,1,1,1,9,10,67,1,N,2
2,1,1,2,8,10,39,1,N,2
1,N,1,1,N,3,10,1,N,2
1,N,1,1,N,3,11,1,N,2
1,6,1,1,0,5,60,1,N,2
1,6,1,2,6,9,24,1,N,2
2,1,8,2,0,7,40,1,N,2
1,4,1,0,0,6,55,3,N,2
1,6,2,0,0,7,52,3,N,2
2,1,1,1,9,10,66,1,N,2
1,N,1,1,N,3,13,1,N,2
1,N,1,2,N,3,8,1,N,2
2,N,2,1,N,3,13,1,N,2
1,1,1,2,9,9,54,1,N,2
2,6,1,0,1,7,20,3,N,2
1,1,1,1,9,12,75,1,N,2
1,1,1,2,9,11,33,1,N,2
2,1,1,2,4,5,35,1,N,2
2,N,2,2,N,3,12,1,N,2
2,3,1,1,4,7,69,1,N,2
2,1,1,1,4,10,72,1,N,2
2,6,1,2,6,9,28,1,N,2
1,N,1,1,N,3,14,1,N,2
2,5,2,2,0,6,50,1,N,2
2,2,2,1,2,7,22,1,N,2
1,1,6,1,9,9,50,1,N,2
2,N,1,1,N,2,6,1,N,2
1,N,1,2,N,N,1,1,N,2
2,1,1,1,9,10,68,1,N,2
1,6,1,1,4,9,23,1,N,2
2,1,1,1,3,9,54,1,N,2
1,6,2,2,1,1,62,1,N,1
2,6,1,1,1,4,16,1,N,2
1,1,1,1,9,12,56,1,N,2
1,N,2,2,N,N,0,1,N,2
1,6,1,2,8,9,34,1,N,2
2,1,2,2,6,5,76,1,N,2
1,N,1,1,N,3,12,1,N,2
2,N,2,2,N,N,1,1,N,2
2,6,1,1,0,4,15,1,N,2
2,N,1,1,N,1,4,1,N,2
2,3,1,1,9,7,73,1,N,2
2,N,2,2,N,3,10,1,N,2
2,1,1,2,5,5,36,1,N,2
1,6,1,1,7,9,23,1,N,2
2,6,1,2,4,8,29,1,N,2
1,1,1,1,9,11,73,1,N,2
2,4,6,2,4,2,40,1,N,2
1,1,1,1,0,5,64,1,N,2
2,N,1,1,N,3,11,1,N,2
1,1,1,1,9,10,76,1,N,2
1,N,3,2,N,N,2,1,N,2
2,N,1,2,N,N,2,1,N,2
1,1,1,1,4,7,69,1,N,2
1,6,6,2,2,8,28,1,N,2
2,4,1,1,3,6,63,1,N,2
2,N,8,1,N,1,5,1,N,2
1,1,6,2,8,10,42,1,N,2
2,1,1,1,9,10,28,1,N,2
1,6,1,1,7,9,62,1,N,2
1,6,2,2,0,1,26,1,N,2
1,3,1,2,3,7,69,1,N,2
2,1,1,2,4,5,33,1,N,2
1,4,1,1,7,7,26,1,N,2
2,2,2,1,3,4,79,1,N,2
2,1,1,1,4,9,38,1,N,2
2,N,2,2,N,3,12,1,N,2
2,6,2,2,0,1,59,1,N,1
1,4,1,2,2,7,63,1,N,2
1,2,1,2,3,9,38,1,N,2
2,6,1,2,9,10,31,1,N,2
2,1,1,2,0,1,34,1,N,2
1,1,1,2,4,7,47,1,N,2
2,1,1,1,9,11,46,1,N,2
2,2,3,1,9,10,65,1,N,2
2,3,2,2,1,4,62,1,N,2
1,6,1,2,0,9,24,1,N,2
2,6,2,2,6,8,39,1,N,2
1,N,1,1,N,3,13,1,N,2
1,6,1,0,1,7,18,3,N,2
2,3,1,1,9,7,70,1,N,2
1,6,1,2,6,9,27,1,N,2
2,6,5,2,0,5,56,1,N,2
2,6,1,0,0,7,21,3,N,2
2,6,1,0,0,7,18,3,N,2
1,5,2,1,2,4,88,1,N,2
2,N,2,2,N,1,6,1,N,2
1,6,2,1,0,3,16,1,N,2
1,1,1,1,8,7,32,1,N,2
1,N,2,2,N,N,0,1,N,2
2,4,1,1,9,10,73,1,N,2
1,2,1,0,9,9,90,2,N,2
1,6,2,2,1,8,50,1,N,2
1,N,2,1,N,3,13,1,N,2
2,3,6,2,0,4,64,1,N,2
1,1,1,1,9,11,58,1,N,2
1,1,6,1,9,10,36,1,N,2
2,1,1,1,9,9,54,1,N,2
1,N,6,2,N,3,6,1,N,2
1,N,1,1,N,3,7,1,N,2
1,1,2,1,7,10,65,1,N,2
2,3,1,1,5,5,90,1,N,2
2,N,1,1,N,3,10,1,N,2
2,6,1,2,8,9,23,1,N,2
1,6,2,0,2,6,47,3,N,2
2,1,8,2,6,9,32,1,N,2
2,6,8,2,0,3,34,1,N,2
2,1,1,1,4,7,61,1,N,2
2,4,3,1,3,6,62,1,N,2
2,1,6,2,0,5,41,1,N,2
2,1,2,1,3,5,62,1,N,2
1,1,6,2,9,10,30,1,N,2
1,1,1,1,5,11,36,1,N,2
2,5,2,2,0,7,30,1,N,2
1,1,1,1,9,12,68,1,N,2
1,6,2,2,1,8,32,1,N,2
2,N,1,1,N,2,6,1,N,2
1,N,7,1,N,2,6,1,N,2
1,3,2,2,6,9,56,1,N,2
2,4,3,2,4,9,72,1,N,2
1,6,9,1,1,4,15,1,N,2
1,1,1,1,9,6,63,1,N,2
2,4,2,2,3,5,59,1,N,2
2,1,1,1,0,9,33,1,N,2
2,1,1,1,5,9,69,1,N,2
1,6,2,2,0,5,18,1,N,2
2,4,8,0,3,5,26,3,N,2
2,6,2,2,5,5,67,1,N,2
2,N,1,2,N,1,3,1,N,2
1,N,1,1,N,3,9,1,N,2
1,1,8,2,4,4,76,1,5,2
2,6,2,0,5,5,30,2,N,2
2,1,1,1,0,10,37,1,N,2
1,6,1,1,0,4,18,1,N,2
2,1,1,1,0,9,40,1,N,2
2,2,9,1,1,4,32,1,N,2
2,N,5,1,N,3,12,1,N,2
2,3,1,2,4,7,85,1,N,2
2,1,1,1,5,9,62,1,N,2
1,6,1,2,1,7,20,1,N,2
2,1,2,1,1,9,55,1,N,2
1,6,2,2,5,7,69,1,N,2
1,1,1,1,9,11,60,1,N,2
2,1,1,2,0,10,47,1,N,2
2,1,1,1,8,10,42,1,N,2
1,N,1,1,N,3,11,1,N,2
2,1,6,1,4,7,70,1,N,2
2,6,5,1,4,7,42,1,N,2
2,4,1,2,2,7,72,1,N,2
1,1,6,1,8,10,67,1,N,2
2,1,6,1,3,9,90,1,N,2
1,N,1,2,N,3,10,1,N,2
1,1,1,1,4,8,64,1,N,2
1,N,1,1,N,3,13,1,N,2
1,6,1,1,7,9,28,1,N,2
2,N,2,2,N,3,10,1,N,2
2,4,1,1,9,12,71,1,N,2
2,1,1,1,0,9,50,1,N,2
1,4,2,2,6,5,46,1,4,2
2,3,2,2,3,5,86,1,N,2
1,1,1,1,7,7,64,1,N,2
2,6,2,2,6,9,30,1,N,2
1,1,2,1,3,5,78,1,N,2
2,6,1,0,0,7,18,3,N,2
2,4,6,1,2,5,27,1,N,2
2,1,1,1,1,10,73,1,N,2
2,1,3,1,0,5,48,1,N,2
2,4,1,0,3,3,58,3,N,2
1,1,1,1,9,11,32,1,N,2
2,6,1,1,9,10,54,1,N,2
1,N,1,1,N,3,9,1,N,2
2,5,1,2,8,8,59,1,N,2
2,6,1,2,7,9,24,1,N,2
2,6,2,1,1,4,16,1,N,2
1,6,9,2,8,12,37,1,N,2
1,1,1,1,3,9,53,1,N,2
1,6,2,1,6,9,39,1,N,2
1,1,6,1,8,12,42,1,N,2
2,6,1,0,2,5,19,2,N,2
2,6,1,1,9,9,31,1,N,2
2,4,1,2,4,4,68,1,N,2
2,6,2,0,1,5,59,2,N,2
2,3,1,1,3,3,74,1,N,2
2,N,1,2,N,N,1,1,N,2
1,6,1,2,1,9,23,1,N,2
2,N,1,2,N,3,10,1,N,2
2,4,8,0,1,7,68,2,N,2
1,1,6,1,8,9,35,1,N,2
1,N,1,2,N,N,2,1,N,2
1,1,1,1,4,10,70,1,N,2
1,N,1,2,N,3,12,1,N,2
