PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02515,49,2,1,0,1,0,2,1,2,2134.8,5690,6,5,280.0,5,165,N,2,2,2,2,65,64,5249
48-02510,21,2,6,0,2,0,6,1,2,3092.4,5391,5,6,146000.0,2,278,N,2,2,2,2,158,105,6515
48-02102,49,2,6,0,2,0,7,1,1,450.9,9920,9,6,-1300.0,0,332,N,2,2,2,2,261,147,5113
48-02510,67,2,1,0,1,0,2,1,1,3092.4,5391,5,8,51700.0,6,500,N,2,2,2,1,74,67,4942
48-02102,25,2,1,0,1,1,3,1,2,450.9,7080,1,6,23500.0,4,460,N,2,2,2,2,110,128,3524
48-02101,46,1,1,0,1,2,4,1,1,357.4,4990,6,9,10100.0,9,396,N,2,2,2,2,96,96,6177
48-02102,29,2,1,0,1,1,3,1,1,450.9,4585,0,8,71500.0,7,499,N,2,2,2,2,112,109,3511
48-02516,18,1,N,1,1,2,4,1,2,1338.4,N,N,3,N,N,240,N,2,2,2,2,32,29,8601
48-02101,5,1,N,1,1,2,5,1,1,357.4,N,N,2,N,N,52,N,N,N,2,2,22,29,9103
48-02507,27,1,6,0,1,0,3,1,1,3731.1,1590,3,8,35500.0,5,5,N,2,2,2,2,63,33,3224
48-02101,38,2,1,0,1,1,3,1,2,357.4,7890,11,6,360.0,5,500,N,2,2,2,2,82,82,7337
48-02510,56,1,1,0,1,0,2,1,1,3092.4,770,10,9,129000.0,9,52,N,2,2,2,2,53,50,5249
48-02515,23,2,6,0,1,0,N,1,1,2134.8,8080,11,8,63000.0,7,5,N,2,2,2,2,43,46,4861
48-02102,0,1,N,0,1,0,3,1,2,450.9,9920,9,9,98000.0,9,0,N,N,N,2,2,141,165,8286
48-02515,52,2,4,1,1,0,3,1,1,2134.8,8192,11,3,195000.0,3,389,N,2,1,2,2,24,17,644
48-02102,34,2,5,0,1,2,3,1,2,450.9,8590,13,6,60700.0,1,295,N,2,2,2,2,61,61,761
48-02102,19,1,6,0,2,N,N,3,0,450.9,7072,8,6,22220.0,0,98,N,2,2,2,2,68,0,133
48-02516,0,2,N,0,1,1,3,1,2,1338.4,9920,9,1,98000.0,9,175,N,N,N,2,2,246,211,7219
48-02101,51,2,1,0,1,0,3,1,1,357.4,7790,10,8,44890.0,5,500,N,2,2,2,2,76,93,7196
48-02507,2,2,N,4,1,1,2,1,2,3731.1,9920,9,1,9950.0,9,56,N,N,N,2,2,99,69,8034
48-02510,0,1,N,0,1,0,5,1,1,3092.4,9920,9,9,990.0,9,5,N,N,N,2,2,100,85,8925
48-02101,62,2,1,0,1,0,2,1,1,357.4,6970,9,7,77100.0,8,501,N,2,2,2,2,19,21,7563
48-02102,92,2,3,0,1,0,N,1,2,450.9,N,N,5,8700.0,2,72,N,1,1,2,1,101,101,4405
48-02507,35,1,4,1,1,0,N,1,1,3731.1,8570,12,6,50300.0,1,425,N,2,2,2,2,46,48,6456
48-02507,64,2,4,0,1,0,2,1,1,3731.1,7990,11,8,24000.0,4,5,N,2,1,1,2,131,131,927
48-02101,22,1,6,1,8,0,2,1,1,357.4,4680,5,7,320.0,4,248,N,2,2,2,2,93,68,5714
48-02516,42,1,1,0,1,2,4,1,1,1338.4,6970,9,9,137600.0,9,501,N,2,2,2,2,161,161,1398
48-02101,15,1,N,1,9,1,6,1,1,357.4,N,N,3,N,N,52,N,2,2,2,2,56,47,8980
48-02516,52,2,5,0,9,0,6,1,1,1338.4,N,N,8,29100.0,5,245,N,2,1,2,2,364,368,4947
48-02516,17,1,6,0,2,2,4,1,1,1338.4,9920,9,6,-1300.0,0,404,N,2,2,2,2,355,509,3586
48-02510,39,1,1,1,1,2,4,1,1,3092.4,4390,4,5,22900.0,4,320,N,2,2,2,2,114,114,2849
48-02507,85,2,3,0,1,0,5,1,2,3731.1,N,N,5,4000.0,6,28,N,2,1,2,1,200,199,7461
48-02510,58,2,1,0,1,0,2,1,1,3092.4,9920,9,5,-1300.0,0,5,N,2,2,2,2,272,292,3749
48-02516,73,1,1,0,1,0,2,1,1,1338.4,N,N,7,57010.0,7,456,N,2,2,2,2,80,80,5487
48-02515,27,1,6,1,1,N,N,2,0,2134.8,6370,6,5,44200.0,1,98,N,2,2,2,2,76,0,138
