SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,1,1,2,4,0,48-02515,46,0,2,155,4923
2,6,2,2,3,0,48-02510,22,0,6,290,6678
2,6,2,1,0,0,48-02102,53,0,7,348,5509
2,1,1,1,7,0,48-02510,78,0,2,56,6035
2,1,1,2,5,0,48-02102,34,1,3,488,4611
1,1,1,1,8,0,48-02101,41,2,4,371,5539
2,1,1,1,7,0,48-02102,33,1,3,500,4056
1,N,1,2,N,1,48-02516,15,2,4,22,8408
1,N,1,1,9,1,48-02101,1,2,5,499,8620
1,6,1,1,6,0,48-02507,33,0,3,52,4074
2,1,1,2,6,0,48-02101,40,1,3,501,7480
1,1,1,1,9,0,48-02510,57,0,2,52,5378
2,6,1,1,8,0,48-02515,27,0,N,501,5286
1,N,1,2,N,0,48-02102,0,0,3,116,8591
2,4,1,1,4,1,48-02515,54,0,3,398,754
2,5,1,2,2,0,48-02102,37,2,3,316,959
1,6,2,0,1,0,48-02102,21,N,N,N,267
2,N,1,2,9,0,48-02516,2,1,3,200,7640
2,1,1,1,5,0,48-02101,49,0,3,500,7021
2,N,1,2,N,4,48-02507,4,1,2,57,8187
1,N,1,1,9,0,48-02510,0,0,5,499,8801
2,1,1,1,7,0,48-02101,57,0,2,5,7136
2,3,1,2,1,0,48-02102,87,0,N,63,3878
1,4,1,1,2,1,48-02507,46,0,N,457,7507
2,4,1,1,4,0,48-02507,66,0,2,500,1011
1,6,8,1,5,1,48-02101,27,0,2,282,6385
1,1,1,1,8,0,48-02516,38,2,4,5,974
1,N,9,1,9,1,48-02101,10,1,6,5,8566
2,5,9,1,5,0,48-02516,52,0,6,242,4894
1,6,2,1,0,0,48-02516,23,2,4,440,4556
1,1,1,1,3,1,48-02510,31,2,4,269,2078
2,3,1,2,5,0,48-02507,77,0,5,247,6948
2,1,1,1,0,0,48-02510,68,0,2,52,4724
1,1,1,1,6,0,48-02516,67,0,2,444,5010
1,6,1,0,2,1,48-02515,30,N,N,N,326
2,1,1,2,7,0,48-02102,37,1,3,492,5986
1,1,1,1,6,0,48-02507,86,0,2,500,5511
2,3,1,1,4,0,48-02102,82,1,4,133,6149
1,N,1,1,9,0,48-02507,1,3,5,373,8626
2,6,1,1,0,0,48-02102,13,2,4,477,6050
1,1,1,1,6,0,48-02102,92,0,3,353,4396
1,1,1,1,9,0,48-02507,62,0,2,52,4346
2,1,9,1,6,0,48-02516,40,2,4,305,6742
2,1,1,1,3,0,48-02102,65,0,2,52,703
2,1,1,1,7,0,48-02516,79,0,2,501,6228
2,1,1,1,0,0,48-02102,30,0,5,501,6299
1,1,1,1,7,1,48-02516,54,0,2,501,1951
1,6,2,1,5,2,48-02515,52,1,2,33,1121
1,6,2,2,4,0,48-02515,27,1,2,187,3018
1,1,1,1,7,0,48-02101,39,2,4,487,3531
2,1,1,1,7,0,48-02102,72,0,2,501,5368
1,1,1,1,3,0,48-02101,73,0,2,162,4300
1,N,9,1,9,4,48-02510,12,2,4,500,9156
1,4,2,1,0,0,48-02101,52,0,N,0,866
1,1,1,1,8,0,48-02515,59,0,2,499,1388
1,6,1,1,2,0,48-02507,21,1,3,53,1963
2,4,1,1,7,0,48-02515,60,0,N,500,5921
1,6,1,1,8,0,48-02515,41,1,2,453,2449
2,1,1,1,0,0,48-02101,31,2,4,501,4416
2,1,1,1,6,0,48-02510,64,0,2,52,2488
2,4,1,1,6,0,48-02516,71,0,2,362,1698
1,6,1,1,1,0,48-02101,17,2,4,501,1024
2,3,1,1,8,0,48-02507,84,0,N,501,6319
1,6,1,1,0,1,48-02102,14,2,4,138,1142
1,1,1,1,7,0,48-02101,38,0,2,52,2051
1,1,1,2,8,0,48-02102,46,1,5,319,3921
1,N,9,2,N,0,48-02510,2,1,3,156,7676
2,1,1,2,1,0,48-02101,38,2,4,255,1058
1,N,1,1,9,1,48-02507,4,2,4,152,7686
1,1,1,1,9,0,48-02507,51,1,5,501,989
1,N,9,2,N,0,48-02510,9,2,3,301,9066
2,1,1,1,0,0,48-02510,49,0,3,286,3634
2,N,1,1,N,0,48-02102,4,3,5,211,9175
1,3,1,1,5,0,48-02515,59,0,N,295,5229
2,4,1,1,0,0,48-02101,52,0,3,500,6757
2,4,2,1,2,0,48-02507,51,0,3,82,598
1,1,1,1,4,1,48-02515,31,1,3,168,2528
1,1,1,1,2,0,48-02507,65,0,3,348,1324
1,6,1,1,0,0,48-02507,26,0,3,249,2494
2,1,1,1,9,0,48-02102,62,0,2,52,1283
2,1,1,1,6,0,48-02101,46,0,4,501,2982
1,1,1,1,8,0,48-02510,68,0,2,501,3848
1,1,1,1,9,0,48-02515,46,3,5,501,656
2,1,1,1,9,0,48-02515,54,0,2,501,6460
2,4,1,1,6,0,48-02102,79,0,N,408,5196
1,1,1,1,5,0,48-02101,55,0,4,161,2766
2,4,6,2,3,0,48-02507,56,0,N,135,5273
2,1,1,1,6,1,48-02516,31,3,5,49,855
1,4,1,1,7,0,48-02101,60,0,2,365,5658
2,N,2,2,9,0,48-02101,1,2,3,199,8596
