SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
2,1,1,2,5,5,50,1,N,2,5381
2,6,2,2,3,7,22,1,N,2,6697
2,6,2,1,0,6,52,1,N,2,5410
2,1,1,1,7,9,73,1,N,2,5495
2,1,1,2,4,6,28,1,N,2,3912
1,1,1,1,8,8,39,1,N,2,5385
2,1,1,1,8,9,37,1,N,2,4416
1,N,1,2,N,3,17,1,N,2,8545
1,N,1,1,9,12,2,1,N,2,8736
1,6,1,1,6,9,31,1,N,2,3759
2,1,1,2,5,6,38,1,N,2,7323
1,1,1,1,8,8,49,1,N,2,4537
2,6,1,1,7,8,25,1,N,2,5048
1,N,1,2,9,9,0,1,N,2,8408
2,4,1,1,4,4,55,1,N,2,768
2,5,1,2,1,6,34,1,N,2,782
1,6,2,0,0,6,17,3,N,2,18
2,N,1,2,9,1,2,1,N,2,7712
2,1,1,1,6,9,57,1,N,2,7675
2,N,1,2,9,1,2,1,N,2,8044
1,N,1,1,9,9,0,1,N,2,9013
2,1,1,1,7,6,59,1,N,2,7282
2,3,1,2,1,4,89,1,N,2,4078
1,4,1,1,1,6,39,1,N,2,6765
2,4,1,1,5,9,68,1,N,1,1116
1,6,8,1,5,8,25,1,N,2,6198
1,1,1,1,9,9,47,1,N,2,1899
1,N,9,1,N,3,13,1,N,2,8822
2,5,9,1,4,7,49,1,N,2,4561
1,6,2,1,0,7,21,1,N,2,4277
1,1,1,1,4,5,41,1,N,2,3100
2,3,1,2,5,4,77,1,N,2,6945
2,1,1,1,0,5,60,1,N,2,4033
1,1,1,1,6,6,62,1,N,2,4520
1,6,1,0,1,5,26,2,N,2,47
2,1,1,2,7,9,38,1,N,2,6202
1,1,1,1,7,9,92,1,N,2,6016
2,3,1,1,3,4,73,1,N,2,5433
1,N,1,1,N,2,5,1,N,2,9048
2,6,1,1,0,4,17,1,N,2,6768
1,1,1,1,6,5,89,1,N,2,3630
1,1,1,1,8,8,53,1,N,2,3437
2,1,9,1,5,8,36,1,N,2,6321
2,1,1,1,2,6,61,1,N,2,535
2,1,1,1,7,8,81,1,N,2,6401
2,1,1,1,0,9,35,1,N,2,6960
1,1,1,1,6,4,52,1,N,2,1769
1,6,2,1,5,4,51,1,N,2,1061
1,6,2,2,4,7,31,1,N,2,3566
1,1,1,1,7,5,40,1,N,2,3619
2,1,1,1,6,4,69,1,N,2,5093
1,1,1,1,2,10,70,1,N,2,4023
1,N,9,1,9,2,10,1,N,2,8995
1,4,2,1,0,6,51,1,N,2,835
1,1,1,1,8,11,64,1,N,2,1843
1,6,1,1,2,5,18,1,N,2,1588
2,4,1,1,8,7,68,1,N,2,6707
1,6,1,1,7,5,35,1,N,2,1896
2,1,1,1,0,8,29,1,N,2,4174
2,1,1,1,6,10,62,1,N,2,2317
2,4,1,1,5,6,64,1,N,2,1133
1,6,1,1,1,4,18,1,N,2,1158
2,3,1,1,7,8,77,1,N,2,5674
1,6,1,1,0,4,17,1,N,2,1403
1,1,1,1,7,9,37,1,N,2,1983
1,1,1,2,7,4,37,1,N,2,2900
