,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
PUMA,0.0,0.03546589615530059,0.015124927914304203,-0.06831882837274104,-0.5044787913192418,0.04556895475941937,-0.07007762052505084,-0.03523507193034582,-0.09781447970473574,0.3526470312045049,0.2937348505256527,-0.0034444064386970723
AGEP,0.03546589615530059,1.1102230246251565e-15,-0.037966236191870076,-0.1315836350376179,0.09927499511153093,0.057505519485388346,0.377472588706114,0.11179432359507975,0.06137590470453848,-0.45405114240464356,-0.48238214149841135,-0.08915508666540337
SEX,0.015124927914304203,-0.037966236191870076,-5.329070518200751e-15,0.0004598557161218375,-0.06773076592208127,0.02286414357337723,-0.035153668916330934,0.006571702177699007,-0.08456589830745317,0.019721548879063133,0.08190623527230362,0.06440693344506104
MSP,-0.06831882837274104,-0.1315836350376179,0.0004598557161218375,0.0,0.03313144212790466,0.0804500053987149,0.41122111816625945,-0.003791182121865355,0.05820159842301945,-0.24264877037089705,-0.16720751518391333,0.007509462447934756
HISP,-0.5044787913192418,0.09927499511153093,-0.06773076592208127,0.03313144212790466,0.0,-0.19676790896780377,-0.02843461681010176,0.04038006458692879,-0.16161297389347495,0.11827895243811426,0.15419098531655676,0.03450411264768226
RAC1P,0.04556895475941937,0.057505519485388346,0.02286414357337723,0.0804500053987149,-0.19676790896780377,0.0,-0.13111943000291923,0.04789985464418546,-0.09257009617487817,0.11741033006684506,0.138391925521597,0.017944048054845257
NOC,-0.07007762052505084,0.377472588706114,-0.035153668916330934,0.41122111816625945,-0.02843461681010176,-0.13111943000291923,0.0,0.39603314100521164,-0.2978140839911013,-0.007742758149168472,0.21494813039811222,0.03902955017485969
HOUSING_TYPE,-0.03523507193034582,0.11179432359507975,0.006571702177699007,-0.003791182121865355,0.04038006458692879,0.04789985464418546,0.39603314100521164,1.1879386363489175e-14,0.6355285174110417,0.03058927456321369,0.20500432750353212,-0.012167696088028018
OWN_RENT,-0.09781447970473574,0.06137590470453848,-0.08456589830745317,0.05820159842301945,-0.16161297389347495,-0.09257009617487817,-0.2978140839911013,0.6355285174110417,2.6645352591003757e-15,0.0759679930953471,-0.08838939372975259,-0.016933691221504094
EDU,0.3526470312045049,-0.45405114240464356,0.019721548879063133,-0.24264877037089705,0.11827895243811426,0.11741033006684506,-0.007742758149168472,0.03058927456321369,0.0759679930953471,-1.5543122344752192e-15,-0.6711179779593566,0.0014340038234445691
PINCP_DECILE,0.2937348505256527,-0.48238214149841135,0.08190623527230362,-0.16720751518391333,0.15419098531655676,0.138391925521597,0.21494813039811222,0.20500432750353212,-0.08838939372975259,-0.6711179779593566,1.1102230246251565e-16,0.04352511048330966
DVET,-0.0034444064386970723,-0.08915508666540337,0.06440693344506104,0.007509462447934756,0.03450411264768226,0.017944048054845257,0.03902955017485969,-0.012167696088028018,-0.016933691221504094,0.0014340038234445691,0.04352511048330966,0.0
