,feature,divergence
10,INDP,112.79674787244173
9,DENSITY,18.370645291662814
21,PWGTP,10.677699081163862
13,PINCP,6.042277411508673
0,AGEP,4.680830966104968
22,WGTP,4.586497709662228
15,POVPIP,3.5594039192664884
11,INDP_CAT,3.36781603849636
14,PINCP_DECILE,2.7454277248002397
12,EDU,2.4849766255843604
16,DVET,2.0262711098571597
6,NPF,1.827640128667086
2,MSP,1.0293596544189523
4,RAC1P,0.5709602252155443
5,NOC,0.4611208459985063
1,SEX,0.1342552751928825
8,OWN_RENT,0.1304740391860902
3,HISP,0.10379306739889047
18,DPHY,0.06736609173494848
17,DREM,0.06261425242242119
20,DEAR,0.017242307363257856
19,DEYE,0.012166228057583228
7,HOUSING_TYPE,0.012083864429353594
