,INDP,count_target,count_deidentified
3,1070,1,0.0
41,1090,1,0.0
42,1170,3,0.0
5,1180,5,0.0
33,1190,2,0.0
18,1270,3,0.0
9,1280,11,0.0
39,1370,1,0.0
44,1480,1,0.0
43,1670,1,0.0
13,1691,1,0.0
37,1990,4,0.0
7,2090,2,0.0
26,2190,6,0.0
32,2280,2,0.0
20,2290,4,0.0
12,2370,3,0.0
19,2390,2,0.0
40,2490,2,0.0
21,2570,1,0.0
15,2590,1,0.0
10,2670,6,0.0
1,2770,2,0.0
4,2870,3,0.0
6,2880,6,0.0
45,2970,1,0.0
16,2980,4,0.0
29,3095,2,0.0
38,3180,2,0.0
0,3291,9,0.0
24,3365,35,0.0
17,3370,12,0.0
27,3380,13,0.0
22,3390,71,0.0
34,3470,2,0.0
30,3490,3,0.0
2,3570,36,0.0
14,3580,14,0.0
23,3590,4,0.0
31,3680,5,0.0
25,3690,1,0.0
46,3790,1,0.0
36,3895,3,0.0
8,3960,13,0.0
28,3970,2,0.0
35,3980,5,0.0
11,3990,6,0.0
