,DENSITY,count_target,count_deidentified
0,7,2284.0,0.0
1,10,1570.0,0.0
2,8,1028.0,0.0
3,13,963.0,0.0
4,10388,0.0,1.0
5,10289,0.0,1.0
6,10292,0.0,1.0
7,10311,0.0,1.0
8,10317,0.0,1.0
9,10323,0.0,1.0
10,10328,0.0,1.0
11,10329,0.0,1.0
12,10345,0.0,1.0
13,10368,0.0,1.0
14,10381,0.0,2.0
15,10389,0.0,1.0
16,10550,0.0,1.0
17,10397,0.0,1.0
18,10430,0.0,1.0
19,10438,0.0,1.0
20,10444,0.0,2.0
21,10493,0.0,1.0
22,10497,0.0,1.0
23,10499,0.0,1.0
24,10512,0.0,1.0
25,10523,0.0,1.0
26,10525,0.0,1.0
27,10266,0.0,1.0
28,10204,0.0,1.0
29,10196,0.0,1.0
30,10178,0.0,1.0
31,9930,0.0,1.0
32,9951,0.0,1.0
33,9958,0.0,1.0
34,9961,0.0,1.0
35,10000,0.0,1.0
36,10001,0.0,1.0
37,10016,0.0,1.0
38,10018,0.0,1.0
39,10019,0.0,1.0
40,10034,0.0,1.0
41,10044,0.0,1.0
42,10052,0.0,1.0
43,10073,0.0,1.0
44,10075,0.0,1.0
45,10078,0.0,1.0
46,10092,0.0,1.0
47,10117,0.0,1.0
48,10126,0.0,1.0
49,10133,0.0,1.0
50,10145,0.0,1.0
51,10156,0.0,1.0
52,10542,0.0,1.0
53,10556,0.0,1.0
54,9917,0.0,1.0
55,10812,0.0,1.0
56,10753,0.0,1.0
57,10762,0.0,1.0
58,10764,0.0,1.0
59,10770,0.0,2.0
60,10774,0.0,1.0
61,10779,0.0,1.0
62,10781,0.0,2.0
63,10782,0.0,1.0
64,10794,0.0,1.0
65,10810,0.0,1.0
66,10823,0.0,1.0
67,10557,0.0,1.0
68,10827,0.0,1.0
69,10832,0.0,1.0
70,10834,0.0,2.0
71,10839,0.0,1.0
72,10845,0.0,2.0
73,10856,0.0,1.0
74,10859,0.0,1.0
75,10861,0.0,1.0
76,10862,0.0,2.0
77,10864,0.0,1.0
78,10751,0.0,1.0
79,10748,0.0,1.0
80,10744,0.0,1.0
81,10741,0.0,1.0
82,10565,0.0,1.0
83,10572,0.0,1.0
84,10577,0.0,1.0
85,10588,0.0,1.0
86,10593,0.0,1.0
87,10613,0.0,1.0
88,10616,0.0,1.0
89,10632,0.0,1.0
90,10639,0.0,1.0
91,10642,0.0,1.0
92,10648,0.0,1.0
93,10663,0.0,1.0
94,10686,0.0,2.0
95,10692,0.0,1.0
96,10695,0.0,1.0
97,10703,0.0,1.0
98,10719,0.0,1.0
99,10725,0.0,1.0
100,10726,0.0,1.0
101,10733,0.0,2.0
102,10738,0.0,1.0
