,Target samples,Deid. samples
0,14,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,16,6
28,110,44
29,0,0
30,0,0
31,0,0
32,373,175
33,102,50
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,12,8
41,0,0
42,240,173
43,0,0
44,0,0
45,0,0
46,536,458
47,0,0
48,102,94
49,7391,7081
50,38,38
51,0,0
52,0,0
53,0,0
54,218,260
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,5,8
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,10,22
70,0,0
71,0,0
72,0,0
73,6,16
74,0,0
75,33,99
76,0,0
77,18,59
78,0,0
79,0,0
80,1,4
81,0,0
82,20,91
83,0,0
84,12,63
85,0,0
86,8,49
87,0,0
88,1,7
89,0,0
90,0,0
91,0,0
92,1,11
93,5,63
94,1,17
95,0,0
96,3,76
97,0,0
98,0,0
99,0,304
