,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP_x,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP_x,NOC_x,NPF_x,OWN_RENT_x,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA_x,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HISP_y,HOUSING_TYPE_y,INDP_y,MSP_y,NOC_y,NPF_y,OWN_RENT_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PUMA_y,PWGTP_y,WGTP_y,percent_match
0,38,2,10,2,2,2,4,8,0,1,7388,3,1,1,2,1,135194.03271361196,7,501,36-03710,37,8,1,0,30,2,9,2,2,2,N,1,1,770,6,2,3,2,35500.0,5,269,32-00405,129,104,26.31578947368421
1,31,2,9,2,2,2,4,8,0,1,8546,14,6,1,2,2,5483.085912813757,0,103,29-01901,157,9,1,197,21,2,8,2,2,2,N,0,1,8680,6,1,4,1,700.0,1,501,24-01004,194,133,42.10526315789473
2,53,2,7,2,2,2,4,1,0,1,6040,0,4,0,3,1,33123.32826972288,8,501,24-01004,9,1,1,88,64,2,0,2,2,2,N,0,1,170,1,1,5,1,2800.0,1,9,40-00200,37,64,36.84210526315789
3,42,2,13,2,2,2,4,7,4,1,6874,5,1,0,2,2,7256.073739755435,5,356,36-03710,130,9,1,110,25,2,0,2,2,2,N,0,1,4580,6,0,N,2,30000.0,6,228,40-00200,191,192,36.84210526315789
4,35,1,10,2,2,2,4,3,2,1,9008,16,4,6,2,1,105091.97773891978,5,192,13-04600,74,6,2,0,49,2,12,2,2,2,N,0,1,9370,1,1,3,2,12000.0,3,325,06-07502,77,77,21.052631578947366
5,79,2,10,2,2,2,4,12,0,1,7603,15,1,0,2,0,186944.911477724,8,500,30-00600,68,6,2,107,28,2,8,2,2,2,N,0,1,9170,2,0,N,1,6000.0,1,45,24-01004,11,10,36.84210526315789
6,23,2,11,2,2,1,4,5,0,1,7584,17,6,0,3,2,8282.336901231762,1,94,13-04600,216,2,1,127,33,2,13,2,2,2,N,0,1,9690,1,1,3,2,45000.0,6,501,36-04010,268,205,36.84210526315789
7,50,2,5,2,2,2,4,1,1,1,7608,11,2,3,4,2,24818.169939340045,5,177,38-00100,157,6,2,112,33,2,8,2,2,2,N,0,1,7860,6,1,2,1,13000.0,2,97,24-01004,150,126,26.31578947368421
8,58,2,6,2,2,2,4,5,0,1,7547,0,1,4,3,1,87024.20752147597,8,354,08-00803,35,8,2,105,26,2,0,2,2,2,N,1,1,180,6,4,5,1,26000.0,5,196,40-00200,37,28,36.84210526315789
9,29,2,8,2,2,1,4,8,0,1,419,5,1,0,5,2,2399.020452696311,5,329,30-00600,56,3,2,40,57,2,0,2,2,2,N,0,1,4470,1,0,7,1,51000.0,7,308,38-00100,60,61,36.84210526315789
10,50,2,9,2,2,2,6,4,0,3,1340,4,4,3,3,1,3073.160582950013,5,75,06-08507,35,3,2,57,43,2,9,2,2,2,N,1,1,3390,1,3,6,1,27000.0,4,201,32-00405,140,151,36.84210526315789
11,57,2,9,2,1,2,4,5,0,1,6807,14,6,0,2,1,3820.1220649656593,0,271,51-01301,31,7,2,144,21,2,12,2,2,2,N,0,3,8680,6,N,N,0,380.0,1,2,06-07502,21,0,26.31578947368421
12,51,2,11,2,2,2,4,11,0,1,9313,9,4,0,5,2,84772.52132817057,7,496,06-08507,259,6,1,697,31,2,7,2,2,2,N,0,1,6991,6,0,N,1,200000.0,9,501,06-08507,51,52,36.84210526315789
13,23,2,11,2,2,2,4,10,0,1,8524,15,1,5,2,2,69244.90564750679,8,351,38-00100,46,9,1,28,58,2,0,2,2,2,5,0,1,9160,1,0,2,1,98400.0,9,501,38-00100,226,226,42.10526315789473
14,63,2,13,1,2,2,4,11,0,3,7747,13,4,0,5,2,6199.823016856128,0,78,30-00600,154,6,2,163,60,2,7,2,2,2,N,0,1,8470,5,1,3,2,52000.0,6,397,06-08507,78,70,26.31578947368421
15,74,2,2,2,2,2,4,6,0,1,8341,7,1,5,3,1,62965.6400968575,7,501,38-00100,161,9,1,161,25,2,9,2,1,1,N,0,1,6380,4,0,N,1,12100.0,2,91,32-00405,110,109,26.31578947368421
