,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,51,1,5,0,N,2,6,304,48-02515,1,1,51,0,N,6,304,100.0
1,13,2,N,2,3,1,N,115,48-02507,1,1,13,2,3,N,115,100.0
2,20,1,6,N,N,0,2,N,48-02101,3,2,20,N,N,2,N,100.0
3,18,1,6,1,6,1,1,501,48-02101,9,1,18,1,6,1,501,100.0
4,32,1,2,3,8,1,0,210,48-02515,8,2,32,3,8,0,210,100.0
5,13,1,N,1,2,1,N,270,48-02510,9,2,13,1,2,N,270,100.0
6,10,4,N,1,3,2,N,336,48-02516,8,2,10,1,3,N,336,100.0
7,36,0,1,2,4,2,4,147,48-02102,9,1,36,2,4,4,147,100.0
8,80,4,4,0,N,1,6,315,48-02510,1,1,80,0,N,6,315,100.0
9,64,0,4,0,N,1,7,418,48-02515,9,1,64,0,N,7,418,100.0
10,57,0,1,0,4,1,6,324,48-02507,8,1,57,0,4,6,324,100.0
11,51,4,2,N,N,0,1,N,48-02515,8,2,51,N,N,1,N,100.0
12,46,1,4,0,3,1,7,484,48-02510,5,2,46,0,3,7,484,100.0
13,57,1,4,0,N,1,7,379,48-02101,9,1,57,0,N,7,379,100.0
14,21,1,6,1,6,1,4,501,48-02101,9,2,21,1,6,4,501,100.0
15,13,1,N,2,3,1,N,137,48-02507,9,2,13,2,3,N,137,100.0
16,44,1,4,0,N,1,2,45,48-02507,1,1,44,0,N,2,45,100.0
17,56,0,5,N,N,0,2,70,48-02515,2,2,56,N,N,2,70,100.0
18,4,2,N,3,5,1,N,261,48-02516,8,1,4,3,5,N,261,100.0
19,75,0,2,0,N,2,2,49,48-02102,1,1,75,0,N,2,49,100.0
20,16,2,6,2,4,1,0,233,48-02507,1,2,16,2,4,0,233,100.0
21,64,0,4,0,2,1,1,355,48-02507,6,2,64,0,2,1,355,100.0
22,50,0,1,0,2,1,4,501,48-02101,7,2,50,0,2,4,501,100.0
23,26,0,6,0,3,1,4,501,48-02515,9,2,26,0,3,4,501,100.0
24,46,0,1,1,5,2,5,338,48-02102,2,2,46,1,5,5,338,100.0
25,60,0,5,0,N,2,2,44,48-02515,2,2,60,0,N,2,44,100.0
26,21,4,1,0,2,1,2,327,48-02516,3,2,21,0,2,2,327,100.0
27,79,0,2,N,N,0,3,N,48-02510,1,1,79,N,N,3,N,100.0
28,25,1,2,0,2,1,3,120,48-02507,8,2,25,0,2,3,120,100.0
29,15,2,2,0,2,2,0,501,48-02510,1,1,15,0,2,0,501,100.0
30,81,0,3,N,N,0,0,N,48-02516,1,1,81,N,N,0,N,100.0
31,52,1,4,N,N,0,0,N,48-02102,1,1,52,N,N,0,N,100.0
32,66,1,5,0,N,2,7,428,48-02102,1,1,66,0,N,7,428,100.0
33,53,0,4,0,N,1,7,456,48-02507,9,1,53,0,N,7,456,100.0
34,18,1,6,1,3,1,4,105,48-02510,2,1,18,1,3,4,105,100.0
