,feature,divergence
13,PINCP,2.945667968192839
1,AGEP,1.7016076310471884
15,POVPIP,1.3770075194256808
14,PINCP_DECILE,1.1030640233045732
11,INDP_CAT,0.9460407496922609
12,EDU,0.9151053013798113
5,RAC1P,0.5975533855015343
7,NPF,0.2966911830337219
3,MSP,0.2696938632239626
0,PUMA,0.22578070219724122
10,DENSITY,0.22578070219724122
6,NOC,0.17013107005665123
9,OWN_RENT,0.10389678259363447
4,HISP,0.07834294613975937
17,DREM,0.05534668054448794
20,DEAR,0.0538420058650211
18,DPHY,0.05056805003133122
16,DVET,0.04749174451645023
19,DEYE,0.02932103642940157
2,SEX,0.013526909801398812
8,HOUSING_TYPE,0.006348259595436077
