SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
1,6,1,2,8,9,34,1,N,2
2,6,1,2,6,9,37,1,N,2
2,6,1,1,1,4,15,1,N,2
1,1,1,1,9,10,59,1,N,2
2,6,6,2,N,10,27,1,N,2
2,3,1,1,6,10,68,1,N,2
2,6,1,0,0,9,56,3,N,2
1,6,1,1,6,5,40,1,N,2
2,6,1,1,2,5,61,1,N,2
1,1,1,1,6,5,69,1,N,2
1,1,1,1,7,5,57,1,N,2
1,N,1,2,N,N,2,1,N,2
1,6,1,2,5,9,22,1,N,2
2,1,1,1,4,9,48,1,N,2
2,6,6,0,1,7,13,3,N,2
1,1,1,1,8,9,38,1,N,2
2,1,1,1,8,10,40,1,N,2
2,3,1,1,4,5,90,1,N,2
1,1,1,1,9,10,43,1,N,2
2,6,6,2,2,4,22,1,N,2
2,6,1,1,4,7,39,1,N,2
2,1,1,1,8,9,31,1,N,2
2,1,1,1,7,9,35,1,N,2
1,1,1,2,9,10,31,1,N,2
1,N,6,2,8,10,9,1,N,2
1,N,1,1,N,2,1,1,N,2
1,1,1,1,5,9,83,1,N,2
1,1,1,2,8,9,32,1,N,2
1,1,1,1,6,7,53,1,N,2
2,N,1,1,N,3,6,1,N,2
2,6,1,2,2,5,27,1,N,2
2,6,1,1,0,9,24,1,N,2
2,1,1,2,2,5,75,1,N,2
1,6,1,2,4,7,57,1,N,2
1,1,1,1,9,10,43,1,N,2
1,N,1,1,N,1,29,1,N,2
2,1,1,1,0,9,42,1,N,2
2,6,6,2,0,9,21,1,N,2
2,1,1,1,0,9,38,1,N,2
2,6,1,0,2,7,48,3,N,2
2,1,1,1,6,9,47,1,N,2
2,1,1,1,3,9,71,1,N,2
1,1,1,1,8,9,55,1,N,2
1,1,1,1,9,9,64,1,N,2
1,1,1,1,8,9,36,1,N,2
1,1,1,1,7,9,35,1,N,2
1,1,1,1,9,9,60,1,N,2
2,1,1,1,4,5,74,1,N,2
2,6,6,2,0,4,26,1,N,2
