PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
48-02101,1,N,1,1,1,1,N,2,2,2,2,7,0,3,7,N,N,455,404.32659822949995,N
48-02515,1,1,0,1,1,1,N,2,2,2,2,60,0,2,5,6,N,501,423.4166122055,57629.400444000006
48-02101,2,1,0,1,1,2,11,2,1,2,2,90,0,3,7,4,N,325,363.99692285889995,16867.448112899998
48-02507,2,1,0,1,1,1,2,2,2,2,1,50,0,4,7,3,N,310,1747.711283834,459494.253015
48-02101,2,4,0,1,1,1,11,2,2,2,2,83,2,N,8,3,N,453,403.1657046858,18133.174392899997
48-02510,2,6,0,1,1,1,14,2,1,2,2,43,0,3,7,1,N,249,3137.1614644799997,5544.090790350001
48-02515,1,1,0,1,1,1,11,2,2,2,2,66,0,2,9,8,N,501,3453.0010508719997,98180.440428
48-02101,2,N,0,1,1,1,N,2,2,2,2,9,3,5,6,N,N,409,407.8547158522,N
48-02101,2,6,1,2,1,1,15,2,2,2,2,35,0,5,3,0,N,135,390.7799309657,45.50831459999972
48-02515,2,1,0,1,1,1,11,2,2,2,2,38,0,N,9,8,N,501,2138.834243512,95160.5585175
48-02102,1,1,0,1,1,2,12,2,2,2,2,44,2,5,5,4,N,470,2492.39274054,13867.666673699998
48-02515,1,2,0,5,1,1,11,2,2,2,2,60,3,11,9,6,N,501,2153.717590958,14807.3245656
48-02515,1,6,0,1,1,1,4,2,2,2,2,20,0,2,9,0,N,209,1326.649300668,-0.07196469000064099
48-02510,1,1,0,1,1,1,7,2,2,2,2,30,0,2,5,8,N,501,3107.3755057609997,81076.759743
48-02507,1,2,0,9,1,1,6,1,2,1,2,80,3,8,3,2,N,188,1249.682181186,2624.0354657999997
48-02515,2,1,1,1,1,1,17,2,2,2,2,70,2,4,6,0,N,32,2146.3901169799997,26269.6456176
48-02102,1,1,0,1,1,1,N,2,2,2,2,42,0,3,7,7,N,501,432.1589586106,63934.592719199994
48-02102,2,6,0,1,1,2,14,2,2,2,2,44,2,5,8,4,N,483,3513.7220505299997,12887.7655242
48-02102,1,1,0,1,1,1,4,2,2,2,2,20,0,3,5,6,N,193,443.06952127909994,57693.4695855
48-02510,1,1,0,1,1,1,4,2,2,2,2,34,0,3,10,9,N,501,3111.7797699,139803.45477
48-02102,1,N,0,1,1,1,N,2,2,2,2,10,4,6,6,N,N,87,412.87379633179995,N
48-02101,2,2,4,5,1,2,5,1,2,2,2,31,0,7,10,5,N,100,403.86824060009997,47729.615776499995
48-02510,1,6,0,1,1,1,7,2,2,2,2,15,3,5,5,8,N,249,3075.4821316000002,22510.67553
48-02515,1,1,0,1,1,1,N,2,2,2,2,70,0,2,6,4,N,501,454.85352813019995,2827.948911900001
48-02515,1,4,0,1,1,1,3,2,2,2,2,16,0,N,5,6,N,387,2144.426522369,43431.3012378
48-02516,2,N,1,1,1,1,N,1,2,2,2,5,2,4,3,N,N,138,1372.95893351,N
48-02102,2,N,0,1,1,1,N,N,N,2,2,1,3,5,N,N,N,88,432.5413337686,N
48-02515,2,N,0,1,1,2,N,N,2,2,2,11,3,6,1,N,N,229,2150.73814154,N
48-02515,2,1,1,1,1,1,14,2,2,2,2,25,2,4,10,0,N,59,2143.1668839999998,-2.015238750000208
48-02515,1,1,4,4,1,1,8,1,1,2,1,62,3,4,12,7,5,107,1434.2099751749997,77276.254944
48-02101,2,1,1,1,1,1,18,2,2,2,2,69,0,7,12,8,N,501,378.93547989329,47998.802649
48-02515,1,1,4,9,1,1,17,2,1,2,2,62,0,3,6,0,N,96,2124.39089402,8632.026645900001
48-02101,1,1,1,1,1,2,4,2,1,2,2,19,0,2,6,0,N,75,385.99467488569996,7.573340250000001
48-02101,1,1,0,1,1,1,7,2,2,2,2,38,0,2,9,6,N,500,1371.1631129999998,66800.1315135
48-02510,1,1,0,1,1,1,15,2,2,2,2,30,2,4,8,7,N,29,3135.0515525,150218.538813
48-02507,1,1,1,1,1,1,12,2,2,1,2,44,2,4,5,1,N,200,1195.4519104319997,66717.367605
48-02510,2,1,0,1,1,1,N,2,2,2,2,58,0,2,7,4,N,501,3122.20517764,29297.6909379
48-02516,2,1,0,5,1,1,9,2,2,2,2,61,2,4,10,6,N,501,443.4605162406,-2.3406410999996297
48-02101,2,2,0,1,1,2,14,2,1,2,1,46,1,3,7,4,N,294,368.13255040010995,18349.8728931
48-02510,1,1,0,1,1,2,3,2,2,2,2,68,0,2,7,9,N,501,3138.0511091699996,74550.898128
48-02102,2,6,0,1,1,1,11,2,2,2,2,83,0,3,7,0,N,501,406.23586952309995,6846.964985699999
48-02510,1,1,0,1,1,1,12,2,2,2,2,86,0,2,7,9,N,501,3108.707509995,45814.1282844
48-02507,2,1,0,1,1,1,7,2,2,2,2,42,0,4,5,0,N,501,1839.5297680859999,0.40137090000007447
48-02510,1,1,0,2,1,1,6,2,2,2,2,53,0,2,2,9,N,501,3122.7404488820002,94927.5543552
48-02507,2,6,1,2,1,2,13,1,1,1,2,15,10,13,1,2,6,237,2142.35078597,11997.136330199999
48-02515,1,N,1,1,1,1,N,N,N,2,2,4,0,6,2,N,N,412,2139.0705374599997,N
48-02510,2,6,0,1,1,1,N,2,2,2,2,58,0,3,7,7,N,501,3140.6198443499998,41633.619552000004
48-02102,2,1,1,1,1,1,2,2,2,2,2,43,0,5,7,0,N,59,1020.0829022549999,-1.4985725999995338
48-02101,2,1,0,8,1,1,2,2,2,2,2,30,3,4,9,2,N,329,416.1694559034,14876.648383799999
48-02102,2,4,0,1,1,1,11,2,2,2,2,83,0,N,7,8,N,501,367.39486525498995,39900.591800999995
48-02102,2,3,0,1,1,1,4,2,1,2,2,23,0,2,5,6,N,242,412.9763534381,32346.814205999995
48-02507,2,1,0,1,1,1,7,2,2,2,2,61,0,4,5,6,N,501,3136.6032858149997,51256.837611
48-02101,2,6,0,1,1,1,N,2,2,2,2,83,0,3,7,0,N,501,360.0550614156,14748.056484
48-02516,1,1,0,2,1,1,6,2,2,2,2,76,0,2,2,9,N,501,1337.271766225,-1.8692519999995056
48-02101,1,1,0,8,1,1,11,2,2,2,2,63,0,2,8,6,N,324,378.92763907712,2103.7784649000005
48-02101,2,N,0,8,1,1,N,2,2,2,2,14,3,5,3,N,N,325,400.0772408997,N
48-02510,2,5,4,1,1,2,9,2,2,2,2,43,0,7,9,7,N,100,3109.976999568,89225.494701
48-02102,1,1,0,1,1,1,3,2,2,2,2,33,0,3,7,9,N,501,430.67412239289996,49823.5405458
48-02101,1,1,0,1,1,1,N,2,2,2,2,60,0,2,5,4,N,501,379.05231551009996,13679.1736599
48-02101,2,1,0,1,1,1,3,2,2,2,2,20,0,2,9,2,N,369,437.0389684288,10704.968253
48-02510,2,1,2,2,1,2,16,2,2,2,2,35,3,5,8,0,N,183,3104.6111634549998,-0.34980498000004445
48-02516,1,6,0,1,1,2,4,2,2,2,2,19,1,3,5,7,N,378,1354.9997162999998,134604.18533100002
48-02102,2,4,0,1,1,1,16,1,2,2,2,67,0,6,8,5,N,142,402.2438715241,78865.022397
48-02510,2,1,0,1,1,1,2,2,2,2,2,72,4,6,10,2,N,501,423.622593459,27417.1640988
48-02510,2,1,0,1,1,1,12,2,2,2,2,31,0,7,10,5,N,501,389.797573626,86484.498261
48-02510,2,1,0,1,1,1,14,2,2,2,2,75,0,5,7,4,N,310,3105.008754,12626.3553024
48-02507,1,6,0,1,1,1,13,2,2,2,2,16,3,5,3,0,N,501,1292.6454747349999,-2.4091914000000543
48-02102,1,1,0,1,1,1,10,2,2,2,2,63,0,2,7,9,N,501,464.14153339959995,82185.09961199999
48-02515,1,1,0,1,1,2,7,2,2,2,2,24,0,2,5,4,N,470,2465.462382712,13708.8390138
48-02510,1,1,0,1,1,1,8,2,1,2,2,18,3,4,6,3,N,308,982.6161756939999,2122.8388335
48-02507,1,1,3,9,1,2,13,2,2,2,2,62,0,2,9,0,N,74,3012.644472562,26146.3024704
48-02101,2,1,0,1,1,1,N,2,2,2,2,70,0,2,6,0,N,501,394.5237629664,-0.3611454000001686
48-02101,1,6,0,1,1,1,6,2,2,2,2,16,0,2,7,5,N,208,391.58968981339996,49070.133819
48-02102,1,1,0,1,1,1,3,2,2,2,1,50,0,3,7,5,N,35,443.73842815179995,49915.6501452
48-02102,1,2,0,2,1,1,5,2,2,2,2,34,3,5,7,7,N,360,715.240059698,21240.689822099997
48-02516,1,1,0,1,1,2,13,2,2,2,2,34,1,2,9,9,N,501,1324.079991959,30905.782805099996
48-02510,2,N,0,1,1,1,N,2,2,2,2,12,0,5,5,N,N,501,3102.846988251,N
48-02101,2,N,0,1,1,1,N,2,2,2,2,14,0,4,3,N,N,452,404.2070680385,N
