PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
48-02102,2,1,0,1,1,1,10,2,2,2,2,60,2,N,9,7,N,501,65559.45148199999,450.89999999999975
48-02516,1,6,0,1,1,1,15,2,2,2,2,20,2,4,10,9,N,501,197492.17131,1338.4
48-02515,2,6,0,1,1,2,14,2,2,2,2,26,0,2,7,2,N,401,34334.6332665,2134.8
48-02507,2,N,0,1,1,1,N,2,2,2,2,5,0,2,5,N,N,449,N,3731.1
48-02515,2,4,1,1,1,1,9,2,2,2,2,43,1,2,4,2,N,351,19497.5970252,2134.8
48-02102,1,6,0,9,1,1,1,2,2,2,1,31,4,5,12,6,N,358,61813.630357500006,450.89999999999975
48-02101,2,3,0,1,1,2,1,2,1,2,2,63,0,N,1,2,N,192,8111.7755691,357.4
48-02515,1,2,0,1,1,1,14,2,1,2,2,40,0,N,2,6,N,238,24711.414361199997,2134.8
48-02510,2,1,0,1,1,1,10,2,2,2,2,77,0,3,5,9,N,501,14411.406807,3092.4
48-02101,2,N,0,1,1,1,N,2,2,2,2,14,1,6,3,N,N,121,N,357.4
48-02101,2,N,0,1,1,1,N,2,2,2,2,12,1,4,3,N,N,501,N,357.4
48-02102,2,1,0,1,1,2,11,2,2,2,2,21,4,N,7,6,N,316,14809.3565319,450.89999999999975
48-02101,2,4,0,1,1,1,12,2,2,2,2,25,0,10,8,8,N,501,93057.448008,357.4
48-02102,1,6,0,1,1,2,9,2,2,2,2,20,0,4,4,2,N,473,34535.0354139,450.89999999999975
48-02507,2,1,0,1,1,2,12,2,2,2,2,49,1,9,9,5,N,240,61184.55441,3731.1
48-02510,1,1,0,1,1,1,14,2,2,2,2,28,0,4,10,8,N,501,49522.5954195,3092.4
48-02101,2,6,0,1,1,1,14,2,2,2,2,20,0,5,7,8,N,501,68719.24794,357.4
48-02510,1,1,0,1,1,1,6,2,2,2,2,57,0,2,9,5,N,501,97836.055569,3092.4
48-02102,1,1,0,1,1,1,4,2,2,2,2,62,0,2,5,8,N,501,33041.604502199996,450.89999999999975
48-02516,2,1,0,8,1,1,9,2,1,2,1,57,0,2,8,8,N,501,54098.628381,1338.4
48-02101,1,1,0,1,1,1,11,2,2,2,2,56,0,2,9,6,N,501,109645.418862,357.4
48-02515,2,1,0,1,1,2,9,2,2,2,2,24,0,4,9,7,4,3,385991.143062,2134.8
48-02515,2,4,3,1,1,2,14,1,2,2,2,29,9,N,2,6,N,385,15096.930118200002,2134.8
