PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
48-02101,1,1,0,1,1,1,11,2,2,2,2,62,0,2,9,8,N,501,358.172580842385,10371.906888000001
48-02516,1,1,0,1,1,1,6,2,2,2,1,49,1,2,7,8,N,501,1348.06541332,101200.952832
48-02515,2,3,0,1,1,1,15,2,2,2,2,71,0,N,3,4,N,136,2152.806455799,24961.7998329
48-02101,1,1,0,1,1,1,10,2,2,2,2,61,0,2,7,9,N,501,363.53238528583995,141655.514616
48-02510,2,1,0,1,1,1,11,2,2,2,2,37,0,2,9,3,N,501,3126.614839699,12523.06608
48-02515,2,6,0,2,1,2,N,2,2,2,2,18,3,4,5,2,N,273,2169.5421332299998,-2.5279272900006617
48-02516,2,1,0,1,1,1,11,2,2,2,2,56,0,2,9,4,N,501,1335.463193129,19498.9451811
48-02516,2,N,1,9,1,1,N,2,2,2,2,5,3,5,2,N,N,139,1325.036672068,N
48-02101,1,6,0,1,1,1,N,2,2,2,2,38,3,6,4,0,N,501,390.7799309657,0.8973027000001821
48-02515,2,1,0,1,1,1,N,2,2,2,2,39,1,3,5,0,N,501,2130.134145952,-2.3956506000004083
48-02515,2,6,0,2,1,2,10,2,2,2,2,64,0,N,9,5,N,402,2169.309550352,25670.810508
48-02515,1,4,0,1,1,2,6,2,2,2,2,60,0,N,9,6,N,180,2153.717590958,46927.68305400001
48-02515,2,1,0,1,1,1,N,2,2,2,2,60,0,3,5,0,N,275,2153.1665307999997,-0.07196469000064099
48-02516,2,1,0,1,1,1,1,2,2,2,2,30,0,2,9,3,N,501,1347.830030271,13383.423123
48-02101,2,1,0,1,1,1,11,2,2,2,2,76,0,3,7,2,N,268,371.51179743765,7357.0680792
48-02101,1,6,0,1,1,2,10,2,2,2,2,19,1,2,7,4,N,441,375.54066053129,25422.596642099998
48-02102,2,1,0,1,1,1,10,2,2,2,2,49,0,2,7,3,N,304,432.1589586106,344052.49267199996
48-02516,1,1,2,1,1,1,5,2,2,2,2,35,3,5,10,6,N,315,1293.362149826,45775.860291000005
48-02102,2,1,1,1,1,1,6,2,2,2,2,41,3,5,6,5,N,223,439.20994100509995,34946.2974378
48-02516,1,1,0,1,1,1,7,2,2,2,2,61,0,2,7,6,N,501,1348.698117018,46610.90111580001
48-02102,2,4,0,1,1,2,N,2,2,2,2,78,1,3,5,5,N,7,412.87379633179995,30931.859847
48-02101,2,4,0,1,1,2,12,2,2,2,2,75,0,N,7,6,N,474,403.86824060009997,37274.0269692
48-02507,1,6,1,1,1,1,14,2,2,2,2,15,0,5,5,9,N,501,1347.667249246,160767.06743999998
48-02101,2,3,0,1,1,1,N,2,1,2,2,61,0,N,3,7,N,173,394.8772659998,33377.793792000004
48-02515,2,4,0,1,1,1,N,2,2,2,2,73,0,N,10,5,N,289,2147.56112825,32282.500483800002
48-02516,1,N,0,1,1,1,N,N,N,2,2,4,0,3,2,N,N,501,1368.947199366,N
48-02101,2,4,0,1,1,1,10,2,2,2,2,42,0,N,10,7,N,289,376.5826287884,62494.70297699999
48-02510,2,N,4,8,2,0,N,N,N,2,2,0,N,N,N,N,N,323,3108.173824392,N
48-02515,1,6,0,1,2,0,N,1,2,2,2,29,N,N,8,1,N,454,2155.2636227199996,2062.803157799999
48-02510,2,1,0,1,1,1,16,2,2,2,2,43,2,4,12,9,N,501,3114.7284849109997,199207.511391
48-02515,2,1,1,1,1,1,11,2,2,2,2,91,0,2,9,8,N,501,2172.4134893,65631.4843065
48-02515,2,1,0,1,1,2,N,2,2,2,2,32,1,3,6,2,N,437,2173.5740420999996,6437.8627194
48-02102,2,1,0,1,1,1,N,1,2,2,2,41,2,5,8,3,N,323,431.33131240549994,11030.970629700001
48-02102,2,1,0,1,1,1,11,2,2,2,2,61,0,2,9,7,N,194,416.4654407255,63382.776345000006
48-02102,1,1,0,1,1,1,6,2,2,2,2,62,2,3,8,0,N,29,411.49213798119996,25905.988815
48-02515,2,4,0,1,2,0,N,1,1,2,2,48,N,N,6,2,N,98,2174.76360872,4847.5321503
48-02102,2,N,0,1,1,1,N,2,2,2,2,8,0,3,3,N,N,479,457.80305620289994,N
48-02507,2,1,0,1,1,1,11,2,2,2,2,61,0,3,9,6,N,501,3731.1,41893.937200500004
48-02102,1,N,0,9,1,1,N,2,2,2,2,11,3,6,1,N,N,336,432.29062737419997,N
48-02101,1,4,0,1,1,2,3,2,2,2,2,38,0,N,5,9,N,501,380.8038022284,121481.127474
48-02507,2,1,1,1,1,1,N,2,2,2,2,50,0,3,8,0,N,137,3731.1,-0.6934874099997614
48-02507,1,N,4,1,1,2,N,1,2,2,2,5,0,7,3,N,N,440,1557.6197524899999,N
48-02101,1,1,4,8,1,1,2,2,2,2,2,41,0,4,5,5,2,450,390.52455368364997,1644.1309310999995
48-02101,1,N,0,1,1,1,N,2,2,2,2,12,0,6,6,N,N,501,376.20694367749996,N
48-02102,1,N,0,1,1,2,N,2,2,2,2,6,2,4,3,N,N,305,430.1783774201,N
48-02515,1,1,0,1,1,1,4,2,2,2,2,51,0,3,9,9,N,501,2168.546014568,137398.94720999998
48-02516,1,6,0,1,1,1,6,2,2,2,2,24,1,3,9,6,N,501,1338.8560557449998,39393.810435
48-02102,2,N,0,1,1,1,N,2,2,2,2,9,5,7,3,N,N,176,455.37782472609996,N
48-02510,2,1,0,2,1,1,15,2,2,2,2,56,2,3,9,3,N,185,3112.4717157699997,14876.648383799999
48-02515,2,1,0,1,1,1,12,2,2,2,2,58,0,4,5,6,N,257,2130.78000708,39466.676865
48-02515,2,6,0,1,1,1,10,2,2,2,2,23,0,2,10,5,N,501,2142.9078850509995,32346.814205999995
48-02515,2,1,0,1,1,1,12,2,1,2,2,63,0,2,9,0,N,187,2168.9507236199997,8853.805485
48-02101,1,4,1,1,1,1,3,2,2,2,2,19,1,3,6,3,N,370,399.2476581908,12049.093226099998
48-02510,2,6,0,1,1,1,N,2,2,2,2,16,2,5,4,0,N,501,3126.06941362,-1.8692519999995056
48-02102,2,N,0,1,1,1,N,2,2,2,2,10,3,5,3,N,N,302,439.58782914209996,N
48-02515,1,N,0,2,2,0,N,N,N,2,2,0,N,N,N,N,N,441,2170.4968903299996,N
48-02101,2,N,0,1,1,1,N,N,N,2,2,3,1,4,1,N,N,476,390.57561125945,N
48-02102,1,1,1,8,1,1,4,2,2,2,2,55,0,3,5,6,N,215,454.0361480942,21510.2245239
48-02101,1,1,0,1,1,1,N,2,2,2,1,70,0,2,6,8,N,501,379.05231551009996,75213.62719500001
48-02101,1,1,1,1,1,1,7,2,2,2,2,37,0,3,7,8,N,501,374.95201161999995,67729.33083
48-02507,1,6,0,1,1,1,9,2,2,2,2,28,0,3,9,9,N,501,3731.1,71549.02632779999
48-02507,2,1,0,1,1,1,N,2,2,2,2,64,0,4,5,1,N,382,3731.1,4191.402530699999
48-02101,2,N,0,1,1,1,N,2,2,2,2,12,2,4,3,N,N,501,379.724278955,N
48-02507,2,1,0,2,1,1,11,2,2,2,2,44,2,4,10,7,N,501,3731.1,54246.840899999996
48-02510,2,1,0,1,1,1,11,2,2,2,2,68,2,4,9,1,N,501,3123.3773022309997,7302.5198127
48-02516,1,1,0,1,1,1,10,2,2,2,2,64,2,4,9,8,N,501,1372.91777437,65056.64349449999
48-02510,1,3,0,1,2,0,14,1,1,2,1,85,N,N,7,1,N,258,3111.08883614,907.4411682
48-02515,1,1,0,1,1,1,7,2,2,2,2,60,0,4,7,9,N,501,2157.74261748,65289.591801
48-02507,1,6,0,1,1,2,3,2,2,2,2,25,1,3,7,6,N,460,3731.1,40036.5101199
48-02515,2,1,1,1,1,1,11,2,2,2,2,39,2,4,3,0,N,501,2142.46043122,452.14192379999986
48-02102,2,1,0,1,1,1,N,2,2,2,2,33,1,3,9,7,N,501,434.4248198731,50110.177278
